PLOT ID,Fresh_weight,Leaf_area,CHL1,CHL2,CHL3,Dry_weight
3056,7.46,349,394.8,366,315.2,1.99
3057,9.2,353,428.9,373.4,304.2,2.01
4376,9.73,466,439.2,502.9,494.8,2.92
3223,6.13,327.7,147.8,202.2,229.8,1.67
3155,7.83,342.9,295.5,386.5,407.8,2.1
3271,12.31,447.2,380.8,274.7,481.9,3.79
4070,6.67,296.9,418,494.8,542.1,1.96
4114,12,484,464.2,456.5,534.8,3.35
2186,10.88,470.8,437.9,394,424.2,3.12
2441,6.1,359.5,211.7,272.5,253.4,1.77
2465,8.3,454.4,235,317.9,321.7,2.32
2096,8.5,436.7,174,287.8,304.2,1.97
2380,8.7,460,180.6,265.3,338.6,2.26
2449,9.3,466.7,224.6,366,390.3,2.46
2090,8.2,358.6,283.4,416.5,348,2.08
2402,7.6,372.8,199.6,309.7,323.5,1.72
2299,8.8,422.4,245.6,296.4,348.9,2.37
2462,9.43,471.9,239,297.3,310.8,2.32
2499,7.7,404.7,253.7,378,366.8,2.16
2461,9.85,445.1,221.9,332,474.6,2.56
2463,11.01,541.8,235,288.9,315.2,2.73
2362,19.8,608.3,317,336.7,380.8,3.22
2447,8.9,474.2,174.6,223.3,275.8,2.51
3321,7.77,338,287.8,385.7,366,1.98
2363,12.6,606.9,129.2,293.3,430.4,3.07
4097,6.15,259.32,306.4,472.7,403.8,1.64
4071,10.61,464.8,292.2,412.1,412.8,2.7
3055,11.21,495,367.7,272.5,249.5,2.71
3582,8.9,422,322.6,281,215,2.35
1460,,,,,,3.93
1462,,,,,,1.97
4036,6.66,330.11,236.4,370.1,345.1,1.68
4038,9.71,394.3,197,329.2,341.8,2.1
4084,6.96,312.5,303.1,315.2,376.1,1.87
4069,11.03,423,275.8,195.3,362.7,2.32
4046,8.83,414.9,364.4,426.8,407.1,2.35
4366,12.13,527.6,556.4,456.8,496,3.27
4086,8.64,344.6,467.5,585.9,542.1,2.18
4127,12.44,452.98,422.4,517.5,545.5,2.86
4055,12.03,534.1,371.8,413.6,454.3,3.31
4056,13.96,572.7,384.9,425.9,372.6,3.55
4049,12.5,512.8,391.8,496,538.9,3.1
4585,15.36,696.7,464.8,524.6,546.1,4.02
4577,13.79,561.7,564,583.8,614.5,3.77
4576,11.46,534.2,380.8,532.4,524.6,2.94
4574,11.19,525.11,445.7,503.5,541.1,3.12
4591,11.17,505.87,465.5,541.6,557.5,3.03
3108,,,,,,1.53
3109,,,,,,2.34
