UID,Barcode,Genotype,Pedigree,
B001,B001_BGEM-0001-N,BGEM-0001-N,BGEM-0001-N,
B002,B002_BGEM-0002-N,BGEM-0002-N,BGEM-0002-N,
B003,B003_BGEM-0003-N,BGEM-0003-N,BGEM-0003-N,
B004,B004_BGEM-0004-N,BGEM-0004-N,BGEM-0004-N,
B005,B005_BGEM-0005-N,BGEM-0005-N,BGEM-0005-N,
B006,B006_BGEM-0006-S,BGEM-0006-S,BGEM-0006-S,
B007,B007_BGEM-0007-S,BGEM-0007-S,BGEM-0007-S,
B008,B008_BGEM-0008-S,BGEM-0008-S,BGEM-0008-S,
B009,B009_BGEM-0010-S,BGEM-0010-S,BGEM-0010-S,
B010,B010_BGEM-0011-S,BGEM-0011-S,BGEM-0011-S,
B011,B011_BGEM-0012-S,BGEM-0012-S,BGEM-0012-S,
B012,B012_BGEM-0013-S,BGEM-0013-S,BGEM-0013-S,
B013,B013_BGEM-0014-S,BGEM-0014-S,BGEM-0014-S,
B014,B014_BGEM-0015-S,BGEM-0015-S,BGEM-0015-S,
B015,B015_BGEM-0018-S,BGEM-0018-S,BGEM-0018-S,
B016,B016_BGEM-0019-S,BGEM-0019-S,BGEM-0019-S,
B017,B017_Control1,Control1,Control1,
B018,B018_BGEM-0020-S,BGEM-0020-S,BGEM-0020-S,
B019,B019_BGEM-0021-S,BGEM-0021-S,BGEM-0021-S,
B020,B020_BGEM-0022-S,BGEM-0022-S,BGEM-0022-S,
B021,B021_BGEM-0023-S,BGEM-0023-S,BGEM-0023-S,
B022,B022_BGEM-0024-S,BGEM-0024-S,BGEM-0024-S,
B023,B023_BGEM-0025-S,BGEM-0025-S,BGEM-0025-S,
B024,B024_BGEM-0026-S,BGEM-0026-S,BGEM-0026-S,
B025,B025_BGEM-0027-S,BGEM-0027-S,BGEM-0027-S,
B026,B026_BGEM-0028-S,BGEM-0028-S,BGEM-0028-S,
B027,B027_BGEM-0030-S,BGEM-0030-S,BGEM-0030-S,
B028,B028_BGEM-0031-S,BGEM-0031-S,BGEM-0031-S,
B029,B029_BGEM-0032-S,BGEM-0032-S,BGEM-0032-S,
B030,B030_BGEM-0033-S,BGEM-0033-S,BGEM-0033-S,
B031,B031_BGEM-0034-S,BGEM-0034-S,BGEM-0034-S,
B032,B032_BGEM-0035-S,BGEM-0035-S,BGEM-0035-S,
B033,B033_BGEM-0036-S,BGEM-0036-S,BGEM-0036-S,
B034,B034_BGEM-0037-S,BGEM-0037-S,BGEM-0037-S,
B035,B035_BGEM-0038-N,BGEM-0038-N,BGEM-0038-N,
B036,B036_BGEM-0039-N,BGEM-0039-N,BGEM-0039-N,
B037,B037_BGEM-0040-N,BGEM-0040-N,BGEM-0040-N,
B038,B038_BGEM-0041-S,BGEM-0041-S,BGEM-0041-S,
B039,B039_BGEM-0042-S,BGEM-0042-S,BGEM-0042-S,
B040,B040_BGEM-0043-S,BGEM-0043-S,BGEM-0043-S,
B041,B041_BGEM-0044-S,BGEM-0044-S,BGEM-0044-S,
B042,B042_BGEM-0045-N,BGEM-0045-N,BGEM-0045-N,
B043,B043_BGEM-0046-N,BGEM-0046-N,BGEM-0046-N,
B044,B044_BGEM-0047-S,BGEM-0047-S,BGEM-0047-S,
B045,B045_BGEM-0048-S,BGEM-0048-S,BGEM-0048-S,
B046,B046_BGEM-0049-S,BGEM-0049-S,BGEM-0049-S,
B047,B047_BGEM-0050-S,BGEM-0050-S,BGEM-0050-S,
B048,B048_BGEM-0051-S,BGEM-0051-S,BGEM-0051-S,
B049,B049_BGEM-0052-S,BGEM-0052-S,BGEM-0052-S,
B050,B050_BGEM-0055-S,BGEM-0055-S,BGEM-0055-S,
B051,B051_BGEM-0056-S,BGEM-0056-S,BGEM-0056-S,
B052,B052_BGEM-0057-S,BGEM-0057-S,BGEM-0057-S,
B053,B053_BGEM-0059-S,BGEM-0059-S,BGEM-0059-S,
B054,B054_BGEM-0060-S,BGEM-0060-S,BGEM-0060-S,
B055,B055_BGEM-0061-N,BGEM-0061-N,BGEM-0061-N,
B056,B056_BGEM-0062-N,BGEM-0062-N,BGEM-0062-N,
B057,B057_BGEM-0063-N,BGEM-0063-N,BGEM-0063-N,
B058,B058_BGEM-0064-N,BGEM-0064-N,BGEM-0064-N,
B059,B059_BGEM-0065-N,BGEM-0065-N,BGEM-0065-N,
B060,B060_BGEM-0066-N,BGEM-0066-N,BGEM-0066-N,
B061,B061_BGEM-0067-S,BGEM-0067-S,BGEM-0067-S,
B062,B062_BGEM-0068-S,BGEM-0068-S,BGEM-0068-S,
B063,B063_Control2,Control2,Control2,
B064,B064_BGEM-0069-S,BGEM-0069-S,BGEM-0069-S,
B065,B065_BGEM-0070-S,BGEM-0070-S,BGEM-0070-S,
B066,B066_BGEM-0071-S,BGEM-0071-S,BGEM-0071-S,
B067,B067_BGEM-0072-S,BGEM-0072-S,BGEM-0072-S,
B068,B068_BGEM-0073-S,BGEM-0073-S,BGEM-0073-S,
B069,B069_BGEM-0074-S,BGEM-0074-S,BGEM-0074-S,
B070,B070_BGEM-0075-S,BGEM-0075-S,BGEM-0075-S,
B071,B071_BGEM-0077-S,BGEM-0077-S,BGEM-0077-S,
B072,B072_BGEM-0078-N,BGEM-0078-N,BGEM-0078-N,
B073,B073_BGEM-0079-S,BGEM-0079-S,BGEM-0079-S,
B074,B074_BGEM-0080-S,BGEM-0080-S,BGEM-0080-S,
B075,B075_BGEM-0081-S,BGEM-0081-S,BGEM-0081-S,
B076,B076_BGEM-0082-S,BGEM-0082-S,BGEM-0082-S,
B077,B077_BGEM-0083-S,BGEM-0083-S,BGEM-0083-S,
B078,B078_BGEM-0085-N,BGEM-0085-N,BGEM-0085-N,
B079,B079_BGEM-0086-N,BGEM-0086-N,BGEM-0086-N,
B080,B080_BGEM-0087-N,BGEM-0087-N,BGEM-0087-N,
B081,B081_BGEM-0088-N,BGEM-0088-N,BGEM-0088-N,
B082,B082_BGEM-0089-N,BGEM-0089-N,BGEM-0089-N,
B083,B083_BGEM-0090-N,BGEM-0090-N,BGEM-0090-N,
B084,B084_BGEM-0094-S,BGEM-0094-S,BGEM-0094-S,
B085,B085_BGEM-0095-S,BGEM-0095-S,BGEM-0095-S,
B086,B086_BGEM-0097-S,BGEM-0097-S,BGEM-0097-S,
B087,B087_BGEM-0099-S,BGEM-0099-S,BGEM-0099-S,
B088,B088_BGEM-0100-S,BGEM-0100-S,BGEM-0100-S,
B089,B089_BGEM-0102-N,BGEM-0102-N,BGEM-0102-N,
B090,B090_BGEM-0107-N,BGEM-0107-N,BGEM-0107-N,
B091,B091_BGEM-0108-S,BGEM-0108-S,BGEM-0108-S,
B092,B092_BGEM-0110-N,BGEM-0110-N,BGEM-0110-N,
B093,B093_BGEM-0111-S,BGEM-0111-S,BGEM-0111-S,
B094,B094_BGEM-0112-S,BGEM-0112-S,BGEM-0112-S,
B095,B095_BGEM-0113-S,BGEM-0113-S,BGEM-0113-S,
B096,B096_BGEM-0114-S,BGEM-0114-S,BGEM-0114-S,
B097,B097_BGEM-0115-S,BGEM-0115-S,BGEM-0115-S,
B098,B098_BGEM-0116-S,BGEM-0116-S,BGEM-0116-S,
B099,B099_BGEM-0117-S,BGEM-0117-S,BGEM-0117-S,
B100,B100_BGEM-0118-S,BGEM-0118-S,BGEM-0118-S,
B101,B101_BGEM-0120-N,BGEM-0120-N,BGEM-0120-N,
B102,B102_BGEM-0122-N,BGEM-0122-N,BGEM-0122-N,
B103,B103_BGEM-0123-N,BGEM-0123-N,BGEM-0123-N,
B104,B104_BGEM-0124-N,BGEM-0124-N,BGEM-0124-N,
B105,B105_BGEM-0125-N,BGEM-0125-N,BGEM-0125-N,
B106,B106_BGEM-0126-N,BGEM-0126-N,BGEM-0126-N,
B107,B107_BGEM-0129-N,BGEM-0129-N,BGEM-0129-N,
B108,B108_BGEM-0130-N,BGEM-0130-N,BGEM-0130-N,
B109,B109_BGEM-0131-N,BGEM-0131-N,BGEM-0131-N,
B110,B110_BGEM-0133-S,BGEM-0133-S,BGEM-0133-S,
B111,B111_BGEM-0134-S,BGEM-0134-S,BGEM-0134-S,
B112,B112_BGEM-0136-S,BGEM-0136-S,BGEM-0136-S,
B113,B113_BGEM-0137-S,BGEM-0137-S,BGEM-0137-S,
B114,B114_BGEM-0138-S,BGEM-0138-S,BGEM-0138-S,
B115,B115_BGEM-0140-N,BGEM-0140-N,BGEM-0140-N,
B116,B116_BGEM-0141-N,BGEM-0141-N,BGEM-0141-N,
B117,B117_BGEM-0143-N,BGEM-0143-N,BGEM-0143-N,
B118,B118_BGEM-0144-N,BGEM-0144-N,BGEM-0144-N,
B119,B119_BGEM-0145-N,BGEM-0145-N,BGEM-0145-N,
B120,B120_BGEM-0146-N,BGEM-0146-N,BGEM-0146-N,
B121,B121_BGEM-0147-S,BGEM-0147-S,BGEM-0147-S,
B122,B122_BGEM-0148-S,BGEM-0148-S,BGEM-0148-S,
B123,B123_BGEM-0149-S,BGEM-0149-S,BGEM-0149-S,
B124,B124_BGEM-0150-S,BGEM-0150-S,BGEM-0150-S,
B125,B125_BGEM-0151-N,BGEM-0151-N,BGEM-0151-N,
B126,B126_BGEM-0152-N,BGEM-0152-N,BGEM-0152-N,
B127,B127_BGEM-0153-S,BGEM-0153-S,BGEM-0153-S,
B128,B128_BGEM-0154-S,BGEM-0154-S,BGEM-0154-S,
B129,B129_BGEM-0155-S,BGEM-0155-S,BGEM-0155-S,
B130,B130_BGEM-0156-S,BGEM-0156-S,BGEM-0156-S,
B131,B131_BGEM-0157-N,BGEM-0157-N,BGEM-0157-N,
B132,B132_BGEM-0158-S,BGEM-0158-S,BGEM-0158-S,
B133,B133_Control2,Control2,Control2,
B134,B134_BGEM-0159-S,BGEM-0159-S,BGEM-0159-S,
B135,B135_BGEM-0160-S,BGEM-0160-S,BGEM-0160-S,
B136,B136_BGEM-0162-S,BGEM-0162-S,BGEM-0162-S,
B137,B137_BGEM-0164-S,BGEM-0164-S,BGEM-0164-S,
B138,B138_BGEM-0165-S,BGEM-0165-S,BGEM-0165-S,
B139,B139_BGEM-0166-S,BGEM-0166-S,BGEM-0166-S,
B140,B140_BGEM-0167-S,BGEM-0167-S,BGEM-0167-S,
B141,B141_BGEM-0169-S,BGEM-0169-S,BGEM-0169-S,
B142,B142_BGEM-0170-S,BGEM-0170-S,BGEM-0170-S,
B143,B143_BGEM-0172-S,BGEM-0172-S,BGEM-0172-S,
B144,B144_BGEM-0173-S,BGEM-0173-S,BGEM-0173-S,
B145,B145_BGEM-0174-N,BGEM-0174-N,BGEM-0174-N,
B146,B146_BGEM-0175-S,BGEM-0175-S,BGEM-0175-S,
B147,B147_BGEM-0178-S,BGEM-0178-S,BGEM-0178-S,
B148,B148_BGEM-0179-S,BGEM-0179-S,BGEM-0179-S,
B149,B149_BGEM-0182-N,BGEM-0182-N,BGEM-0182-N,
B150,B150_BGEM-0184-N,BGEM-0184-N,BGEM-0184-N,
B151,B151_BGEM-0186-S,BGEM-0186-S,BGEM-0186-S,
B152,B152_BGEM-0187-S,BGEM-0187-S,BGEM-0187-S,
B153,B153_BGEM-0188-S,BGEM-0188-S,BGEM-0188-S,
