,UID,genotype,PLOT.ID,rows,ranges,Block,Rep,Group,Trt,year,note,Calibration,leaf_length,leaf_width,ear_height,flag_leaf,plant_height
0,B001,BGEM-0001-N,1313.0,13.0,7.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,97.1946273158224,60.0778757257182,73.281439887713,132.820505866924,174.322272118214
1,B002,BGEM-0002-N,1314.0,14.0,7.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,97.1946273116014,58.5805676200933,74.7289068037507,129.456126928158,178.4306442892
2,B003,BGEM-0003-N,1111.0,11.0,3.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,97.1946273210055,59.251743837427,85.1306610959975,135.482052219167,192.986908949859
3,B004,BGEM-0004-N,1298.0,48.0,6.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,97.1946273132217,59.5581312147007,79.262723196768,131.034619786414,180.694354328629
4,B005,BGEM-0005-N,1321.0,21.0,7.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,97.1946273190692,59.783126010285,78.5340741336044,121.65583740232,184.351116700015
5,B006,BGEM-0006-S,1322.0,22.0,7.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,97.1946273198018,60.1244974242749,79.9913722599314,129.4906924652,190.619852193818
6,B007,,,,,,,,,,,,,,,,
7,B008,BGEM-0008-S,1028.0,28.0,1.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,97.1946273206272,59.6977121055931,80.9727355544386,130.504614885102,177.979034489599
8,B009,BGEM-0010-S,1078.0,28.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,97.1946273217826,60.2330445502591,69.7191555789137,128.707206958912,181.635796860984
9,B010,BGEM-0011-S,1067.0,17.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,97.1946273228312,60.050792232618,78.5502663350081,130.193525051723,177.559986581727
10,B011,BGEM-0012-S,1096.0,46.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,97.1946273079157,57.7039348126319,63.6112254305692,116.43644130896,153.459049030598
11,B012,BGEM-0013-S,1094.0,44.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,97.1946273163276,59.0228698212292,76.9859837899701,127.186323329058,172.439387053503
12,B013,BGEM-0014-S,1055.0,5.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,97.1946273117705,58.3129013977603,76.0242829160413,116.378832080556,156.838333143877
13,B014,BGEM-0015-S,1006.0,6.0,1.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,97.1946273185196,59.9382948348259,83.1974281378508,129.744173070175,175.470408083793
14,B016,BGEM-0019-S,1153.0,3.0,4.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,97.1946273174488,59.3176195366624,79.392260807997,130.861792101204,181.565012036102
15,B018,BGEM-0020-S,1036.0,36.0,1.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,97.1946273194598,59.8342642287636,74.7320814230915,124.776296353593,170.323949878223
16,B019,BGEM-0021-S,1158.0,8.0,4.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,97.1946273182882,59.957619886699,76.0253050492305,134.933139139316,165.615695043486
17,B021,BGEM-0023-S,1097.0,47.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,97.1946273171448,59.4844970742383,73.0998554530982,124.536298822496,170.349808555569
18,B022,BGEM-0024-S,1093.0,43.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,97.1946273158908,58.7474451576692,69.9423761793897,118.72928859942,161.643231480842
19,B023,BGEM-0025-S,1252.0,2.0,6.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,97.1946273228231,59.8064723851605,83.3819033444051,138.719690855445,198.559118277685
20,B024,BGEM-0026-S,1198.0,48.0,4.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,97.1946273137935,57.9675797119625,70.5287656490953,121.33322572326,164.745037336014
21,B025,BGEM-0027-S,1075.0,25.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,97.1946273209231,60.3765757129594,78.4629443368755,132.705287410117,187.20800618881
22,B026,BGEM-0028-S,1284.0,34.0,6.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,97.1946273160116,59.1702091533486,75.7004388879687,124.43260221137,172.68430341988
23,B027,BGEM-0030-S,1129.0,29.0,3.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,97.194627315454,58.5185711414714,79.5767360145514,127.601109773564,176.096149424889
24,B028,BGEM-0031-S,1301.0,1.0,7.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,97.1946273137209,58.0259101235542,78.4055087254424,133.435946006676,162.33975764682
25,B029,BGEM-0032-S,1038.0,38.0,1.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,97.1946273110741,58.1033524334358,67.6141693964414,118.844507056227,162.481327296585
26,B030,BGEM-0033-S,1125.0,25.0,3.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,97.1946273150594,59.6590620018467,87.5432991051388,129.225690014543,184.628594958121
27,B031,BGEM-0034-S,1341.0,41.0,7.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,97.1946273146367,58.9763191738669,68.5660390600809,123.46476717419,162.513889188314
28,B032,BGEM-0035-S,1233.0,33.0,5.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,1.0,97.1946273139172,59.4854946808365,75.222295482373,125.792180001693,169.584788406672
29,B033,BGEM-0036-S,1235.0,35.0,5.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,97.1946273142405,58.4379605322337,77.7400506937703,131.378918068538,171.768463005809
30,B034,BGEM-0037-S,1086.0,36.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,97.1946273083043,56.807763799714,65.8231960317525,119.005812895757,161.365753222735
31,B035,BGEM-0038-N,1068.0,18.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,97.1946273117,58.3245390596009,76.0566673188486,123.46476717419,169.375804131484
32,B036,BGEM-0039-N,1039.0,39.0,1.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,97.1946273286505,67.5958763259173,76.8662773890303,124.789779427472,167.460357175044
33,B037,BGEM-0040-N,1134.0,34.0,3.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,97.1946273133908,59.1275377265999,71.4256977174096,122.63519428518,168.156883341022
34,B038,BGEM-0041-S,1264.0,14.0,6.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,97.194627317342,59.430187985649,74.5571535794251,131.334187774113,180.623569503747
35,B039,BGEM-0042-S,1349.0,49.0,7.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,97.1946273150535,58.4215195749389,72.818227038122,116.908836981869,153.007439230997
36,B040,BGEM-0043-S,1020.0,20.0,1.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,97.1946273275454,60.6985510238816,77.2971058358139,130.596789650547,183.899506900413
37,B041,BGEM-0044-S,1320.0,20.0,7.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,97.1946273238739,60.8460324583899,84.687110666985,136.334668799539,190.968115276807
38,B042,BGEM-0045-N,1203.0,3.0,5.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,97.1946273202246,59.9421740554394,83.6346175757489,143.05190483139,194.973140731182
39,B043,BGEM-0046-N,1221.0,21.0,5.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,97.1946273194679,59.2328004132034,74.7705687141505,130.809984678135,177.112077490414
40,B044,BGEM-0047-S,1032.0,32.0,1.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,97.1946273154339,58.5572922964122,61.8561066878625,123.142155495131,163.281200179175
41,B045,BGEM-0048-S,1229.0,29.0,5.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,97.1946273164907,58.8482338424263,75.3118260542815,124.939563421321,169.549935672979
42,B046,BGEM-0049-S,1168.0,18.0,4.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,97.1946273179803,59.5735231037894,79.042619780604,131.334002274559,184.484528262424
