,UID,genotype,PLOT.ID,rows,ranges,Block,Rep,Group,Trt,year,note,Calibration,ASD,leaf_length,leaf_width,ear_height,flag_leaf,plant_height
0,B001,BGEM-0001-N,1313.0,13.0,7.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,2.0,95.7950661182325,65.0461890989292,71.261610020493,138.425000001911,173.249999995546
1,B002,BGEM-0002-N,1314.0,14.0,7.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,1.0,88.3009824393699,55.4411237258372,74.071061022046,131.125000001911,179.749999995546
2,B003,BGEM-0003-N,1111.0,11.0,3.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,1.0,104.981898760507,59.8110583527453,90.7055120235991,144.200000001911,201.249999995546
3,B004,BGEM-0004-N,1298.0,48.0,6.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,2.0,91.1759824393699,61.7411237258372,81.071061022046,134.550000001911,182.999999995546
4,B005,BGEM-0005-N,1321.0,21.0,7.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,1.0,101.55098243937,63.1911237258372,79.946061022046,114.200000001911,188.249999995546
5,B006,BGEM-0006-S,1322.0,22.0,7.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,1.0,102.85098243937,65.3911237258372,82.196061022046,131.200000001911,197.249999995546
6,B007,BGEM-0007-S,1170.0,20.0,4.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,,,,,,,
7,B008,BGEM-0008-S,1028.0,28.0,1.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,2.0,104.320066118232,62.5961890989292,83.136610020493,133.400000001911,178.499999995546
8,B009,BGEM-0010-S,1078.0,28.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,2.0,106.370066118232,66.0461890989292,65.761610020493,129.500000001911,183.749999995546
9,B010,BGEM-0011-S,1067.0,17.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,2.0,108.22598243937,64.9161237258372,79.971061022046,132.725000001911,178.499999995546
10,B011,BGEM-0012-S,1096.0,46.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,81.7568987605073,49.8360583527453,57.4805120235991,102.875000001911,144.499999995546
11,B012,BGEM-0013-S,1094.0,44.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,96.6818987605073,58.3360583527453,78.1305120235991,126.200000001911,171.749999995546
12,B013,BGEM-0014-S,1055.0,5.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,2.0,88.6009824393699,53.7161237258372,76.071061022046,102.750000001911,148.749999995546
13,B014,BGEM-0015-S,1006.0,6.0,1.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,1.0,100.57598243937,64.1911237258372,87.146061022046,131.750000001911,175.499999995546
14,B016,BGEM-0019-S,1153.0,3.0,4.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,1.0,98.6759824393699,60.1911237258372,81.271061022046,134.175000001911,184.249999995546
15,B018,BGEM-0020-S,1036.0,36.0,1.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,107.379403574756,66.9943779519877,73.8711099177028,117.317529515779,166.472707879177
