,PLOT ID,rows,ranges,Block,Rep,Group,Trt,year,genotype,note,Calibration,ASD,leaf_length,leaf_width,ear_height,flag_leaf,plant_height,Row,Ran.,Leaf Length 1,Leaf Width 1,Leaf Length 2,Leaf Width 2,Ear Height 1,Flag Leaf Height 1,Plant Height 1,Ear Height 2,Flag Leaf Height 2,Plant Height 2,Yang Field Notes,Inbred or Hybrid?,Data missing?
0,1001,1,1,1,1,Inbred,HN,2022,BGEM-0312-S,BGEM_Tall_late,0.0,2.0,62.1,6.0,62.5,125.0,160.0,1,1,61.5,5.6,62.7,6.4,70.0,120.0,158.0,55.0,130.0,162.0,,Inbred,
1,1002,2,1,1,1,Inbred,HN,2022,BGEM-0245-S,BGEM_Tall_late,0.0,2.0,63.6,7.6,66.0,156.5,198.5,2,1,64.0,7.5,63.2,7.7,60.0,151.0,192.0,72.0,162.0,205.0,,Inbred,
2,1003,3,1,1,1,Inbred,HN,2022,BGEM-0292-S,BGEM_Tall_late,0.0,2.0,80.05,6.800000000000001,60.5,153.5,189.5,3,1,76.0,6.7,84.1,6.9,61.0,147.0,179.0,60.0,160.0,200.0,,Inbred,
3,1004,4,1,1,1,Inbred,HN,2022,BGEM-0075-S,BGEM_Tall_late,0.0,1.0,65.65,7.4,100.0,174.0,205.0,4,1,68.6,7.5,62.7,7.3,90.0,170.0,200.0,110.0,178.0,210.0,,Inbred,
4,1005,5,1,1,1,Inbred,HN,2022,BGEM-0204-N,BGEM_Tall_late,0.0,1.0,71.6,6.550000000000001,114.0,210.5,245.0,5,1,67.0,6.2,76.2,6.9,110.0,200.0,230.0,118.0,221.0,260.0,,Inbred,
5,1006,6,1,1,1,Inbred,HN,2022,BGEM-0015-S,BGEM_Tall_late,0.0,1.0,75.75,8.65,64.5,168.0,219.0,6,1,82.2,9.3,69.3,8.0,69.0,177.0,230.0,60.0,159.0,208.0,,Inbred,
6,1007,7,1,1,1,Inbred,HN,2022,BGEM-0166-S,BGEM_Tall_late,0.0,1.0,83.30000000000001,7.75,99.0,200.0,239.0,7,1,84.4,7.9,82.2,7.6,103.0,200.0,238.0,95.0,200.0,240.0,,Inbred,
7,1008,8,1,1,1,Inbred,HN,2022,B73,BGEM_Tall_late,0.0,2.0,77.45,8.0,80.0,145.0,177.5,8,1,77.7,8.0,77.2,8.0,90.0,160.0,190.0,70.0,130.0,165.0,,Inbred,
8,1009,9,1,1,1,Inbred,HN,2022,BGEM-0237-N,BGEM_Tall_late,0.0,1.0,,,,,,9,1,,,,,,,,,,,,Inbred,
9,1010,10,1,1,1,Inbred,HN,2022,BGEM-0152-N,BGEM_Tall_late,0.0,1.0,63.85,7.800000000000001,67.0,149.0,191.5,10,1,62.7,7.9,65.0,7.7,70.0,149.0,192.0,64.0,149.0,191.0,,Inbred,
10,1011,11,1,1,1,Inbred,HN,2022,BGEM-0103-N,BGEM_Tall_late,0.0,1.0,73.2,7.2,75.0,166.5,205.5,11,1,72.4,7.4,74.0,7.0,80.0,170.0,210.0,70.0,163.0,201.0,,Inbred,
11,1012,12,1,1,1,Inbred,HN,2022,BGEM-0308-S,BGEM_Tall_late,0.0,2.0,74.85,8.149999999999999,49.0,148.0,177.5,12,1,76.7,8.7,73.0,7.6,58.0,151.0,183.0,40.0,145.0,172.0,,Inbred,
12,1013,13,1,1,1,Inbred,HN,2022,BGEM-0231-N,BGEM_Tall_late,0.0,2.0,81.3,6.45,68.5,147.5,182.5,13,1,83.5,7.2,79.1,5.7,70.0,160.0,195.0,67.0,135.0,170.0,,Inbred,
13,1014,14,1,1,1,Inbred,HN,2022,BGEM-0210-N,BGEM_Tall_late,0.0,2.0,72.55,7.45,95.0,158.0,202.0,14,1,72.3,7.9,72.8,7.0,95.0,169.0,215.0,95.0,147.0,189.0,,Inbred,
14,1015,15,1,1,1,Inbred,HN,2022,BGEM-0065-N,BGEM_Tall_late,0.0,2.0,65.75,6.6,112.0,189.0,230.0,15,1,67.0,6.5,64.5,6.7,105.0,190.0,230.0,119.0,188.0,230.0,,Inbred,
15,1016,16,1,1,1,Inbred,HN,2022,Mo17,BGEM_Tall_late,0.0,2.0,62.95,9.55,73.0,137.0,192.0,16,1,63.7,9.4,62.2,9.7,76.0,141.0,192.0,70.0,133.0,192.0,,Inbred,
16,1017,17,1,1,1,Inbred,HN,2022,BGEM-0178-S,BGEM_Tall_late,0.0,2.0,79.15,9.25,90.0,213.5,256.0,17,1,78.7,8.7,79.6,9.8,90.0,212.0,255.0,90.0,215.0,257.0,,Inbred,
17,1018,18,1,1,1,Inbred,HN,2022,BGEM-0106-N,BGEM_Tall_late,0.0,2.0,76.85,6.95,102.5,204.5,245.5,18,1,77.4,7.2,76.3,6.7,105.0,208.0,248.0,100.0,201.0,243.0,,Inbred,
18,1019,19,1,1,1,Inbred,HN,2022,BGEM-0069-S,BGEM_Tall_late,0.0,1.0,75.65,8.9,83.5,175.5,218.0,19,1,76.3,8.5,75.0,9.3,81.0,170.0,211.0,86.0,181.0,225.0,,Inbred,
19,1020,20,1,1,1,Inbred,HN,2022,BGEM-0043-S,BGEM_Tall_late,0.0,2.0,88.75,9.5,72.5,188.0,229.0,20,1,83.7,10.6,93.8,8.4,80.0,200.0,240.0,65.0,176.0,218.0,,Inbred,
20,1021,21,1,1,1,Inbred,HN,2022,BGEM-0239-N,BGEM_Tall_late,0.0,1.0,64.7,8.45,85.0,184.0,218.5,21,1,63.7,8.2,65.7,8.7,80.0,179.0,215.0,90.0,189.0,222.0,,Inbred,
21,1022,22,1,1,1,Inbred,HN,2022,BGEM-0325-N,BGEM_Tall_late,0.0,2.0,74.95,7.95,77.5,185.0,226.0,22,1,72.2,8.0,77.7,7.9,70.0,181.0,222.0,85.0,189.0,230.0,,Inbred,
22,1023,23,1,1,1,Inbred,HN,2022,BGEM-0290-N,BGEM_Tall_late,0.0,1.0,69.65,7.5,93.0,175.0,215.0,23,1,69.3,8.0,70.0,7.0,87.0,180.0,220.0,99.0,170.0,210.0,,Inbred,
23,1024,24,1,1,1,Inbred,HN,2022,B73,BGEM_Tall_late,0.0,2.0,77.9,8.7,85.0,165.0,205.0,24,1,77.2,8.7,78.6,8.7,90.0,160.0,195.0,80.0,170.0,215.0,,Inbred,
24,1025,25,1,1,1,Inbred,HN,2022,BGEM-0165-S,BGEM_Tall_late,0.0,2.0,69.35,6.800000000000001,89.0,185.5,224.0,25,1,70.3,6.4,68.4,7.2,79.0,172.0,211.0,99.0,199.0,237.0,,Inbred,
25,1026,26,1,1,1,Inbred,HN,2022,BGEM-0318-S,BGEM_Short_early,0.0,2.0,68.0,7.3,45.0,159.0,201.0,26,1,68.0,7.3,,,50.0,158.0,200.0,40.0,160.0,202.0,,Inbred,
26,1027,27,1,1,1,Inbred,HN,2022,BGEM-0321-S,BGEM_Short_early,0.0,2.0,73.55000000000001,9.149999999999999,61.0,140.0,177.0,27,1,73.7,9.1,73.4,9.2,59.0,150.0,184.0,63.0,130.0,170.0,,Inbred,
27,1028,28,1,1,1,Inbred,HN,2022,BGEM-0008-S,BGEM_Short_early,0.0,2.0,77.85,8.55,80.5,175.0,218.0,28,1,76.2,9.5,79.5,7.6,78.0,175.0,219.0,83.0,175.0,217.0,,Inbred,
28,1029,29,1,1,1,Inbred,HN,2022,BGEM-0113-S,BGEM_Short_early,0.0,1.0,73.55,6.6,63.0,160.0,206.5,29,1,72.5,6.8,74.6,6.4,51.0,158.0,203.0,75.0,162.0,210.0,,Inbred,
29,1030,30,1,1,1,Inbred,HN,2022,BGEM-0140-N,BGEM_Short_early,0.0,1.0,75.3,7.5,55.0,151.5,188.0,30,1,77.6,7.6,73.0,7.4,50.0,145.0,180.0,60.0,158.0,196.0,,Inbred,
30,1031,31,1,1,1,Inbred,HN,2022,BGEM-0221-S,BGEM_Short_early,0.0,2.0,75.7,9.649999999999999,66.0,160.0,200.0,31,1,75.2,9.6,76.2,9.7,65.0,160.0,200.0,67.0,160.0,200.0,,Inbred,
31,1032,32,1,1,1,Inbred,HN,2022,BGEM-0047-S,BGEM_Short_early,0.0,2.0,70.0,8.5,53.5,146.5,184.5,32,1,72.5,8.3,67.5,8.7,52.0,158.0,194.0,55.0,135.0,175.0,,Inbred,
32,1033,33,1,1,1,Inbred,HN,2022,Mo17,BGEM_Short_early,0.0,2.0,65.35,8.95,76.0,152.0,198.0,33,1,66.5,9.2,64.2,8.7,75.0,152.0,198.0,77.0,152.0,198.0,,Inbred,
33,1034,34,1,1,1,Inbred,HN,2022,BGEM-0136-S,BGEM_Short_early,0.0,2.0,57.8,9.05,75.5,139.0,177.0,34,1,61.2,9.2,54.4,8.9,73.0,138.0,176.0,78.0,140.0,178.0,,Inbred,
34,1035,35,1,1,1,Inbred,HN,2022,BGEM-0244-S,BGEM_Short_early,0.0,2.0,65.6,8.95,61.5,150.5,197.5,35,1,67.5,8.2,63.7,9.7,67.0,151.0,196.0,56.0,150.0,199.0,,Inbred,
35,1036,36,1,1,1,Inbred,HN,2022,BGEM-0020-S,BGEM_Short_early,0.0,1.0,83.25,9.65,72.0,163.5,209.0,36,1,85.0,10.8,81.5,8.5,79.0,178.0,226.0,65.0,149.0,192.0,,Inbred,
36,1037,37,1,1,1,Inbred,HN,2022,BGEM-0118-S,BGEM_Short_early,0.0,1.0,67.9,7.050000000000001,54.0,151.5,195.5,37,1,67.5,7.2,68.3,6.9,48.0,145.0,191.0,60.0,158.0,200.0,,Inbred,
37,1038,38,1,1,1,Inbred,HN,2022,BGEM-0032-S,BGEM_Short_early,0.0,2.0,66.0,8.5,62.0,138.0,183.5,38,1,66.0,8.6,66.0,8.4,65.0,140.0,179.0,59.0,136.0,188.0,,Inbred,
38,1039,39,1,1,1,Inbred,HN,2022,BGEM-0039-N,BGEM_Short_early,0.0,1.0,69.2,8.0,79.5,172.0,215.0,39,1,,,69.2,8.0,79.0,168.0,219.0,80.0,176.0,211.0,,Inbred,
39,1040,40,1,1,1,Inbred,HN,2022,BGEM-0080-S,BGEM_Short_early,0.0,1.0,62.75,8.4,74.0,179.0,215.0,40,1,64.5,8.3,61.0,8.5,78.0,178.0,210.0,70.0,180.0,220.0,,Inbred,
40,1041,41,1,1,1,Inbred,HN,2022,B73,BGEM_Short_early,0.0,1.0,78.5,8.95,83.5,173.5,208.5,41,1,80.0,9.0,77.0,8.9,78.0,171.0,198.0,89.0,176.0,219.0,,Inbred,
41,1042,42,1,1,1,Inbred,HN,2022,BGEM-0179-S,BGEM_Short_early,0.0,1.0,74.25,9.649999999999999,96.0,196.0,240.5,42,1,74.0,10.2,74.5,9.1,92.0,195.0,241.0,100.0,197.0,240.0,,Inbred,
42,1043,43,1,1,1,Inbred,HN,2022,BGEM-0214-S,BGEM_Short_early,0.0,1.0,71.55,8.05,74.5,165.0,200.0,43,1,70.5,7.5,72.6,8.6,69.0,170.0,200.0,80.0,160.0,200.0,,Inbred,
