"genotype","PLOT.ID","rows","ranges","Block","Rep","Trt","year","note","Calibration","ASD","CHL"
"B73","4343","43","7","4","2","HN","2022","BGEM_Tall_early","0","2",475.092324653163
"B73","1310","10","7","1","1","HN","2022","BGEM_Tall_early","0","1",475.092324653163
"B73","4387","37","8","4","2","HN","2022","Hybrid","0","1",475.092324653163
"B73","1139","39","3","1","1","HN","2022","BGEM_Short_early","0","1",475.092324653163
"B73","4147","47","3","4","2","HN","2022","BGEM_Tall_late","0","1",475.092324653163
"B73","4318","18","7","4","2","HN","2022","BGEM_Short_early","0","2",475.092324653163
"B73","1008","8","1","1","1","HN","2022","BGEM_Tall_late","0","2",475.092324653163
"B73","4163","13","4","4","2","HN","2022","BGEM_Short_late","0","2",475.092324653163
"B73","4016","16","1","4","2","HN","2022","BGEM_Short_late","0","2",475.092324653163
"B73","1293","43","6","1","1","HN","2022","BGEM_Short_late","0","1",475.092324653163
"B73","4180","30","4","4","2","HN","2022","BGEM_Tall_late","0","1",475.092324653163
"B73","4302","2","7","4","2","HN","2022","BGEM_Short_early","0","1",475.092324653163
"B73","4033","33","1","4","2","HN","2022","BGEM_Tall_late","0","2",475.092324653163
"B73","1041","41","1","1","1","HN","2022","BGEM_Short_early","0","1",475.092324653163
"B73","1163","13","4","1","1","HN","2022","BGEM_Tall_early","0","1",475.092324653163
"B73","4114","14","3","4","2","HN","2022","BGEM_Short_late","0","1",475.092324653163
"B73","4373","23","8","4","2","HN","2022","Hybrid","0","1",475.092324653163
"B73","4253","3","6","4","2","HN","2022","BGEM_Short_early","0","1",475.092324653163
"B73","1073","23","2","1","1","HN","2022","BGEM_Tall_late","0","2",475.092324653163
"B73","1155","5","4","1","1","HN","2022","BGEM_Tall_late","0","1",475.092324653163
"B73","4269","19","6","4","2","HN","2022","BGEM_Short_early",NA,NA,475.092324653163
"B73","4204","4","5","4","2","HN","2022","BGEM_Short_early","0","1",475.092324653163
"B73","4286","36","6","4","2","HN","2022","BGEM_Tall_early","0","2",475.092324653163
"B73","4327","27","7","4","2","HN","2022","BGEM_Tall_early","0","1",475.092324653163
"B73","4220","20","5","4","2","HN","2022","BGEM_Short_early","0","1",475.092324653163
"B73","4098","48","2","4","2","HN","2022","BGEM_Tall_late","0","2",475.092324653163
"B73","1228","28","5","1","1","HN","2022","BGEM_Short_late","0","1",475.092324653163
"B73","1350","50","7","1","1","HN","2022","BGEM_Short_late","0","1",475.092324653163
"B73","4049","49","1","4","2","HN","2022","BGEM_Tall_late","0","2",475.092324653163
"B73","1057","7","2","1","1","HN","2022","BGEM_Tall_late","0","2",475.092324653163
"B73","1244","44","5","1","1","HN","2022","BGEM_Short_late","0","2",475.092324653163
"B73","4131","31","3","4","2","HN","2022","BGEM_Tall_late","0","1",475.092324653163
"B73","4188","38","4","4","2","HN","2022","BGEM_Tall_early","0","2",475.092324653163
"B73","1195","45","4","1","1","HN","2022","BGEM_Short_late","0","2",475.092324653163
"B73","4065","15","2","4","2","HN","2022","BGEM_Short_late","0","1",475.092324653163
"B73","1090","40","2","1","1","HN","2022","BGEM_Short_early","0","1",475.092324653163
"B73","1212","12","5","1","1","HN","2022","BGEM_Tall_early","0","1",475.092324653163
"B73","1024","24","1","1","1","HN","2022","BGEM_Tall_late","0","2",475.092324653163
