UID,CHL_blups_LN,CHL_blups_HN,CHL_LN,CHL_HN
B001,304.940411252303,310.579681388185,275.037846202606,273.892880820095
B002,309.540594401282,400.871283487171,266.822592821148,391.463652721083
B003,312.329930486462,433.858612692048,296.012033663292,434.417212824242
B004,303.314404737708,373.497612558051,270.422638586426,355.819766179209
B005,324.826580763876,464.386464090133,331.482147109572,474.168230304436
B006,314.745417190867,375.35586875022,302.868077925654,358.239444309004
B007,337.020096183607,373.262806303403,366.091851762067,337.491339087658
B008,282.718242692994,374.227986796274,211.963116389157,356.770803274224
B009,301.863645736176,407.20682681737,266.304848200584,399.713309415921
B010,337.99007770001,437.732510887574,368.845017903702,439.461504768631
B011,355.330259528117,479.217423737339,418.062864524065,493.479963989734
B012,354.75080758462,426.214535163545,416.418165687478,424.463683652041
B013,308.007324956681,364.622515363218,283.742881120712,344.263297984648
B014,309.694385049829,426.587153564181,288.531381364078,424.94887864215
B016,340.428105937969,419.289387313803,375.7650433718,415.446289350741
B018,342.025079222429,379.932453522721,380.297843947398,364.198720607849
B019,330.592117849174,409.124757759082,347.846872852429,402.210691409683
B021,350.047423217573,435.323241663249,403.068222032405,436.324339895749
B022,315.810664497712,440.458053679458,305.891643599924,443.010496728478
B023,302.279506728273,378.297053957455,267.485215438214,362.069229217896
B024,313.004206243992,417.40251999461,297.92587754007,412.98935601436
B025,332.127902683806,446.684612121233,352.205997986299,451.118241693326
B026,326.199652088009,435.929059350636,335.379431146146,437.113189040981
B027,318.694845079651,450.046984943309,314.078014360883,455.496464683289
B028,334.092791918975,391.175039187164,357.783080046985,378.837949993574
B029,324.505836142533,398.62657533038,330.571755296266,388.540766599326
B030,352.624618990633,393.325314643589,410.383256414773,381.637873124126
B031,306.489526329921,419.595305707264,279.434807494208,415.844632727332
B032,321.389247324401,372.15592280365,322.235654683823,354.072721089637
B033,318.210642104168,355.928060904195,312.703667308661,332.942048851372
B034,337.051064009324,411.45782323709,366.179749900129,405.248629631714
B035,303.996359422855,368.835849719767,272.358278098648,349.749577561716
B036,308.210049102758,362.033943829596,284.318287193542,340.892659450678
B037,309.650094290764,367.215492287156,288.405667815745,347.639672878679
B038,320.087377279011,402.740274583348,318.030535555954,393.897309016302
B039,317.291573886175,402.252144389656,310.095011930345,393.261703463554
B040,329.210146421381,421.827471773836,343.924327031335,418.751187504933
B041,335.103194162445,381.766390177879,360.650975155407,366.586731709126
B042,305.465001728189,366.07231905828,276.526827912062,346.151120723097
B043,330.340914455227,343.629274676907,347.13386475157,316.927516418972
B044,342.999652238473,457.097629695432,383.064042462471,464.677271387749
B045,305.429942310874,382.839486522982,276.427316324402,367.984035142502
B046,337.672804277104,418.477858244427,367.944478634847,414.389578683429
B047,304.591833474723,431.316529307568,274.0484536021,431.107107578548
B048,334.900073953519,354.831251943718,360.074444909788,308.470379125872
B049,313.690856382786,352.353981046661,299.874844485631,328.28815726104
B050,330.035543137225,429.334168477218,346.267108056588,428.525829944832
B051,352.574396541669,469.170672626504,410.240706537586,480.397858281796
B052,348.437970425307,399.585623541793,398.500000000034,389.789565334588
B053,331.503982537552,409.181649543323,350.435081950578,402.284771510518
B054,324.178373164145,386.715697019001,329.642294301916,373.031337986548
B055,308.806586866164,371.244053384994,286.011481903588,352.885354945588
B056,379.942862734954,501.063311861418,487.922531600823,521.925997395973
B057,315.454151328534,417.949927289577,304.879727424379,413.702147644116
B058,315.323501387748,316.495102787285,304.508894591696,281.595487085175
B059,323.265181808942,403.360660663934,327.05031963285,394.705128001406
B060,347.500307779695,438.003442262515,395.838566761858,439.814290743667
B061,327.921484952296,433.339498669876,340.266629369354,433.74126251577
B062,337.983082113548,504.245270459294,368.825161843085,526.069298874876
B064,311.974744011816,446.973335949877,295.003883137302,451.494195631574
B065,328.658716966576,430.950877498271,342.359166377449,430.630983947262
B066,337.649677433924,422.600148082423,367.878836104005,419.757307098764
B067,339.971404416139,432.514797121326,374.468755612218,432.667399660344
B068,312.26785499409,411.496813162771,295.835840466893,405.299399310756
B071,352.346920622139,481.041152301682,409.59504578107,495.854682901163
B072,325.109652063468,352.597228391847,332.285608108082,328.604895224168
B073,341.590664551447,433.922251888889,379.064814509875,434.500078886222
B074,337.216096289883,436.595922017124,366.648172524094,437.981526257602
B075,343.292579173946,465.229151871306,383.895477399197,475.265513447065
B076,345.754993854366,472.022422628509,390.884720606565,484.111187552848
B077,326.379962724937,416.20428540661,335.891219393832,411.429107196589
B078,322.915156714781,440.322143508794,326.056819012819,442.83352496917
B079,319.311358454691,415.763245204383,315.827907241644,410.854818604851
B080,346.753814520201,436.652864873693,393.719742915998,438.05567286089
B081,314.916475858794,409.284429867397,303.353605664902,402.418604134558
B082,307.009083201167,434.735430224531,280.909501972789,435.558937101073
B083,317.902190001093,403.510983686346,311.828166206689,394.900867066487
B085,343.342546727918,449.77229005609,384.037303790165,455.138778152351
B086,334.021810708495,423.063840062756,357.581609130186,420.36109109179
