"gid","trial","rep","block","grain.yield"
6176013,"EYTBWB5IR_10",1,1,8.2678571
4755014,"EYTBWB5IR_10",1,1,7.4508934
7399938,"EYTBWB5IR_10",1,1,7.6473217
7313459,"EYTBWB5IR_10",1,1,7.3035711
7313462,"EYTBWB5IR_10",1,1,7.64732113
7399946,"EYTBWB5IR_10",1,2,7.12500016
7399947,"EYTBWB5IR_10",1,2,7.33928619
7399948,"EYTBWB5IR_10",1,2,7.30357122
7399950,"EYTBWB5IR_10",1,2,7.59375025
6176013,"EYTBWB5IR_01",1,1,8.2633931
7399956,"EYTBWB5IR_10",1,2,7.04910728
7399960,"EYTBWB5IR_10",1,3,6.40178631
7399966,"EYTBWB5IR_10",1,3,7.57142934
7313466,"EYTBWB5IR_10",1,3,7.44642937
7313467,"EYTBWB5IR_10",1,3,6.9508934
7313470,"EYTBWB5IR_10",1,3,7.23660743
7399981,"EYTBWB5IR_10",1,4,7.20089346
7400004,"EYTBWB5IR_10",1,4,7.53125049
7400031,"EYTBWB5IR_10",1,4,7.56696452
7400062,"EYTBWB5IR_10",1,4,7.02232155
4755014,"EYTBWB5IR_01",1,1,7.1785714
7400063,"EYTBWB5IR_10",1,4,6.21651858
7400064,"EYTBWB5IR_10",1,5,6.38616161
7400069,"EYTBWB5IR_10",1,5,7.95089364
7400073,"EYTBWB5IR_10",1,5,7.64732167
7313509,"EYTBWB5IR_10",1,5,7.6919647
7313525,"EYTBWB5IR_10",1,5,6.77678673
7313526,"EYTBWB5IR_10",1,6,6.60267976
7400085,"EYTBWB5IR_10",1,6,7.45982179
7400087,"EYTBWB5IR_10",1,6,7.16964382
7400088,"EYTBWB5IR_10",1,6,7.24107185
7312312,"EYTBWB5IR_01",1,1,7.2857147
7400090,"EYTBWB5IR_10",1,6,8.04464388
7400085,"EYTBWB5IR_10",2,1,7.3214298
7399956,"EYTBWB5IR_10",2,1,7.71428629
4755014,"EYTBWB5IR_10",2,1,7.6071435
7313470,"EYTBWB5IR_10",2,1,7.13839344
7399966,"EYTBWB5IR_10",2,1,7.75892935
7400004,"EYTBWB5IR_10",2,2,7.2946435
7400073,"EYTBWB5IR_10",2,2,7.66517968
7399946,"EYTBWB5IR_10",2,2,6.71428617
7400087,"EYTBWB5IR_10",2,2,7.14732183
7312313,"EYTBWB5IR_01",1,1,7.7946431
7313462,"EYTBWB5IR_10",2,2,6.76339314
7313466,"EYTBWB5IR_10",2,3,7.22767938
7313467,"EYTBWB5IR_10",2,3,7.56250041
7400064,"EYTBWB5IR_10",2,3,7.01339362
7399981,"EYTBWB5IR_10",2,3,7.30357147
7313526,"EYTBWB5IR_10",2,3,6.90178677
7313459,"EYTBWB5IR_10",2,4,7.65178611
7400062,"EYTBWB5IR_10",2,4,7.82142956
6176013,"EYTBWB5IR_10",2,4,8.1250002
7399947,"EYTBWB5IR_10",2,4,7.4151792
7312319,"EYTBWB5IR_01",1,1,7.09375013
7400088,"EYTBWB5IR_10",2,4,7.43303686
7400069,"EYTBWB5IR_10",2,5,6.77232165
7400063,"EYTBWB5IR_10",2,5,6.89285759
7313525,"EYTBWB5IR_10",2,5,7.13839374
7399938,"EYTBWB5IR_10",2,5,6.8839298
7399950,"EYTBWB5IR_10",2,5,6.95535726
7399960,"EYTBWB5IR_10",2,6,7.07589332
7400090,"EYTBWB5IR_10",2,6,7.96875089
7399948,"EYTBWB5IR_10",2,6,7.36607123
7313509,"EYTBWB5IR_10",2,6,7.61160771
7398595,"EYTBWB5IR_01",1,2,7.05357116
7400031,"EYTBWB5IR_10",2,6,7.21875053
7313467,"EYTBWB5IR_10",3,1,7.03571442
7399947,"EYTBWB5IR_10",3,1,7.21428621
7313466,"EYTBWB5IR_10",3,1,7.71875039
4755014,"EYTBWB5IR_10",3,1,7.5178576
7400063,"EYTBWB5IR_10",3,1,6.7008936
7399948,"EYTBWB5IR_10",3,2,6.98214324
7400004,"EYTBWB5IR_10",3,2,7.52678651
7400064,"EYTBWB5IR_10",3,2,6.71875063
7313459,"EYTBWB5IR_10",3,2,7.70535712
7398603,"EYTBWB5IR_01",1,2,6.84375019
7313470,"EYTBWB5IR_10",3,2,6.68750045
7313509,"EYTBWB5IR_10",3,3,7.25446472
7400087,"EYTBWB5IR_10",3,3,6.55580484
7400090,"EYTBWB5IR_10",3,3,7.2053579
7313525,"EYTBWB5IR_10",3,3,6.81250075
7400031,"EYTBWB5IR_10",3,3,7.49553654
7400073,"EYTBWB5IR_10",3,4,6.99553669
7399966,"EYTBWB5IR_10",3,4,7.87946436
7400062,"EYTBWB5IR_10",3,4,6.95982157
7313526,"EYTBWB5IR_10",3,4,6.43080478
7398640,"EYTBWB5IR_01",1,2,6.93750022
7399938,"EYTBWB5IR_10",3,4,7.2991079
7399950,"EYTBWB5IR_10",3,5,7.12053627
7313462,"EYTBWB5IR_10",3,5,7.65178615
7399981,"EYTBWB5IR_10",3,5,7.07589348
7400085,"EYTBWB5IR_10",3,5,7.41964381
7399956,"EYTBWB5IR_10",3,5,7.2544643
6176013,"EYTBWB5IR_10",3,6,7.9508933
7400069,"EYTBWB5IR_10",3,6,7.52232166
7400088,"EYTBWB5IR_10",3,6,7.54910787
7399960,"EYTBWB5IR_10",3,6,6.70089333
7312360,"EYTBWB5IR_01",1,2,7.70982125
7399946,"EYTBWB5IR_10",3,6,7.55803618
7312376,"EYTBWB5IR_01",1,2,7.08482128
6176013,"EYTBWB5IR_11",1,1,7.9687501
4755014,"EYTBWB5IR_11",1,1,7.6339294
7400091,"EYTBWB5IR_11",1,1,7.5178577
7400093,"EYTBWB5IR_11",1,1,6.2968751
7400099,"EYTBWB5IR_11",1,1,7.30357113
7313552,"EYTBWB5IR_11",1,2,7.30357116
7313592,"EYTBWB5IR_11",1,2,6.87946419
7400168,"EYTBWB5IR_11",1,2,7.64732122
7313608,"EYTBWB5IR_11",1,2,7.45535725
7312378,"EYTBWB5IR_01",1,3,6.78571431
7400194,"EYTBWB5IR_11",1,2,6.54017928
7313634,"EYTBWB5IR_11",1,3,6.85714331
7400204,"EYTBWB5IR_11",1,3,7.16071434
7400209,"EYTBWB5IR_11",1,3,7.20089337
7313663,"EYTBWB5IR_11",1,3,7.8125004
7313675,"EYTBWB5IR_11",1,3,7.31696443
7313678,"EYTBWB5IR_11",1,4,7.16071446
7313679,"EYTBWB5IR_11",1,4,7.15178649
7313680,"EYTBWB5IR_11",1,4,7.36607152
7313682,"EYTBWB5IR_11",1,4,7.12500055
7398685,"EYTBWB5IR_01",1,3,7.94196434
7313692,"EYTBWB5IR_11",1,4,6.21428658
7313697,"EYTBWB5IR_11",1,5,6.50446461
7400222,"EYTBWB5IR_11",1,5,7.94196464
7400224,"EYTBWB5IR_11",1,5,7.45982167
7400239,"EYTBWB5IR_11",1,5,6.9196437
7400242,"EYTBWB5IR_11",1,5,6.70089373
7400243,"EYTBWB5IR_11",1,6,7.12500076
7400251,"EYTBWB5IR_11",1,6,6.41294679
7400265,"EYTBWB5IR_11",1,6,7.81696482
7313708,"EYTBWB5IR_11",1,6,7.83928685
7312386,"EYTBWB5IR_01",1,3,7.81250037
7400267,"EYTBWB5IR_11",1,6,7.79910788
7400251,"EYTBWB5IR_11",2,1,6.7589298
7400194,"EYTBWB5IR_11",2,1,6.55803629
4755014,"EYTBWB5IR_11",2,1,7.2008935
7313675,"EYTBWB5IR_11",2,1,7.09375044
7400204,"EYTBWB5IR_11",2,1,7.10714335
7313679,"EYTBWB5IR_11",2,2,7.0267865
7400224,"EYTBWB5IR_11",2,2,7.42857168
7313552,"EYTBWB5IR_11",2,2,7.02678617
7400265,"EYTBWB5IR_11",2,2,7.63392983
7312388,"EYTBWB5IR_01",1,3,7.0669644
7400099,"EYTBWB5IR_11",2,2,6.87500014
7400209,"EYTBWB5IR_11",2,3,7.48214338
7313663,"EYTBWB5IR_11",2,3,7.13839341
7313697,"EYTBWB5IR_11",2,3,7.04464362
7313678,"EYTBWB5IR_11",2,3,7.13839347
7400243,"EYTBWB5IR_11",2,3,6.76339377
7400093,"EYTBWB5IR_11",2,4,6.83035711
7313682,"EYTBWB5IR_11",2,4,7.14732156
6176013,"EYTBWB5IR_11",2,4,8.0357142
7313592,"EYTBWB5IR_11",2,4,7.3035712
7312394,"EYTBWB5IR_01",1,3,7.44642943
7313708,"EYTBWB5IR_11",2,4,7.51339386
7400222,"EYTBWB5IR_11",2,5,6.93750065
7313692,"EYTBWB5IR_11",2,5,7.42857159
7400242,"EYTBWB5IR_11",2,5,7.20089374
7400091,"EYTBWB5IR_11",2,5,7.2544648
7313608,"EYTBWB5IR_11",2,5,7.00000026
7313634,"EYTBWB5IR_11",2,6,6.79910732
7400267,"EYTBWB5IR_11",2,6,7.12053689
7400168,"EYTBWB5IR_11",2,6,7.22321423
7400239,"EYTBWB5IR_11",2,6,6.92410771
7312398,"EYTBWB5IR_01",1,4,6.79017946
7313680,"EYTBWB5IR_11",2,6,7.08482153
7313663,"EYTBWB5IR_11",3,1,7.32142942
7313592,"EYTBWB5IR_11",3,1,7.21428621
7400209,"EYTBWB5IR_11",3,1,7.02678639
4755014,"EYTBWB5IR_11",3,1,7.1428576
7313692,"EYTBWB5IR_11",3,1,6.8437506
7400168,"EYTBWB5IR_11",3,2,7.25892924
7313679,"EYTBWB5IR_11",3,2,6.77232151
7313697,"EYTBWB5IR_11",3,2,6.90625063
7400093,"EYTBWB5IR_11",3,2,6.85267912
7312402,"EYTBWB5IR_01",1,4,7.41964349
7313675,"EYTBWB5IR_11",3,2,6.60267945
7400239,"EYTBWB5IR_11",3,3,6.91517972
7400265,"EYTBWB5IR_11",3,3,7.18750084
7400267,"EYTBWB5IR_11",3,3,7.5044649
7400242,"EYTBWB5IR_11",3,3,7.08035775
7313680,"EYTBWB5IR_11",3,3,7.08482154
7400224,"EYTBWB5IR_11",3,4,7.17857169
7400204,"EYTBWB5IR_11",3,4,6.93750036
7313682,"EYTBWB5IR_11",3,4,7.58482157
7400243,"EYTBWB5IR_11",3,4,7.13392978
7312410,"EYTBWB5IR_01",1,4,6.94196452
7400091,"EYTBWB5IR_11",3,4,6.9285719
7313608,"EYTBWB5IR_11",3,5,6.79017927
7400099,"EYTBWB5IR_11",3,5,7.47321415
7313678,"EYTBWB5IR_11",3,5,7.65625048
7400251,"EYTBWB5IR_11",3,5,6.79017981
7400194,"EYTBWB5IR_11",3,5,6.4553573
6176013,"EYTBWB5IR_11",3,6,8.5000003
7400222,"EYTBWB5IR_11",3,6,7.11607166
7313708,"EYTBWB5IR_11",3,6,8.04464387
7313634,"EYTBWB5IR_11",3,6,6.95982133
7312413,"EYTBWB5IR_01",1,4,7.20982155
7313552,"EYTBWB5IR_11",3,6,7.15178618
7398700,"EYTBWB5IR_01",1,4,6.70089358
6176013,"EYTBWB5IR_12",1,1,7.8839291
4755014,"EYTBWB5IR_12",1,1,7.1964294
7400275,"EYTBWB5IR_12",1,1,6.9687507
7400276,"EYTBWB5IR_12",1,1,6.7678571
7313713,"EYTBWB5IR_12",1,1,6.82142913
7313716,"EYTBWB5IR_12",1,2,6.70982116
7400278,"EYTBWB5IR_12",1,2,6.82142919
7400279,"EYTBWB5IR_12",1,2,6.96428622
7400280,"EYTBWB5IR_12",1,2,6.52678625
7398701,"EYTBWB5IR_01",1,5,7.15625061
7400281,"EYTBWB5IR_12",1,2,6.60267928
7400282,"EYTBWB5IR_12",1,3,6.64732131
7400292,"EYTBWB5IR_12",1,3,7.06696434
7400293,"EYTBWB5IR_12",1,3,7.42857137
7400294,"EYTBWB5IR_12",1,3,7.5089294
7400298,"EYTBWB5IR_12",1,3,7.09375043
7400299,"EYTBWB5IR_12",1,4,7.34375046
7400301,"EYTBWB5IR_12",1,4,6.57142949
7313724,"EYTBWB5IR_12",1,4,7.16071452
7400305,"EYTBWB5IR_12",1,4,7.53125055
7312429,"EYTBWB5IR_01",1,5,7.62500064
7400306,"EYTBWB5IR_12",1,4,6.85267958
7400307,"EYTBWB5IR_12",1,5,6.85267961
7400308,"EYTBWB5IR_12",1,5,7.00892964
7400309,"EYTBWB5IR_12",1,5,6.70089367
7400311,"EYTBWB5IR_12",1,5,7.7008937
7400313,"EYTBWB5IR_12",1,5,7.06250073
7400315,"EYTBWB5IR_12",1,6,6.81696476
7400316,"EYTBWB5IR_12",1,6,6.88839379
7400318,"EYTBWB5IR_12",1,6,7.28571482
7313754,"EYTBWB5IR_12",1,6,7.41071485
7312439,"EYTBWB5IR_01",1,5,7.45089367
7400320,"EYTBWB5IR_12",1,6,7.15178688
7400316,"EYTBWB5IR_12",2,1,7.2544648
7400281,"EYTBWB5IR_12",2,1,7.84375029
4755014,"EYTBWB5IR_12",2,1,7.0892865
7400298,"EYTBWB5IR_12",2,1,7.26339344
7400292,"EYTBWB5IR_12",2,1,7.31250035
7400301,"EYTBWB5IR_12",2,2,7.0625005
7400309,"EYTBWB5IR_12",2,2,6.64732168
7313716,"EYTBWB5IR_12",2,2,7.19642917
7400318,"EYTBWB5IR_12",2,2,7.24553683
7312451,"EYTBWB5IR_01",1,5,7.2901797
7313713,"EYTBWB5IR_12",2,2,6.71875014
7400293,"EYTBWB5IR_12",2,3,6.91517938
7400294,"EYTBWB5IR_12",2,3,7.75000041
7400307,"EYTBWB5IR_12",2,3,7.15178662
7400299,"EYTBWB5IR_12",2,3,7.71428647
7400315,"EYTBWB5IR_12",2,3,6.91071477
7400276,"EYTBWB5IR_12",2,4,7.39732111
7400305,"EYTBWB5IR_12",2,4,7.84375056
6176013,"EYTBWB5IR_12",2,4,8.0714292
7400278,"EYTBWB5IR_12",2,4,7.3258932
7312452,"EYTBWB5IR_01",1,5,7.37053673
7313754,"EYTBWB5IR_12",2,4,7.24107186
7400308,"EYTBWB5IR_12",2,5,7.16964365
7400306,"EYTBWB5IR_12",2,5,7.05803659
7400313,"EYTBWB5IR_12",2,5,6.47098274
7400275,"EYTBWB5IR_12",2,5,6.7321438
7400280,"EYTBWB5IR_12",2,5,6.60267926
7400282,"EYTBWB5IR_12",2,6,7.01339332
7400320,"EYTBWB5IR_12",2,6,7.04017989
7400279,"EYTBWB5IR_12",2,6,7.34375023
7400311,"EYTBWB5IR_12",2,6,8.02232171
7312454,"EYTBWB5IR_01",1,6,7.41964376
