"genotype","CHL"
"B73",425.917327665599
"B73 X Mo17",439.919579223995
"BGEM-0001-N",274.465363486154
"BGEM-0002-N",331.950844553779
"BGEM-0002-N X B73",378.442518425809
"BGEM-0003-N",365.214623218571
"BGEM-0003-N X B73",367.684802155753
"BGEM-0004-N",313.121202357621
"BGEM-0004-N X B73",403.731096754572
"BGEM-0005-N",402.825188681808
"BGEM-0005-N X B73",389.372960411496
"BGEM-0006-S",330.553761092133
"BGEM-0006-S X Mo17",406.21553802291
"BGEM-0007-S",374.486774845172
"BGEM-0008-S",284.366959806495
"BGEM-0008-S X Mo17",472.756752843333
"BGEM-0010-S",333.009078783056
"BGEM-0010-S X Mo17",395.980148549433
"BGEM-0011-S",404.15326131097
"BGEM-0011-S X Mo17",370.517659432677
"BGEM-0012-S",455.771414231703
"BGEM-0012-S X Mo17",425.556721520218
"BGEM-0013-S",420.440924644564
"BGEM-0014-S",314.003089527484
"BGEM-0014-S X Mo17",374.884632757783
"BGEM-0015-S",356.740129977918
"BGEM-0015-S X Mo17",353.460071595414
"BGEM-0018-S",378.988374152799
"BGEM-0019-S",395.605666336075
"BGEM-0019-S X Mo17",387.962417036852
"BGEM-0020-S",372.248282252428
"BGEM-0021-S",375.02878210586
"BGEM-0021-S X Mo17",390.035351604419
"BGEM-0022-S",365.200544609273
"BGEM-0022-S X Mo17",354.561348012585
"BGEM-0023-S",419.696280938881
"BGEM-0023-S X Mo17",434.419391404141
"BGEM-0024-S",374.451070139005
"BGEM-0024-S X Mo17",394.516820063467
"BGEM-0025-S",314.777222302859
"BGEM-0026-S",355.457616752019
"BGEM-0026-S X Mo17",395.891408178083
"BGEM-0027-S",401.662119814617
"BGEM-0027-S X Mo17",389.855227653119
"BGEM-0028-S",386.246310068368
"BGEM-0028-S X Mo17",389.649195349086
"BGEM-0029-S",342.708205371232
"BGEM-0029-S X Mo17",407.539387835634
"BGEM-0030-S",384.78723949689
"BGEM-0030-S X Mo17",413.062091456627
"BGEM-0031-S",368.310514995084
"BGEM-0032-S",359.5562609226
"BGEM-0032-S X Mo17",390.380630614943
"BGEM-0033-S",396.010564744254
"BGEM-0033-S X Mo17",383.93891691392
"BGEM-0034-S",347.639720085574
"BGEM-0034-S X Mo17",382.124907059278
"BGEM-0035-S",325.494577420373
"BGEM-0035-S X Mo17",396.554567008875
"BGEM-0036-S",322.82285805482
"BGEM-0036-S X Mo17",369.372523706218
"BGEM-0037-S",385.714189740725
"BGEM-0038-N",311.053927804986
"BGEM-0038-N X B73",458.580603173475
"BGEM-0039-N",312.605473296914
"BGEM-0039-N X B73",398.576573722047
"BGEM-0040-N",318.022670322016
"BGEM-0040-N X B73",361.370038878298
"BGEM-0041-S",355.963922260932
"BGEM-0042-S",351.678357671754
"BGEM-0043-S",381.337757242938
"BGEM-0043-S X Mo17",427.38209253081
"BGEM-0044-S",363.618853407071
"BGEM-0044-S X Mo17",402.636199813398
"BGEM-0045-N",311.338974292383
"BGEM-0045-N X B73",380.069074255165
"BGEM-0046-N",332.030690560075
"BGEM-0046-N X B73",380.501764473898
"BGEM-0047-S",423.870656899914
"BGEM-0047-S X Mo17",401.98123553807
"BGEM-0048-S",322.205675708256
"BGEM-0048-S X Mo17",396.487565930767
"BGEM-0049-S",391.167028633942
"BGEM-0049-S X Mo17",379.257935257589
"BGEM-0050-S",352.577780565128
"BGEM-0050-S X Mo17",371.257202987723
"BGEM-0051-S",361.245663201935
"BGEM-0051-S X Mo17",344.105383738644
"BGEM-0052-S",314.08150084814
"BGEM-0052-S X Mo17",393.788626340065
"BGEM-0053-S",391.431730345074
"BGEM-0053-S X Mo17",388.831793995849
"BGEM-0054-S",398.425430166231
"BGEM-0054-S X Mo17",444.462419563048
"BGEM-0055-S",387.396468975514
"BGEM-0055-S X Mo17",432.083278781043
"BGEM-0056-S",445.319282384495
"BGEM-0056-S X Mo17",382.841849005683
"BGEM-0057-S",394.144782642115
"BGEM-0057-S X Mo17",365.258858108441
"BGEM-0058-N",283.785451247088
"BGEM-0058-N X B73",383.435907726973
"BGEM-0059-S",376.359926705352
"BGEM-0059-S X Mo17",417.786070304175
"BGEM-0060-S",351.336816119036
"BGEM-0060-S X Mo17",414.087604712716
"BGEM-0061-N",319.448418399392
"BGEM-0061-N X B73",382.229191630201
"BGEM-0062-N",504.924264473201
"BGEM-0062-N X B73",384.766777430285
"BGEM-0063-N",359.290937509052
"BGEM-0063-N X B73",375.909361943345
"BGEM-0064-N",293.05219081324
"BGEM-0064-N X B73",392.129739975022
"BGEM-0065-N",360.877723791933
"BGEM-0066-N",417.826428727566
"BGEM-0067-S",387.003945917366
"BGEM-0068-S",447.447230333784
"BGEM-0068-S X Mo17",402.648333136614
"BGEM-0069-S",373.249039359242
"BGEM-0070-S",386.49507513716
"BGEM-0070-S X Mo17",383.324730348615
"BGEM-0071-S",393.818071576188
"BGEM-0071-S X Mo17",411.995376998143
"BGEM-0072-S",403.568077611085
"BGEM-0072-S X Mo17",345.625279360491
"BGEM-0073-S",350.567619863629
"BGEM-0073-S X Mo17",471.425295287651
"BGEM-0074-S",416.351446694663
"BGEM-0075-S",336.469892463099
"BGEM-0075-S X Mo17",366.984283916951
"BGEM-0076-S",375.430531173426
"BGEM-0076-S X Mo17",400.174845636465
"BGEM-0077-S",452.724864315921
"BGEM-0077-S X Mo17",419.002488076522
"BGEM-0078-N",330.445251640929
"BGEM-0078-S",346.90909348697
"BGEM-0078-S X Mo17",395.87331192159
"BGEM-0079-S",406.782446672853
"BGEM-0079-S X Mo17",401.660296888768
"BGEM-0080-S",402.314849365652
"BGEM-0081-S",429.580495397934
"BGEM-0081-S X Mo17",393.788824566628
"BGEM-0082-S",437.49795405451
"BGEM-0082-S X Mo17",451.934752849566
"BGEM-0083-S",373.660163270014
"BGEM-0083-S X Mo17",388.051658802731
"BGEM-0084-S",418.413074851752
"BGEM-0084-S X Mo17",411.868693988618
"BGEM-0085-N",384.445171965799
"BGEM-0085-N X B73",380.098938782026
"BGEM-0086-N",363.341362898051
"BGEM-0086-N X B73",384.463539945626
"BGEM-0087-N",415.887707863248
"BGEM-0087-N X B73",449.923267529415
"BGEM-0088-N",352.886104874534
"BGEM-0088-N X B73",422.005862698643
"BGEM-0089-N",358.234219511735
"BGEM-0089-N X B73",423.317499915346
"BGEM-0090-N",353.364516611392
"BGEM-0091-N",287.419398050873
"BGEM-0091-N X B73",378.482195524011
"BGEM-0092-S",397.356178873233
"BGEM-0092-S X Mo17",383.092435021334
"BGEM-0094-S",387.666122410767
"BGEM-0094-S X Mo17",380.685765455944
"BGEM-0095-S",419.588040946062
"BGEM-0097-S",388.971350085792
"BGEM-0098-S",385.147576543649
"BGEM-0098-S X Mo17",408.830828516225
"BGEM-0099-S",430.376161075491
"BGEM-0100-S",329.308543531611
"BGEM-0101-S",392.056311888508
"BGEM-0101-S X Mo17",398.356356671536
"BGEM-0102-N",367.166164315027
"BGEM-0102-N X B73",395.468632763896
"BGEM-0103-N",306.657758051465
"BGEM-0103-N X B73",357.998560610508
"BGEM-0105-N",380.218440197719
"BGEM-0105-N X B73",391.181672107173
"BGEM-0106-N",330.867175963201
"BGEM-0107-N",383.192844494459
"BGEM-0107-N X B73",403.375895088797
"BGEM-0108-S",333.378605246653
"BGEM-0108-S X Mo17",420.681247871036
"BGEM-0109-N",366.076737804064
"BGEM-0109-N X B73",403.551468687521
"BGEM-0110-N",420.793997012981
"BGEM-0110-N X B73",422.58047189029
"BGEM-0111-S",462.472095935342
"BGEM-0111-S X Mo17",428.320226448408
"BGEM-0112-S",455.332429984001
"BGEM-0112-S X Mo17",408.584709480495
"BGEM-0113-S",406.501669635554
"BGEM-0113-S X Mo17",443.668390923134
"BGEM-0114-S",434.873890601943
"BGEM-0114-S X Mo17",441.215367657676
"BGEM-0115-S",445.072389800593
"BGEM-0115-S X Mo17",428.759354425732
"BGEM-0116-S",455.304777436209
"BGEM-0116-S X Mo17",422.787742929315
"BGEM-0117-S",497.41282577216
"BGEM-0117-S X Mo17",424.444328795142
"BGEM-0118-S",474.950433109185
"BGEM-0118-S X Mo17",411.213171468632
"BGEM-0120-N",400.572556560541
"BGEM-0121-N",280.19362436633
"BGEM-0121-N X B73",374.084354005209
"BGEM-0122-N",311.505100691543
"BGEM-0122-N X B73",348.127801710356
"BGEM-0123-N",319.644813539085
"BGEM-0123-N X B73",395.885598677671
"BGEM-0124-N",379.040103034015
"BGEM-0124-N X B73",425.071727610612
"BGEM-0125-N",328.687526771304
"BGEM-0125-N X B73",395.703838985975
"BGEM-0126-N",321.357613795116
"BGEM-0126-N X B73",426.150761556273
"BGEM-0127-N",322.866346631188
"BGEM-0127-N X B73",456.793258626636
"BGEM-0129-N",368.569086855226
"BGEM-0129-N X B73",426.150118416146
"BGEM-0130-N",317.414902498048
"BGEM-0130-N X B73",410.716442547261
"BGEM-0131-N",404.280974994346
"BGEM-0131-N X B73",431.323735452229
"BGEM-0133-S",399.635789928736
"BGEM-0134-S",333.368182110306
"BGEM-0134-S X Mo17",406.395675961513
"BGEM-0136-S",396.995383480351
"BGEM-0136-S X Mo17",468.084868883563
"BGEM-0137-S",387.959935042438
"BGEM-0137-S X Mo17",434.696840610905
"BGEM-0138-S",459.544696526948
"BGEM-0140-N",273.403624452627
"BGEM-0140-N X B73",376.033013410748
"BGEM-0141-N",377.157096019555
"BGEM-0141-N X B73",394.150338149883
"BGEM-0143-N",356.793876425146
"BGEM-0143-N X B73",405.330547390721
"BGEM-0144-N",350.053640393512
"BGEM-0144-N X B73",361.736336631876
"BGEM-0145-N",300.749154613114
"BGEM-0145-N X B73",420.981380857683
"BGEM-0146-N",320.486514687396
"BGEM-0146-N X B73",405.751959977333
"BGEM-0147-S",333.960357038446
"BGEM-0147-S X Mo17",427.514152082327
"BGEM-0148-S",310.354089325043
"BGEM-0148-S X Mo17",422.877138935533
"BGEM-0149-S",373.010035462365
"BGEM-0150-S",392.332090050176
"BGEM-0151-N",348.024513374586
"BGEM-0151-N X B73",398.125216303802
"BGEM-0152-N",352.482496022063
"BGEM-0152-N X B73",380.006167015081
"BGEM-0153-S",348.675462159082
"BGEM-0153-S X Mo17",387.974433261741
"BGEM-0154-S",335.772101970326
"BGEM-0154-S X Mo17",398.202753466384
"BGEM-0155-S",404.793901145623
"BGEM-0156-S",331.616843710084
"BGEM-0156-S X Mo17",373.865117973069
"BGEM-0157-N",355.675332387537
"BGEM-0158-S",362.467997747151
"BGEM-0158-S X Mo17",373.453806518473
"BGEM-0159-S",372.124196023545
"BGEM-0159-S X Mo17",369.314367746786
"BGEM-0160-S",360.891586575836
"BGEM-0160-S X Mo17",377.992449177221
"BGEM-0161-S",329.803861198229
"BGEM-0161-S X Mo17",362.441740092271
"BGEM-0162-S",350.968851904203
"BGEM-0162-S X Mo17",410.182051953352
"BGEM-0163-S",376.791824674952
"BGEM-0163-S X Mo17",411.96988433164
"BGEM-0164-S",369.164486370094
"BGEM-0164-S X Mo17",368.102658356878
"BGEM-0165-S",363.537911808042
"BGEM-0165-S X Mo17",349.966999201093
"BGEM-0166-S",310.66323780209
"BGEM-0167-S",352.533831937084
"BGEM-0167-S X Mo17",404.764873332086
