"genotype","CHL"
"B73",475.605503900186
"B73 X Mo17",497.561515699386
"BGEM-0001-N",273.892880820092
"BGEM-0002-N",391.463652721081
"BGEM-0002-N X B73",508.279458803908
"BGEM-0003-N",434.41721282424
"BGEM-0003-N X B73",469.935670714797
"BGEM-0004-N",355.819766179207
"BGEM-0004-N X B73",505.041841466828
"BGEM-0005-N",474.168230304434
"BGEM-0005-N X B73",482.752346581886
"BGEM-0006-S",358.239444309002
"BGEM-0006-S X Mo17",523.671156129933
"BGEM-0007-S",338.002547540515
"BGEM-0008-S",356.770803274222
"BGEM-0008-S X Mo17",526.030826414977
"BGEM-0010-S",399.713309415919
"BGEM-0010-S X Mo17",517.22747425286
"BGEM-0011-S",439.461504768628
"BGEM-0011-S X Mo17",442.520774169859
"BGEM-0012-S",493.479963989732
"BGEM-0012-S X Mo17",501.144047052757
"BGEM-0013-S",424.463683652039
"BGEM-0014-S",344.263297984646
"BGEM-0014-S X Mo17",439.34240855308
"BGEM-0015-S",424.948878642148
"BGEM-0015-S X Mo17",441.829368369614
"BGEM-0018-S",404.134217544695
"BGEM-0019-S",415.446289350738
"BGEM-0019-S X Mo17",477.876358777319
"BGEM-0020-S",364.198720607847
"BGEM-0021-S",402.210691409681
"BGEM-0021-S X Mo17",438.48754067864
"BGEM-0022-S",390.761550503986
"BGEM-0022-S X Mo17",451.436540930542
"BGEM-0023-S",436.324339895747
"BGEM-0023-S X Mo17",496.457506509611
"BGEM-0024-S",443.010496728476
"BGEM-0024-S X Mo17",505.24072861223
"BGEM-0025-S",362.069229217894
"BGEM-0026-S",412.989356014358
"BGEM-0026-S X Mo17",494.433066205106
"BGEM-0027-S",451.118241693324
"BGEM-0027-S X Mo17",483.479481046135
"BGEM-0028-S",437.113189040979
"BGEM-0028-S X Mo17",496.215057415194
"BGEM-0029-S",337.40646522894
"BGEM-0029-S X Mo17",502.744424181325
"BGEM-0030-S",455.496464683287
"BGEM-0030-S X Mo17",501.396790133596
"BGEM-0031-S",378.837949993571
"BGEM-0032-S",388.540766599324
"BGEM-0032-S X Mo17",468.227492731237
"BGEM-0033-S",381.637873124124
"BGEM-0033-S X Mo17",479.159745017676
"BGEM-0034-S",415.84463272733
"BGEM-0034-S X Mo17",467.17327656
"BGEM-0035-S",354.072721089635
"BGEM-0035-S X Mo17",472.915161523241
"BGEM-0036-S",332.942048851369
"BGEM-0036-S X Mo17",454.962885135454
"BGEM-0037-S",405.248629631712
"BGEM-0038-N",349.749577561714
"BGEM-0038-N X B73",542.449654149537
"BGEM-0039-N",340.892659450676
"BGEM-0039-N X B73",500.576890446262
"BGEM-0040-N",347.639672878677
"BGEM-0040-N X B73",470.967570342956
"BGEM-0041-S",393.8973090163
"BGEM-0042-S",393.261703463552
"BGEM-0043-S",418.751187504931
"BGEM-0043-S X Mo17",509.73920680239
"BGEM-0044-S",366.586731709124
"BGEM-0044-S X Mo17",449.774284256975
"BGEM-0045-N",346.151120723094
"BGEM-0045-N X B73",387.111575474265
"BGEM-0046-N",316.92751641897
"BGEM-0046-N X B73",505.13849688257
"BGEM-0047-S",464.677271387747
"BGEM-0047-S X Mo17",469.026489393816
"BGEM-0048-S",367.9840351425
"BGEM-0048-S X Mo17",465.874507267273
"BGEM-0049-S",414.389578683427
"BGEM-0049-S X Mo17",470.659610466066
"BGEM-0050-S",431.107107578546
"BGEM-0050-S X Mo17",467.737360736557
"BGEM-0051-S",307.959170673011
"BGEM-0051-S X Mo17",494.551373548036
"BGEM-0052-S",328.288157261038
"BGEM-0052-S X Mo17",476.220789783722
"BGEM-0053-S",455.147393217582
"BGEM-0053-S X Mo17",504.157232688761
"BGEM-0054-S",429.549512733102
"BGEM-0054-S X Mo17",495.717312753867
"BGEM-0055-S",428.52582994483
"BGEM-0055-S X Mo17",509.90232370091
"BGEM-0056-S",480.397858281794
"BGEM-0056-S X Mo17",447.462372698447
"BGEM-0057-S",389.789565334586
"BGEM-0057-S X Mo17",455.479398833189
"BGEM-0058-N",301.950152474347
"BGEM-0058-N X B73",472.025161478086
"BGEM-0059-S",402.284771510516
"BGEM-0059-S X Mo17",520.643714547657
"BGEM-0060-S",373.031337986546
"BGEM-0060-S X Mo17",503.268085591926
"BGEM-0061-N",352.885354945586
"BGEM-0061-N X B73",472.666721194732
"BGEM-0062-N",521.92599739597
"BGEM-0062-N X B73",506.575014109272
"BGEM-0063-N",413.702147644114
"BGEM-0063-N X B73",416.5001580554
"BGEM-0064-N",281.595487085173
"BGEM-0064-N X B73",473.368174178786
"BGEM-0065-N",394.705128001404
"BGEM-0066-N",439.814290743664
"BGEM-0067-S",433.741262515767
"BGEM-0068-S",526.069298874874
"BGEM-0068-S X Mo17",498.536125882843
"BGEM-0069-S",451.494195631572
"BGEM-0070-S",430.63098394726
"BGEM-0070-S X Mo17",445.182738178993
"BGEM-0071-S",419.757307098762
"BGEM-0071-S X Mo17",481.035555971503
"BGEM-0072-S",432.667399660342
"BGEM-0072-S X Mo17",413.754836758821
"BGEM-0073-S",405.299399310754
"BGEM-0073-S X Mo17",490.780918836719
"BGEM-0074-S",513.685196939944
"BGEM-0075-S",353.720533175861
"BGEM-0075-S X Mo17",429.607845695348
"BGEM-0076-S",404.214688081611
"BGEM-0076-S X Mo17",488.933080965569
"BGEM-0077-S",495.854682901161
"BGEM-0077-S X Mo17",509.706195302588
"BGEM-0078-N",328.604895224165
"BGEM-0078-S",330.934359454201
"BGEM-0078-S X Mo17",490.786017050122
"BGEM-0079-S",434.500078886219
"BGEM-0079-S X Mo17",512.787365538472
"BGEM-0080-S",437.9815262576
"BGEM-0081-S",475.265513447062
"BGEM-0081-S X Mo17",476.365771383593
"BGEM-0082-S",484.111187552845
"BGEM-0082-S X Mo17",525.824292033085
"BGEM-0083-S",411.429107196586
"BGEM-0083-S X Mo17",483.502912587735
"BGEM-0084-S",460.557972254847
"BGEM-0084-S X Mo17",493.848605869766
"BGEM-0085-N",442.833524969168
"BGEM-0085-N X B73",469.637884374001
"BGEM-0086-N",410.854818604849
"BGEM-0086-N X B73",457.950417949862
"BGEM-0087-N",438.055672860887
"BGEM-0087-N X B73",456.032691916252
"BGEM-0088-N",402.418604134555
"BGEM-0088-N X B73",495.864578966724
"BGEM-0089-N",435.558937101071
"BGEM-0089-N X B73",513.934133532064
"BGEM-0090-N",394.900867066485
"BGEM-0091-N",289.960752490355
"BGEM-0091-N X B73",463.928162802876
"BGEM-0092-S",448.317531409967
"BGEM-0092-S X Mo17",428.742194688699
"BGEM-0094-S",443.669807441474
"BGEM-0094-S X Mo17",486.542961925502
"BGEM-0095-S",455.138778152349
"BGEM-0097-S",420.361091091788
"BGEM-0098-S",425.876059394502
"BGEM-0098-S X Mo17",505.732820901034
"BGEM-0099-S",432.086291973976
"BGEM-0100-S",381.770966577577
"BGEM-0101-S",436.00207419639
"BGEM-0101-S X Mo17",494.55080093304
"BGEM-0102-N",405.565982860458
"BGEM-0102-N X B73",488.879188250646
"BGEM-0103-N",349.749445258687
"BGEM-0103-N X B73",438.697136490383
"BGEM-0105-N",453.822415914588
"BGEM-0105-N X B73",529.101733904261
"BGEM-0106-N",363.227978200216
"BGEM-0107-N",394.926176814821
"BGEM-0107-N X B73",511.760117231902
"BGEM-0108-S",372.009647982515
"BGEM-0108-S X Mo17",522.21225321868
"BGEM-0109-N",380.769748573449
"BGEM-0109-N X B73",520.188470465712
"BGEM-0110-N",424.490375626826
"BGEM-0110-N X B73",523.881797205136
"BGEM-0111-S",544.625150760218
"BGEM-0111-S X Mo17",539.440269401033
"BGEM-0112-S",530.849979271133
"BGEM-0112-S X Mo17",535.500010984375
"BGEM-0113-S",516.177882086179
"BGEM-0113-S X Mo17",548.204477763466
"BGEM-0114-S",456.149339011075
"BGEM-0114-S X Mo17",532.547072598297
"BGEM-0115-S",520.841708471666
"BGEM-0115-S X Mo17",526.188940306315
"BGEM-0116-S",510.469166911523
"BGEM-0116-S X Mo17",542.605827508358
"BGEM-0117-S",515.866998068762
"BGEM-0117-S X Mo17",541.503804319678
"BGEM-0118-S",493.353450941237
"BGEM-0118-S X Mo17",527.758669614189
"BGEM-0120-N",421.561522231203
"BGEM-0121-N",297.593750281953
"BGEM-0121-N X B73",410.675795038544
"BGEM-0122-N",323.958220227286
"BGEM-0122-N X B73",419.90761417707
"BGEM-0123-N",370.630437839928
"BGEM-0123-N X B73",484.137864072364
"BGEM-0124-N",429.296635163179
"BGEM-0124-N X B73",512.892424081438
