"genotype","CHL"
"B73",481.418205851893
"BGEM-0001-N",275.021749398091
"BGEM-0002-N",387.872589703312
"BGEM-0003-N",428.353597608273
"BGEM-0004-N",359.010910161671
"BGEM-0005-N",482.115144585896
"BGEM-0006-S",361.324512558895
"BGEM-0007-S",349.938471883714
"BGEM-0008-S",364.491013489756
"BGEM-0010-S",395.18454727574
"BGEM-0011-S",440.941524455479
"BGEM-0012-S",503.113505460658
"BGEM-0013-S",427.396117624645
"BGEM-0014-S",347.305535978443
"BGEM-0015-S",417.119398884475
"BGEM-0018-S",401.410411208115
"BGEM-0019-S",409.992226677165
"BGEM-0020-S",375.484403181231
"BGEM-0021-S",404.129950473863
"BGEM-0022-S",396.8566621066
"BGEM-0023-S",439.327355347217
"BGEM-0024-S",442.860431199681
"BGEM-0025-S",363.940702194355
"BGEM-0026-S",416.139253144111
"BGEM-0027-S",454.56220526332
"BGEM-0028-S",437.318660393332
"BGEM-0029-S",340.282923725621
"BGEM-0030-S",455.192175184305
"BGEM-0031-S",378.837282004589
"BGEM-0032-S",394.334706520034
"BGEM-0033-S",386.486943786597
"BGEM-0034-S",417.32470245017
"BGEM-0035-S",349.159132811932
"BGEM-0036-S",335.866723928468
"BGEM-0037-S",411.01819126144
"BGEM-0038-N",347.474445999093
"BGEM-0039-N",343.077106037547
"BGEM-0040-N",350.85887583832
"BGEM-0041-S",392.388659127845
"BGEM-0042-S",399.583537697827
"BGEM-0043-S",421.284236619243
"BGEM-0044-S",375.364822560885
"BGEM-0045-N",352.582947950958
"BGEM-0046-N",331.731369196738
"BGEM-0047-S",473.851183578621
"BGEM-0048-S",371.391389171891
"BGEM-0049-S",416.982882630719
"BGEM-0050-S",436.66012323695
"BGEM-0051-S",370.582263496045
"BGEM-0052-S",325.268161726156
"BGEM-0053-S",458.647825820653
"BGEM-0054-S",426.862533572615
"BGEM-0055-S",429.578305661721
"BGEM-0056-S",475.814102905522
"BGEM-0057-S",390.237632645023
"BGEM-0058-N",306.532519691263
"BGEM-0059-S",401.451013929376
"BGEM-0060-S",375.048412614275
"BGEM-0061-N",352.902404726117
"BGEM-0062-N",523.889104031971
"BGEM-0063-N",425.421782796903
"BGEM-0064-N",300.416937090438
"BGEM-0065-N",391.307323550336
"BGEM-0066-N",439.113011241071
"BGEM-0067-S",429.974556495151
"BGEM-0068-S",519.398536764052
"BGEM-0069-S",452.93727088041
"BGEM-0070-S",427.593420600355
"BGEM-0071-S",412.593498228588
"BGEM-0072-S",442.606377122866
"BGEM-0073-S",403.176315932011
"BGEM-0074-S",514.342610051399
"BGEM-0075-S",349.735006433742
"BGEM-0076-S",409.962827380471
"BGEM-0077-S",486.139307926468
"BGEM-0078-N",332.573011637189
"BGEM-0078-S",322.684638748061
"BGEM-0079-S",447.625232974767
"BGEM-0080-S",438.120673672917
"BGEM-0081-S",475.918838121936
"BGEM-0082-S",486.576196501132
"BGEM-0083-S",406.007305133712
"BGEM-0084-S",465.5717462801
"BGEM-0085-N",448.181890701155
"BGEM-0086-N",423.451362558815
"BGEM-0087-N",435.137175888817
"BGEM-0088-N",402.409271782313
"BGEM-0089-N",435.277370511803
"BGEM-0090-N",402.505808373224
"BGEM-0091-N",281.511513457926
"BGEM-0092-S",394.470597884065
"BGEM-0094-S",444.062992832346
"BGEM-0095-S",448.221346152047
"BGEM-0097-S",427.015544652038
"BGEM-0098-S",437.597418577919
"BGEM-0099-S",439.996139793734
"BGEM-0100-S",386.270478079369
"BGEM-0101-S",441.904821161848
"BGEM-0102-N",399.56057651674
"BGEM-0103-N",342.229094884418
"BGEM-0105-N",453.764565832753
"BGEM-0106-N",366.320012179572
"BGEM-0107-N",390.55540605124
"BGEM-0108-S",369.59552619075
"BGEM-0109-N",381.871088920851
"BGEM-0110-N",419.182663870997
"BGEM-0111-S",544.700357545412
"BGEM-0112-S",530.333613930927
"BGEM-0113-S",521.132732916461
"BGEM-0114-S",467.072294214096
"BGEM-0115-S",520.172087747038
"BGEM-0116-S",515.993356142794
"BGEM-0117-S",510.607506133626
"BGEM-0118-S",485.965877478811
"BGEM-0120-N",421.723063612533
"BGEM-0121-N",287.231816830011
"BGEM-0122-N",326.981659217078
"BGEM-0123-N",362.990029849207
"BGEM-0124-N",427.570275197312
