"genotype","CHL"
"B73",376.140400724405
"B73 X Mo17",363.20586461697
"BGEM-0001-N",275.037846202605
"BGEM-0002-N",266.810257331828
"BGEM-0002-N X B73",248.6055780981
"BGEM-0003-N",296.012033663291
"BGEM-0003-N X B73",265.433933647098
"BGEM-0004-N",270.422638586425
"BGEM-0004-N X B73",302.420352092705
"BGEM-0005-N",331.482147109571
"BGEM-0005-N X B73",295.993574291496
"BGEM-0006-S",302.868077925653
"BGEM-0006-S X Mo17",288.759919966276
"BGEM-0007-S",366.091851762067
"BGEM-0008-S",211.963116389156
"BGEM-0010-S",266.304848200583
"BGEM-0010-S X Mo17",274.732822896394
"BGEM-0011-S",368.845017903701
"BGEM-0011-S X Mo17",298.514544745883
"BGEM-0012-S",418.062864524064
"BGEM-0012-S X Mo17",349.969396038067
"BGEM-0013-S",416.418165687477
"BGEM-0014-S",283.742881120712
"BGEM-0014-S X Mo17",310.426857012876
"BGEM-0015-S",288.531381364077
"BGEM-0015-S X Mo17",265.090774871604
"BGEM-0018-S",353.842530811293
"BGEM-0019-S",375.7650433718
"BGEM-0019-S X Mo17",298.048475346775
"BGEM-0020-S",380.297843947397
"BGEM-0021-S",347.846872852428
"BGEM-0021-S X Mo17",341.583162580586
"BGEM-0022-S",339.63953876495
"BGEM-0022-S X Mo17",257.686155145016
"BGEM-0023-S",403.068222032405
"BGEM-0023-S X Mo17",372.381276349061
"BGEM-0024-S",305.891643599923
"BGEM-0024-S X Mo17",283.792911565092
"BGEM-0025-S",267.485215438213
"BGEM-0026-S",297.92587754007
"BGEM-0026-S X Mo17",297.349750201448
"BGEM-0027-S",352.205997986298
"BGEM-0027-S X Mo17",296.230974310493
"BGEM-0028-S",335.379431146146
"BGEM-0028-S X Mo17",283.083333333367
"BGEM-0029-S",348.009945563914
"BGEM-0029-S X Mo17",312.334351540331
"BGEM-0030-S",314.078014360882
"BGEM-0030-S X Mo17",324.727392830047
"BGEM-0031-S",357.783080046985
"BGEM-0032-S",330.571755296265
"BGEM-0032-S X Mo17",312.533768549039
"BGEM-0033-S",410.383256414773
"BGEM-0033-S X Mo17",288.718088860552
"BGEM-0034-S",279.434807494207
"BGEM-0034-S X Mo17",297.076537608944
"BGEM-0035-S",322.223319194502
"BGEM-0035-S X Mo17",320.193972544899
"BGEM-0036-S",312.703667308661
"BGEM-0036-S X Mo17",283.782162327372
"BGEM-0037-S",366.179749900128
"BGEM-0038-N",272.358278098648
"BGEM-0038-N X B73",374.711552247802
"BGEM-0039-N",284.318287193542
"BGEM-0039-N X B73",296.576257048221
"BGEM-0040-N",288.405667815744
"BGEM-0040-N X B73",251.772507464028
"BGEM-0041-S",318.030535555954
"BGEM-0042-S",310.095011930345
"BGEM-0043-S",343.924327031334
"BGEM-0043-S X Mo17",358.389070838411
"BGEM-0044-S",360.650975155406
"BGEM-0044-S X Mo17",355.49811542021
