"genotype","CHL_LN","CHL_HN"
"B73",382.09062380417,481.418205851893
"BGEM-0001-N",279.544885605791,275.021749398091
"BGEM-0002-N",263.386544784246,387.872589703312
"BGEM-0003-N",298.080736998889,428.353597608273
"BGEM-0004-N",283.994566507671,359.010910161671
"BGEM-0005-N",343.622321794404,482.115144585896
"BGEM-0006-S",301.037716876023,361.324512558895
"BGEM-0007-S",366.409869289442,349.938471883714
"BGEM-0008-S",207.280554384259,364.491013489756
"BGEM-0010-S",270.054054812017,395.18454727574
"BGEM-0011-S",372.681185152342,440.941524455479
"BGEM-0012-S",426.315942396529,503.113505460658
"BGEM-0013-S",417.287344328032,427.396117624645
"BGEM-0014-S",287.833599919196,347.305535978443
"BGEM-0015-S",296.608964713,417.119398884475
"BGEM-0018-S",361.67596668381,401.410411208115
"BGEM-0019-S",381.354649989889,409.992226677165
"BGEM-0020-S",395.85788388434,375.484403181231
"BGEM-0021-S",352.399270952838,404.129950473863
"BGEM-0022-S",347.67247906793,396.8566621066
"BGEM-0023-S",401.058405237932,439.327355347217
"BGEM-0024-S",304.097893583312,442.860431199681
"BGEM-0025-S",284.376440130622,363.940702194355
"BGEM-0026-S",302.301160603758,416.139253144111
"BGEM-0027-S",356.829264226975,454.56220526332
"BGEM-0028-S",340.932373355553,437.318660393332
"BGEM-0029-S",356.434295466384,340.282923725621
"BGEM-0030-S",312.187807403338,455.192175184305
"BGEM-0031-S",365.537879464161,378.837282004589
"BGEM-0032-S",335.16119361817,394.334706520034
"BGEM-0033-S",414.379363263253,386.486943786597
"BGEM-0034-S",276.21938760577,417.32470245017
"BGEM-0035-S",327.621792410706,349.159132811932
"BGEM-0036-S",320.782365659698,335.866723928468
"BGEM-0037-S",370.527252088335,411.01819126144
"BGEM-0038-N",267.038033662472,347.474445999093
"BGEM-0039-N",280.484864306243,343.077106037547
"BGEM-0040-N",284.238871496701,350.85887583832
"BGEM-0041-S",318.572905196992,392.388659127845
"BGEM-0042-S",315.133387796064,399.583537697827
"BGEM-0043-S",354.215969855349,421.284236619243
"BGEM-0044-S",375.749249797994,375.364822560885
"BGEM-0045-N",281.18423574879,352.582947950958
"BGEM-0046-N",349.275044722213,331.731369196738
"BGEM-0047-S",390.725305793392,473.851183578621
"BGEM-0048-S",278.563794021387,371.391389171891
"BGEM-0049-S",368.096802494533,416.982882630719
"BGEM-0050-S",275.309368967502,436.66012323695
"BGEM-0051-S",363.101484630357,370.582263496045
"BGEM-0052-S",296.612860058238,325.268161726156
"BGEM-0053-S",339.20778071837,458.647825820653
"BGEM-0054-S",366.032354586227,426.862533572615
"BGEM-0055-S",362.761099089454,429.578305661721
"BGEM-0056-S",411.302640498435,475.814102905522
"BGEM-0057-S",398.500000000044,390.237632645023
"BGEM-0058-N",268.735857338104,306.532519691263
"BGEM-0059-S",344.53029634748,401.451013929376
"BGEM-0060-S",332.197691039673,375.048412614275
"BGEM-0061-N",281.943114337661,352.902404726117
"BGEM-0062-N",486.053022517746,523.889104031971
"BGEM-0063-N",305.140755037281,425.421782796903
"BGEM-0064-N",307.209084945398,300.416937090438
"BGEM-0065-N",323.130118542097,391.307323550336
"BGEM-0066-N",397.299871520963,439.113011241071
"BGEM-0067-S",336.703011689453,429.974556495151
"BGEM-0068-S",373.010407793773,519.398536764052
"BGEM-0069-S",304.025027597641,452.93727088041
"BGEM-0070-S",348.334244317878,427.593420600355
"BGEM-0071-S",363.742991491526,412.593498228588
"BGEM-0072-S",381.077111119901,442.606377122866
"BGEM-0073-S",275.163913929156,403.176315932011
"BGEM-0074-S",323.20938052213,514.342610051399
"BGEM-0075-S",321.662500785358,349.735006433742
"BGEM-0076-S",347.949365430713,409.962827380471
"BGEM-0077-S",410.688835109586,486.139307926468
"BGEM-0078-N",336.039461839334,332.573011637189
"BGEM-0078-S",429.31987811758,322.684638748061
"BGEM-0079-S",384.237207724692,447.625232974767
"BGEM-0080-S",363.293107085964,438.120673672917
"BGEM-0081-S",389.654917888725,475.918838121936
