"genotype","CHL_LN","CHL_HN"
"B73",376.753375154904,476.855065703232
"BGEM-0001-N",275.037846202582,273.892880820093
"BGEM-0002-N",265.720457242073,391.463652721081
"BGEM-0003-N",296.012033663268,434.41721282424
"BGEM-0004-N",270.422638586402,355.819766179207
"BGEM-0005-N",331.482147109548,474.168230304434
"BGEM-0006-S",302.86807792563,358.239444309002
"BGEM-0007-S",366.091851762043,338.002547540515
"BGEM-0008-S",211.963116389133,356.770803274222
"BGEM-0010-S",266.30484820056,399.713309415919
"BGEM-0011-S",368.845017903678,439.461504768629
"BGEM-0012-S",418.062864524041,493.479963989732
"BGEM-0013-S",416.418165687454,424.463683652039
"BGEM-0014-S",283.742881120688,344.263297984646
"BGEM-0015-S",288.531381364054,424.948878642148
"BGEM-0018-S",353.84253081127,404.134217544695
"BGEM-0019-S",375.765043371776,415.446289350739
"BGEM-0020-S",380.297843947374,364.198720607847
"BGEM-0021-S",347.846872852405,402.210691409681
"BGEM-0022-S",339.639538764926,390.761550503986
"BGEM-0023-S",403.068222032381,436.324339895747
"BGEM-0024-S",305.8916435999,443.010496728476
"BGEM-0025-S",267.485215438189,362.069229217894
"BGEM-0026-S",297.925877540046,412.989356014358
"BGEM-0027-S",352.205997986275,451.118241693324
"BGEM-0028-S",335.379431146122,437.113189040979
"BGEM-0029-S",348.00994556389,337.40646522894
"BGEM-0030-S",314.078014360859,455.496464683287
"BGEM-0031-S",357.783080046961,378.837949993572
"BGEM-0032-S",330.571755296241,388.540766599324
"BGEM-0033-S",410.383256414749,381.637873124124
"BGEM-0034-S",279.434807494183,415.84463272733
"BGEM-0035-S",321.133519104747,354.072721089635
"BGEM-0036-S",312.703667308637,332.94204885137
"BGEM-0037-S",366.179749900104,405.248629631712
"BGEM-0038-N",272.358278098624,349.749577561714
"BGEM-0039-N",284.318287193518,340.892659450676
"BGEM-0040-N",288.405667815721,347.639672878677
"BGEM-0041-S",318.03053555593,393.8973090163
"BGEM-0042-S",310.095011930321,393.261703463552
"BGEM-0043-S",343.924327031311,418.751187504931
"BGEM-0044-S",360.650975155383,366.586731709124
"BGEM-0045-N",276.526827912038,346.151120723095
"BGEM-0046-N",347.133864751546,316.92751641897
"BGEM-0047-S",383.064042462446,464.677271387747
"BGEM-0048-S",276.427316324378,367.9840351425
"BGEM-0049-S",367.944478634822,414.389578683427
"BGEM-0050-S",274.048453602076,431.107107578546
"BGEM-0051-S",360.074444909764,307.959170673011
"BGEM-0052-S",299.874844485607,328.288157261038
"BGEM-0053-S",327.716067522932,455.147393217582
"BGEM-0054-S",367.301347649725,429.549512733102
