"genotype","CHL_LN","CHL_HN"
"B73",376.140914703127,475.642892503069
"B73 X Mo17",363.21820010629,498.916229558333
"BGEM-0001-N",275.037846202606,273.892880820095
"BGEM-0002-N",266.822592821148,391.463652721083
"BGEM-0002-N X B73",248.605578098101,508.27945880391
"BGEM-0003-N",296.012033663292,434.417212824242
"BGEM-0003-N X B73",265.433933647099,469.935670714799
"BGEM-0004-N",270.422638586426,355.819766179209
"BGEM-0004-N X B73",302.420352092706,505.04184146683
"BGEM-0005-N",331.482147109572,474.168230304436
"BGEM-0005-N X B73",295.993574291497,482.752346581888
"BGEM-0006-S",302.868077925654,358.239444309004
"BGEM-0006-S X Mo17",288.759919966277,523.671156129935
"BGEM-0007-S",366.091851762067,337.491339087658
"BGEM-0008-S",211.963116389157,356.770803274224
"BGEM-0010-S",266.304848200584,399.713309415921
"BGEM-0010-S X Mo17",274.732822896395,517.227474252862
"BGEM-0011-S",368.845017903702,439.461504768631
"BGEM-0011-S X Mo17",298.514544745884,442.520774169861
"BGEM-0012-S",418.062864524065,493.479963989734
"BGEM-0012-S X Mo17",349.969396038067,501.14404705276
"BGEM-0013-S",416.418165687478,424.463683652041
"BGEM-0014-S",283.742881120712,344.263297984648
"BGEM-0014-S X Mo17",310.426857012876,439.342408553082
"BGEM-0015-S",288.531381364078,424.94887864215
"BGEM-0015-S X Mo17",265.090774871605,441.829368369616
"BGEM-0018-S",353.842530811294,404.134217544697
"BGEM-0019-S",375.7650433718,415.446289350741
"BGEM-0019-S X Mo17",298.048475346775,477.876358777321
"BGEM-0020-S",380.297843947398,364.198720607849
"BGEM-0021-S",347.846872852429,402.210691409683
"BGEM-0021-S X Mo17",341.583162580586,438.487540678643
"BGEM-0022-S",339.63953876495,390.761550503988
"BGEM-0022-S X Mo17",257.686155145017,451.436540930544
"BGEM-0023-S",403.068222032405,436.324339895749
"BGEM-0023-S X Mo17",372.381276349062,496.457506509613
"BGEM-0024-S",305.891643599924,443.010496728478
"BGEM-0024-S X Mo17",283.792911565092,505.240728612233
"BGEM-0025-S",267.485215438214,362.069229217896
"BGEM-0026-S",297.92587754007,412.98935601436
"BGEM-0026-S X Mo17",297.349750201449,494.433066205108
"BGEM-0027-S",352.205997986299,451.118241693326
"BGEM-0027-S X Mo17",296.230974310493,483.479481046137
"BGEM-0028-S",335.379431146146,437.113189040981
"BGEM-0028-S X Mo17",283.083333333367,496.215057415197
"BGEM-0029-S",348.009945563914,337.406465228942
"BGEM-0029-S X Mo17",312.334351540332,502.744424181328
"BGEM-0030-S",314.078014360883,455.496464683289
"BGEM-0030-S X Mo17",324.727392830047,501.396790133598
"BGEM-0031-S",357.783080046985,378.837949993574
"BGEM-0032-S",330.571755296266,388.540766599326
"BGEM-0032-S X Mo17",312.533768549039,468.227492731239
"BGEM-0033-S",410.383256414773,381.637873124126
"BGEM-0033-S X Mo17",288.718088860553,479.159745017679
"BGEM-0034-S",279.434807494208,415.844632727332
"BGEM-0034-S X Mo17",297.076537608945,467.173276560003
"BGEM-0035-S",322.235654683823,354.072721089637
"BGEM-0035-S X Mo17",320.193972544899,472.915161523244
"BGEM-0036-S",312.703667308661,332.942048851372
"BGEM-0036-S X Mo17",283.782162327372,454.962885135456
"BGEM-0037-S",366.179749900129,405.248629631714
"BGEM-0038-N",272.358278098648,349.749577561716
"BGEM-0038-N X B73",374.711552247803,542.449654149539
"BGEM-0039-N",284.318287193542,340.892659450678
"BGEM-0039-N X B73",296.576257048222,500.576890446264
"BGEM-0040-N",288.405667815745,347.639672878679
"BGEM-0040-N X B73",251.772507464029,470.967570342958
"BGEM-0041-S",318.030535555954,393.897309016302
"BGEM-0042-S",310.095011930345,393.261703463554
"BGEM-0043-S",343.924327031335,418.751187504933
"BGEM-0043-S X Mo17",358.389070838412,510.250415255251
"BGEM-0044-S",360.650975155407,366.586731709126
"BGEM-0044-S X Mo17",355.498115420211,449.774284256977
"BGEM-0045-N",276.526827912062,346.151120723097
"BGEM-0045-N X B73",373.026573086455,387.111575474267
"BGEM-0046-N",347.13386475157,316.927516418972
"BGEM-0046-N X B73",255.865032115617,505.138496882572
"BGEM-0047-S",383.064042462471,464.677271387749
"BGEM-0047-S X Mo17",334.935981732713,469.026489393818
"BGEM-0048-S",276.427316324402,367.984035142502
"BGEM-0048-S X Mo17",327.100624644652,465.874507267275
"BGEM-0049-S",367.944478634847,414.389578683429
"BGEM-0049-S X Mo17",287.856260099503,470.659610466068
"BGEM-0050-S",274.0484536021,431.107107578548
"BGEM-0050-S X Mo17",274.777045289279,467.737360736559
"BGEM-0051-S",360.074444909788,308.470379125872
"BGEM-0051-S X Mo17",193.659393979643,494.551373548038
"BGEM-0052-S",299.874844485631,328.28815726104
"BGEM-0052-S X Mo17",311.356462946798,476.220789783724
"BGEM-0053-S",327.716067522956,455.147393217584
"BGEM-0053-S X Mo17",273.506355353327,504.157232688764
"BGEM-0054-S",367.30134764975,429.549512733104
"BGEM-0054-S X Mo17",393.207526422618,495.717312753869
"BGEM-0055-S",346.267108056588,428.525829944832
"BGEM-0055-S X Mo17",354.264233911566,509.902323700913
"BGEM-0056-S",410.240706537586,480.397858281796
"BGEM-0056-S X Mo17",318.221325363309,447.462372698449
"BGEM-0057-S",398.500000000034,389.789565334588
"BGEM-0057-S X Mo17",275.038317434082,455.479398833191
"BGEM-0058-N",265.620750070218,301.950152474349
"BGEM-0058-N X B73",294.84665402625,472.025161478088
"BGEM-0059-S",350.435081950578,402.284771510518
"BGEM-0059-S X Mo17",314.928426111083,520.643714547659
"BGEM-0060-S",329.642294301916,373.031337986548
"BGEM-0060-S X Mo17",324.907123883894,503.268085591928
"BGEM-0061-N",286.011481903588,352.885354945588
"BGEM-0061-N X B73",291.79166211606,472.666721194734
"BGEM-0062-N",487.922531600823,521.925997395973
"BGEM-0062-N X B73",262.958540801689,506.575014109274
"BGEM-0063-N",304.879727424379,413.702147644116
"BGEM-0063-N X B73",335.318565881679,416.500158055402
"BGEM-0064-N",304.508894591696,281.595487085175
"BGEM-0064-N X B73",310.891305821648,473.368174178788
"BGEM-0065-N",327.05031963285,394.705128001406
"BGEM-0066-N",395.838566761858,439.814290743667
"BGEM-0067-S",340.266629369354,433.74126251577
"BGEM-0068-S",368.825161843085,526.069298874876
