"genotype","CHL"
"B73",382.09062380417
"BGEM-0001-N",279.544885605791
"BGEM-0002-N",263.386544784246
"BGEM-0003-N",298.080736998889
"BGEM-0004-N",283.994566507671
"BGEM-0005-N",343.622321794404
"BGEM-0006-S",301.037716876023
"BGEM-0007-S",366.409869289442
"BGEM-0008-S",207.280554384259
"BGEM-0010-S",270.054054812017
"BGEM-0011-S",372.681185152342
"BGEM-0012-S",426.315942396529
"BGEM-0013-S",417.287344328032
"BGEM-0014-S",287.833599919196
"BGEM-0015-S",296.608964713
"BGEM-0018-S",361.67596668381
"BGEM-0019-S",381.354649989889
"BGEM-0020-S",395.85788388434
"BGEM-0021-S",352.399270952838
"BGEM-0022-S",347.67247906793
"BGEM-0023-S",401.058405237932
"BGEM-0024-S",304.097893583312
"BGEM-0025-S",284.376440130622
"BGEM-0026-S",302.301160603758
"BGEM-0027-S",356.829264226975
"BGEM-0028-S",340.932373355553
"BGEM-0029-S",356.434295466384
"BGEM-0030-S",312.187807403338
"BGEM-0031-S",365.537879464161
"BGEM-0032-S",335.16119361817
"BGEM-0033-S",414.379363263253
"BGEM-0034-S",276.21938760577
"BGEM-0035-S",327.621792410706
"BGEM-0036-S",320.782365659698
"BGEM-0037-S",370.527252088335
"BGEM-0038-N",267.038033662472
"BGEM-0039-N",280.484864306243
"BGEM-0040-N",284.238871496701
"BGEM-0041-S",318.572905196992
"BGEM-0042-S",315.133387796064
"BGEM-0043-S",354.215969855349
"BGEM-0044-S",375.749249797994
"BGEM-0045-N",281.18423574879
"BGEM-0046-N",349.275044722213
"BGEM-0047-S",390.725305793392
"BGEM-0048-S",278.563794021387
"BGEM-0049-S",368.096802494533
"BGEM-0050-S",275.309368967502
"BGEM-0051-S",363.101484630357
"BGEM-0052-S",296.612860058238
"BGEM-0053-S",339.20778071837
"BGEM-0054-S",366.032354586227
"BGEM-0055-S",362.761099089454
"BGEM-0056-S",411.302640498435
"BGEM-0057-S",398.500000000044
"BGEM-0058-N",268.735857338104
"BGEM-0059-S",344.53029634748
"BGEM-0060-S",332.197691039673
"BGEM-0061-N",281.943114337661
"BGEM-0062-N",486.053022517746
"BGEM-0063-N",305.140755037281
"BGEM-0064-N",307.209084945398
"BGEM-0065-N",323.130118542097
"BGEM-0066-N",397.299871520963
"BGEM-0067-S",336.703011689453
"BGEM-0068-S",373.010407793773
"BGEM-0069-S",304.025027597641
"BGEM-0070-S",348.334244317878
"BGEM-0071-S",363.742991491526
"BGEM-0072-S",381.077111119901
"BGEM-0073-S",275.163913929156
"BGEM-0074-S",323.20938052213
"BGEM-0075-S",321.662500785358
"BGEM-0076-S",347.949365430713
"BGEM-0077-S",410.688835109586
"BGEM-0078-N",336.039461839334
"BGEM-0078-S",429.31987811758
"BGEM-0079-S",384.237207724692
"BGEM-0080-S",363.293107085964
"BGEM-0081-S",389.654917888725
"BGEM-0082-S",395.075414972902
