"genotype","CHL"
"(Intercept)",432.271368959991
"BGEM-0001-N",270.585515155619
"BGEM-0002-N",332.987007722724
"BGEM-0003-N",359.087465637321
"BGEM-0004-N",317.052461191242
"BGEM-0005-N",411.855035944235
"BGEM-0006-S",332.556431851617
"BGEM-0007-S",374.667768862524
"BGEM-0008-S",287.373238506238
"BGEM-0010-S",334.546063983864
"BGEM-0011-S",403.090676770371
"BGEM-0012-S",459.756080315077
"BGEM-0013-S",418.774151212894
"BGEM-0014-S",316.56839460058
"BGEM-0015-S",353.869563719844
"BGEM-0018-S",379.153474367278
"BGEM-0019-S",391.327689892317
"BGEM-0020-S",386.347533684764
"BGEM-0021-S",377.162403775634
"BGEM-0022-S",369.596584984247
"BGEM-0023-S",417.74890516418
"BGEM-0024-S",370.205269741978
"BGEM-0025-S",318.721200028612
"BGEM-0026-S",361.569669709134
"BGEM-0027-S",406.338492343332
"BGEM-0028-S",388.239415689509
"BGEM-0029-S",350.136607413613
"BGEM-0030-S",379.52873371957
"BGEM-0031-S",372.027690578919
"BGEM-0032-S",359.491387954132
"BGEM-0033-S",391.098156263448
"BGEM-0034-S",343.684153338354
"BGEM-0035-S",327.487925103701
"BGEM-0036-S",326.099400801465
"BGEM-0037-S",391.955335314722
"BGEM-0038-N",309.930392642087
"BGEM-0039-N",307.398405443866
"BGEM-0040-N",314.643335911418
"BGEM-0041-S",353.685188700529
"BGEM-0042-S",350.908906352474
"BGEM-0043-S",388.006300791922
"BGEM-0044-S",374.27067211007
"BGEM-0045-N",313.295068552429
"BGEM-0046-N",336.993025195126
"BGEM-0047-S",433.613359610709
"BGEM-0048-S",327.642729804501
"BGEM-0049-S",396.124250079647
"BGEM-0050-S",354.086390563802
"BGEM-0051-S",357.880022480926
"BGEM-0052-S",307.793038185491
"BGEM-0053-S",400.031662758294
"BGEM-0054-S",397.10226088381
"BGEM-0055-S",396.471178668735
"BGEM-0056-S",446.581459653306
"BGEM-0057-S",393.496913234548
"BGEM-0058-N",285.325157926685
"BGEM-0059-S",377.304329994067
"BGEM-0060-S",352.99102844351
"BGEM-0061-N",317.066861650733
"BGEM-0062-N",509.312162564823
"BGEM-0063-N",363.579260140241
"BGEM-0064-N",300.454666657062
"BGEM-0065-N",359.299333277661
"BGEM-0066-N",414.658298812292
"BGEM-0067-S",386.935064035977
"BGEM-0068-S",451.216582400508
"BGEM-0069-S",385.312373167111
"BGEM-0070-S",390.287535572401
"BGEM-0071-S",392.934247188133
"BGEM-0072-S",409.442565783742
"BGEM-0073-S",346.231727004282
"BGEM-0074-S",415.810085866049
"BGEM-0075-S",333.042479308714
"BGEM-0076-S",376.54919453051
"BGEM-0077-S",449.144156344926
"BGEM-0078-N",331.053097556135
"BGEM-0078-S",343.702115783543
"BGEM-0079-S",419.527119980189
"BGEM-0080-S",396.766206426609
"BGEM-0081-S",430.307932875619
"BGEM-0082-S",442.714146573387
"BGEM-0083-S",371.119491015698
"BGEM-0084-S",423.717706097883
"BGEM-0085-N",383.358965762784
"BGEM-0086-N",367.714561142446
"BGEM-0087-N",413.098522643331
"BGEM-0088-N",355.08387603999
"BGEM-0089-N",354.231297062558
"BGEM-0090-N",358.322710142877
"BGEM-0091-N",281.235858115113
"BGEM-0092-S",386.493113455855
"BGEM-0094-S",385.686388335859
"BGEM-0095-S",416.312878000507
"BGEM-0097-S",392.233793370354
"BGEM-0098-S",390.777208826256
"BGEM-0099-S",429.542298134074
"BGEM-0100-S",346.492394240917
"BGEM-0101-S",396.297638129233
"BGEM-0102-N",364.579578013279
"BGEM-0103-N",300.684544492152
"BGEM-0105-N",383.95230591114
"BGEM-0106-N",339.482041550765
"BGEM-0107-N",384.07870531498
"BGEM-0108-S",331.765171623726
"BGEM-0109-N",361.350675151124
"BGEM-0110-N",412.999022841049
"BGEM-0111-S",461.566971491396
"BGEM-0112-S",455.128927295712
"BGEM-0113-S",409.963308680754
"BGEM-0114-S",440.918435823858
"BGEM-0115-S",444.312877529542
"BGEM-0116-S",463.300114244955
"BGEM-0117-S",498.768580236926
"BGEM-0118-S",472.811923000646
"BGEM-0120-N",404.650868500687
"BGEM-0121-N",267.202496722847
"BGEM-0122-N",308.592031116553
"BGEM-0123-N",309.800572428434
"BGEM-0124-N",376.494629099893
"BGEM-0125-N",328.199027996017
"BGEM-0126-N",324.090571174979
"BGEM-0127-N",313.645451920175
"BGEM-0129-N",374.5594730692
"BGEM-0130-N",320.539466594455
"BGEM-0131-N",401.402256568877
"BGEM-0133-S",404.529987544233
"BGEM-0134-S",333.478234471913
"BGEM-0136-S",395.424515880285
"BGEM-0137-S",390.368706922443
"BGEM-0138-S",457.849775338545
"BGEM-0140-N",267.625461001533
"BGEM-0141-N",376.10599698216
"BGEM-0143-N",357.801104891486
"BGEM-0144-N",344.963810478548
"BGEM-0145-N",292.905702218419
"BGEM-0146-N",321.675850194177
"BGEM-0147-S",335.417912755613
"BGEM-0148-S",325.004400353107
