UID,CHL_LN,CHL_HN
B001,275.037846202482,273.892880820092
B002,265.512678453008,391.463652721081
B003,296.012033663168,434.41721282424
B004,270.422638586302,355.819766179206
B005,331.482147109448,474.168230304434
B006,302.86807792553,358.239444309002
B007,366.091851761944,338.002547579348
B008,211.963116389033,356.770803274222
B009,266.30484820046,399.713309415919
B010,368.845017903578,439.461504768628
B011,418.062864523941,493.479963989732
B012,416.418165687354,424.463683652039
B013,283.742881120589,344.263297984646
B014,288.531381363954,424.948878642147
B016,375.765043371677,415.446289350738
B018,380.297843947274,364.198720607847
B019,347.846872852305,402.210691409681
B021,403.068222032282,436.324339895747
B022,305.8916435998,443.010496728476
B023,267.48521543809,362.069229217894
B024,297.925877539947,412.989356014358
B025,352.205997986175,451.118241693323
B026,335.379431146023,437.113189040978
B027,314.078014360759,455.496464683286
B028,357.783080046861,378.837949993571
B029,330.571755296142,388.540766599323
B030,410.38325641465,381.637873124123
B031,279.434807494084,415.84463272733
B032,320.925740315682,354.072721089635
B033,312.703667308538,332.942048851369
B034,366.179749900005,405.248629631712
B035,272.358278098525,349.749577561714
B036,284.318287193419,340.892659450676
B037,288.405667815621,347.639672878677
B038,318.030535555831,393.8973090163
B039,310.095011930222,393.261703463552
B040,343.924327031212,418.751187504931
B041,360.650975155283,366.586731709124
B042,276.526827911938,346.151120723094
B043,347.133864751446,316.92751641897
B044,383.064042462347,464.677271387746
B045,276.427316324278,367.9840351425
B046,367.944478634723,414.389578683427
B047,274.048453601976,431.107107578546
B048,360.074444909665,307.959170634178
B049,299.874844485507,328.288157261038
B050,346.267108056464,428.52582994483
B051,410.240706537462,480.397858281793
B052,398.499999999911,389.789565334586
B053,350.435081950455,402.284771510515
B054,329.642294301792,373.031337986546
B055,286.011481903464,352.885354945586
B056,487.922531600699,521.92599739597
B057,304.879727424256,413.702147644114
B058,304.508894591572,281.595487085173
B059,327.050319632727,394.705128001404
B060,395.838566761734,439.814290743664
B061,340.26662936923,433.741262515767
B062,368.825161842961,526.069298874874
B064,295.003883137178,451.494195631572
B065,342.359166377326,430.630983947259
B066,367.878836103881,419.757307098762
B067,374.468755612094,432.667399660341
B068,295.835840466769,405.299399310754
B071,409.595045780946,495.854682901161
B072,332.285608107959,328.604895224165
B073,379.064814509752,434.500078886219
B074,366.64817252397,437.9815262576
B075,383.895477399073,475.265513447062
B076,390.884720606442,484.111187552845
B077,335.891219393708,411.429107196586
B078,326.056819012696,442.833524969167
B079,315.82790724152,410.854818604848
B080,393.719742915874,438.055672860888
B081,303.353605664778,402.418604134555
B082,280.909501972666,435.558937101071
B083,311.828166206565,394.900867066485
B085,384.037303790041,455.138778152348
B086,357.581609130062,420.361091091788
B087,428.666030227274,432.086291973975
B090,371.459512224364,394.926176814821
B091,294.747562561057,372.009647982515
B092,417.097618449401,424.490375626826
B093,380.319041160733,544.625150760217
B094,379.814880747134,530.849979271133
B095,296.825457235195,516.177882086179
B096,413.598442243078,456.149339011075
B097,369.303071179787,520.841708471665
B098,400.140388011162,510.469166911523
B099,478.958653525824,515.866998068762
B100,456.547415327399,493.353450941237
B102,299.051981206065,323.958220227286
B103,268.659189288508,370.630437839928
B104,328.783570955117,429.296635163178
B105,296.529004124584,360.846049468291
