UID,CHL_LN,CHL_HN
B001,275.037846202582,273.892880820093
B002,265.720457242073,391.463652721081
B003,296.012033663268,434.41721282424
B004,270.422638586402,355.819766179207
B005,331.482147109548,474.168230304434
B006,302.86807792563,358.239444309002
B007,366.091851762043,338.002547540515
B008,211.963116389133,356.770803274222
B009,266.30484820056,399.713309415919
B010,368.845017903678,439.461504768629
B011,418.062864524041,493.479963989732
B012,416.418165687454,424.463683652039
B013,283.742881120688,344.263297984646
B014,288.531381364054,424.948878642148
B016,375.765043371776,415.446289350739
B018,380.297843947374,364.198720607847
B019,347.846872852405,402.210691409681
B021,403.068222032381,436.324339895747
B022,305.8916435999,443.010496728476
B023,267.485215438189,362.069229217894
B024,297.925877540046,412.989356014358
B025,352.205997986275,451.118241693324
B026,335.379431146122,437.113189040979
B027,314.078014360859,455.496464683287
B028,357.783080046961,378.837949993572
B029,330.571755296241,388.540766599324
B030,410.383256414749,381.637873124124
B031,279.434807494183,415.84463272733
B032,321.133519104747,354.072721089635
B033,312.703667308637,332.94204885137
B034,366.179749900104,405.248629631712
B035,272.358278098624,349.749577561714
B036,284.318287193518,340.892659450676
B037,288.405667815721,347.639672878677
B038,318.03053555593,393.8973090163
B039,310.095011930321,393.261703463552
B040,343.924327031311,418.751187504931
B041,360.650975155383,366.586731709124
B042,276.526827912038,346.151120723095
B043,347.133864751546,316.92751641897
B044,383.064042462446,464.677271387747
B045,276.427316324378,367.9840351425
B046,367.944478634822,414.389578683427
B047,274.048453602076,431.107107578546
B048,360.074444909764,307.959170673011
B049,299.874844485607,328.288157261038
B050,346.267108056564,428.52582994483
B051,410.240706537562,480.397858281794
B052,398.50000000001,389.789565334586
B053,350.435081950554,402.284771510516
B054,329.642294301892,373.031337986546
B055,286.011481903564,352.885354945586
B056,487.922531600798,521.925997395971
B057,304.879727424355,413.702147644114
B058,304.508894591672,281.595487085173
B059,327.050319632826,394.705128001404
B060,395.838566761834,439.814290743665
B061,340.26662936933,433.741262515768
B062,368.82516184306,526.069298874874
B064,295.003883137278,451.494195631572
B065,342.359166377425,430.63098394726
B066,367.87883610398,419.757307098762
B067,374.468755612194,432.667399660342
B068,295.835840466869,405.299399310754
B071,409.595045781046,495.854682901161
B072,332.285608108058,328.604895224166
B073,379.064814509851,434.50007888622
B074,366.64817252407,437.9815262576
B075,383.895477399172,475.265513447063
B076,390.884720606541,484.111187552846
B077,335.891219393808,411.429107196587
B078,326.056819012795,442.833524969168
B079,315.82790724162,410.854818604849
B080,393.719742915974,438.055672860888
B081,303.353605664878,402.418604134556
B082,280.909501972765,435.558937101071
B083,311.828166206665,394.900867066485
B085,384.03730379014,455.138778152349
B086,357.581609130162,420.361091091788
B087,428.666030227373,432.086291973976
B090,371.459512224463,394.926176814821
B091,294.747562561156,372.009647982515
