"new_GID","PLOT.ID","rows","ranges","Block","Rep","Trt","year","genotype","note","Group","Calibration","ASD","CHL"
"B73 X Mo17_HN","4402","2","9","4","2","HN","2022","B73 X Mo17","Hybrid","Hybrid","0","2",501.758466307948
"B73 X Mo17_HN","4600","50","12","4","2","HN","2022","B73 X Mo17","Hybrid","Hybrid","0","2",501.758466307948
"B73 X Mo17_HN","4476","26","10","4","2","HN","2022","B73 X Mo17","Hybrid","Hybrid","0","1",501.758466307948
"B73 X Mo17_HN","4598","48","12","1","2","HN","2022","B73 X Mo17","Hybrid","Hybrid","0","2",501.758466307948
"B73 X Mo17_HN","4500","50","10","4","2","HN","2022","B73 X Mo17","Hybrid","Hybrid","0","2",501.758466307948
"B73 X Mo17_HN","4578","28","12","1","2","HN","2022","B73 X Mo17","Hybrid","Hybrid",NA,NA,501.758466307948
"B73 X Mo17_HN","4584","34","12","4","2","HN","2022","B73 X Mo17","Hybrid","Hybrid","0","1",501.758466307948
"B73 X Mo17_HN","4482","32","10","1","2","HN","2022","B73 X Mo17","Hybrid","Hybrid","1","1.5",501.758466307948
"B73 X Mo17_HN","4590","40","12","4","2","HN","2022","B73 X Mo17","Hybrid","Hybrid","0","1",501.758466307948
"B73 X Mo17_HN","4390","40","8","4","2","HN","2022","B73 X Mo17","Hybrid","Hybrid","0","1",501.758466307948
"B73 X Mo17_HN","4512","12","11","4","2","HN","2022","B73 X Mo17","Hybrid","Hybrid","0","2",501.758466307948
"B73 X Mo17_HN","4432","32","9","4","2","HN","2022","B73 X Mo17","Hybrid","Hybrid","0","1",501.758466307948
"B73 X Mo17_HN","4554","4","12","4","2","HN","2022","B73 X Mo17","Hybrid","Hybrid","0","2",501.758466307948
"B73 X Mo17_HN","4596","46","12","1","2","HN","2022","B73 X Mo17","Hybrid","Hybrid","0","1",501.758466307948
"B73 X Mo17_HN","4396","46","8","4","2","HN","2022","B73 X Mo17","Hybrid","Hybrid","0","2",501.758466307948
"B73 X Mo17_HN","4414","14","9","1","2","HN","2022","B73 X Mo17","Hybrid","Hybrid","0","2",501.758466307948
"B73 X Mo17_HN","4536","36","11","4","2","HN","2022","B73 X Mo17","Hybrid","Hybrid","0","1",501.758466307948
"B73 X Mo17_HN","4524","24","11","1","2","HN","2022","B73 X Mo17","Hybrid","Hybrid","0","2",501.758466307948
"B73 X Mo17_HN","4444","44","9","1","2","HN","2022","B73 X Mo17","Hybrid","Hybrid","0","1",501.758466307948
"B73 X Mo17_HN","4420","20","9","1","2","HN","2022","B73 X Mo17","Hybrid","Hybrid","0","1",501.758466307948
"B73 X Mo17_HN","4408","8","9","1","2","HN","2022","B73 X Mo17","Hybrid","Hybrid","0","2",501.758466307948
"B73 X Mo17_HN","4530","30","11","4","2","HN","2022","B73 X Mo17","Hybrid","Hybrid","0","1",501.758466307948
"B73 X Mo17_HN","4518","18","11","1","2","HN","2022","B73 X Mo17","Hybrid","Hybrid","0","2",501.758466307948
"B73 X Mo17_HN","4560","10","12","1","2","HN","2022","B73 X Mo17","Hybrid","Hybrid","0","2",501.758466307948
"B73 X Mo17_HN","4548","48","11","1","2","HN","2022","B73 X Mo17","Hybrid","Hybrid","0","1",501.758466307948
"B73 X Mo17_HN","4458","8","10","1","2","HN","2022","B73 X Mo17","Hybrid","Hybrid","0","2",501.758466307948
"B73 X Mo17_HN","4542","42","11","1","2","HN","2022","B73 X Mo17","Hybrid","Hybrid","0","1",501.758466307948
"B73 X Mo17_HN","4488","38","10","1","2","HN","2022","B73 X Mo17","Hybrid","Hybrid","0","2",501.758466307948
"B73 X Mo17_HN","4597","47","12","1","2","HN","2022","B73 X Mo17","Hybrid","Hybrid","0","1",501.758466307948
"B73 X Mo17_HN","4494","44","10","4","2","HN","2022","B73 X Mo17","Hybrid","Hybrid","0","1",501.758466307948
"B73 X Mo17_HN","4506","6","11","4","2","HN","2022","B73 X Mo17","Hybrid","Hybrid","0","1",501.758466307948
"B73 X Mo17_HN","4426","26","9","4","2","HN","2022","B73 X Mo17","Hybrid","Hybrid","0","2",501.758466307948
"B73 X Mo17_HN","4566","16","12","1","2","HN","2022","B73 X Mo17","Hybrid","Hybrid","0","1",501.758466307948
"B73 X Mo17_HN","4450","50","9","1","2","HN","2022","B73 X Mo17","Hybrid","Hybrid","0","1",501.758466307948
"B73 X Mo17_HN","4438","38","9","1","2","HN","2022","B73 X Mo17","Hybrid","Hybrid","0","1",501.758466307948
"B73 X Mo17_HN","4470","20","10","1","2","HN","2022","B73 X Mo17","Hybrid","Hybrid","0","1",501.758466307948
"B73 X Mo17_HN","4464","14","10","4","2","HN","2022","B73 X Mo17","Hybrid","Hybrid","0","1",501.758466307948
"B73 X Mo17_HN","4599","49","12","1","2","HN","2022","B73 X Mo17","Hybrid","Hybrid","0","2",501.758466307948
"B73 X Mo17_HN","4572","22","12","1","2","HN","2022","B73 X Mo17","Hybrid","Hybrid","0","1",501.758466307948
"B73 X Mo17_LN","3584","34","12","1","2","LN","2022","B73 X Mo17","Hybrid","Hybrid","0","1",367.954537621423
"B73 X Mo17_LN","3518","18","11","4","2","LN","2022","B73 X Mo17","Hybrid","Hybrid","0","2",367.954537621423
"B73 X Mo17_LN","3572","22","12","1","2","LN","2022","B73 X Mo17","Hybrid","Hybrid","0","1",367.954537621423
"B73 X Mo17_LN","3542","42","11","4","2","LN","2022","B73 X Mo17","Hybrid","Hybrid","0","2",367.954537621423
"B73 X Mo17_LN","3566","16","12","4","2","LN","2022","B73 X Mo17","Hybrid","Hybrid","0","2",367.954537621423
"B73 X Mo17_LN","3548","48","11","1","2","LN","2022","B73 X Mo17","Hybrid","Hybrid","0","1",367.954537621423
"B73 X Mo17_LN","3366","16","8","1","2","LN","2022","B73 X Mo17","Hybrid","Hybrid","0","2",367.954537621423
"B73 X Mo17_LN","3560","10","12","4","2","LN","2022","B73 X Mo17","Hybrid","Hybrid","0","2",367.954537621423
"B73 X Mo17_LN","3530","30","11","4","2","LN","2022","B73 X Mo17","Hybrid","Hybrid","0","1",367.954537621423
"B73 X Mo17_LN","3512","12","11","4","2","LN","2022","B73 X Mo17","Hybrid","Hybrid","0","2",367.954537621423
"B73 X Mo17_LN","3536","36","11","1","2","LN","2022","B73 X Mo17","Hybrid","Hybrid","0","2",367.954537621423
"B73 X Mo17_LN","3524","24","11","1","2","LN","2022","B73 X Mo17","Hybrid","Hybrid","0","2",367.954537621423
"B73 X Mo17_LN","3578","28","12","4","2","LN","2022","B73 X Mo17","Hybrid","Hybrid","1","1.5",367.954537621423
