UID,CHL
B001,310.604380514135
B002,400.861722842523
B003,433.836535508708
B004,373.498438435124
B005,464.352803579425
B006,375.355989540338
B007,373.186012063065
B008,374.228535543988
B009,407.194862247483
B010,437.708963812678
B011,479.178135845308
B012,426.195358408778
B013,364.62670876049
B014,426.567835425048
B016,419.272838200711
B018,379.930837797583
B019,409.112065459567
B021,435.300608748796
B022,440.433472438941
B023,378.296058759727
B024,417.38668682453
B025,446.657668308131
B026,435.906196567907
B027,450.018765329148
B028,391.169157634455
B029,398.617866405989
B030,393.318617201669
B031,419.578640518107
B032,372.157257764427
B033,355.935553279537
B034,411.44424569148
B035,368.838444431612
B036,362.039119420837
B037,367.218701818902
B038,402.730004778549
B039,402.24205979841
B040,421.809959623327
B041,381.764078593463
B042,366.075962349664
B043,343.641433639008
B044,457.06673482171
B045,382.836767768533
B046,418.461617053657
B047,431.295416678977
B048,354.922366410572
B049,352.362829552067
B050,429.313808025195
B051,469.135196820872
B052,399.576550721192
B053,409.168935657088
B054,386.711507495629
B055,371.245734340707
B056,501.015734880499
B057,417.933886414152
B058,316.517557396852
B059,403.350155463103
B060,437.979792386844
B061,433.317618456431
B062,504.196486132741
B064,446.946282584924
B065,430.92990361068
B066,422.582342751679
B067,432.493229828299
B068,411.48322082303
B071,481.001172423677
B072,352.605984600759
B073,433.900150558627
B074,436.572806203531
B075,465.195171615579
B076,471.985864769855
B077,416.18890688836
B078,440.297613837317
B079,415.748034032108
B080,436.629727454002
B081,409.271676982737
B082,434.713020346159
B083,403.500421447738
B085,449.744174670712
B086,423.045858791166
B087,432.047122053977
B090,403.519851367121
B091,385.927171193704
B092,426.215849442959
B093,518.441539122788
B094,507.866543750898
B095,496.602991790781
B096,450.519967292423
B097,500.183342313525
B098,492.220495601949
B099,496.364330729612
B100,479.081013649525
B102,349.038800945324
B103,384.868371970313
B104,429.905543788566
B105,377.357041760825
B107,422.955179486899
B109,451.119140678196
B110,434.962761198619
B111,404.390912696103
B112,448.353035239673
B113,396.153639891543
B114,485.75111624551
B115,325.444132236698
B117,389.996057979434
B118,411.77205041028
B119,341.282274822498
B120,303.677963494565
B121,364.196832940148
B122,334.264471377545
B123,441.085897183455
B124,474.676923085345
B125,401.107947995452
B128,413.343829340232
B130,411.331170830873
B131,401.931980037121
B132,410.791753192386
B134,435.035379234086
B136,391.214656790253
B137,408.822311401284
B138,406.152094822523
B139,370.898212628511
B140,356.300975257917
B142,379.363690549764
B143,382.968501904232
B144,367.105729184055
B145,395.492655497135
B146,352.302650495951
B147,442.470810855363
B148,437.314086570079
B149,361.156606405268
B150,403.029428913905
B151,382.502540728237
B152,435.630591945494
B153,423.99188059455
B154,470.402879778709
B155,343.656641782015
B160,470.691707354437
B161,431.042776117838
B162,398.812021192182
B163,411.395364019238
B165,400.367446180827
B169,417.123460065933
B170,459.146755724622
B171,445.167923988539
B173,450.34515982522
B175,376.109223880011
B176,360.895585565122
B177,437.502023831973
B180,367.344760037068
B181,430.029577707371
B182,466.701941965539
B183,413.40542576155
B185,382.975201585816
B186,370.711064214652
B187,360.916591739316
B188,413.68716266275
B189,428.617194199907
B190,394.97168193156
B191,376.516872596239
B194,354.752096945324
B195,389.210707989768
B197,397.761921393811
B198,393.807649923017
B201,475.361691093111
B202,431.738258066114
B204,348.622756907459
B205,354.830430587263
B206,436.295232682859
B207,388.619676281082
B209,435.525400646788
B210,397.910535177079
B211,395.991768219754
B212,365.479245583323
B214,390.412367350555
B215,449.307092576016
B225,434.481444712516
B226,453.551618630972
B231,385.00952765496
B236,392.389236558797
B238,385.578655314158
B239,418.617128729853
B243,369.928282633515
B246,389.132404547509
B247,481.51662939836
B248,440.855105650765
B251,341.162817922792
B252,346.094172286142
B254,415.824726905552
B257,361.885205320109
B259,448.337103210039
B261,395.684652400584
B262,467.735055258768
B265,389.007371430964
B267,467.413688168855
B268,352.900341769668
B273,479.789890125843
B274,407.200035899993
B276,365.329242470265
B277,434.032739060998
B280,393.750550472884
B283,435.053210138774
B287,503.838680016446
B288,364.196832940148
B292,379.185613211731
B297,376.715996268807
B298,449.750788328846
B299,409.594541580132
B300,453.904409815422
B302,332.143532903398
B303,392.652170826545
B304,359.362819689136
B305,448.733622854128
B306,391.348501606125
B307,326.860444419554
B308,427.492196249301
B309,410.650504058878
B310,366.394927769195
B311,389.113593742672
B312,328.799187385872
B313,354.752934320023
B314,328.267548162231
B315,370.973291784263
