UID,CHL
B001,305.224587114165
B002,309.7941412634
B003,312.498450287029
B004,303.624029820712
B005,324.799510932063
B006,314.876131327832
B007,336.802181193657
B008,283.350225821821
B009,302.195977177562
B010,337.75698117549
B011,354.825765491954
B012,354.255382762214
B013,308.243499433319
B014,309.904154733495
B016,340.156850944082
B018,341.728829417078
B019,330.47480949312
B021,349.625612779731
B022,315.924706060466
B023,302.605329377562
B024,313.162172708696
B025,331.986557199037
B026,326.151091815993
B027,318.763745279943
B028,333.920693235978
B029,324.483786401799
B030,352.162471921563
B031,306.749456426573
B032,321.418444235623
B033,318.287120741871
B034,336.832664330637
B035,304.295310984298
B036,308.44305066983
B037,309.860557185258
B038,320.134482449842
B039,317.382437195841
B040,329.114467804299
B041,334.915281305332
B042,305.740967033138
B043,330.227537775133
B044,342.688149035314
B045,305.706456343553
B046,337.44467351467
B047,304.881465054547
B048,334.715340204896
B049,313.838075835671
B050,329.926945935031
B051,352.11303552247
B052,348.041350120259
B053,331.372402254604
B054,324.161448665947
B055,309.030251803079
B056,379.053147867106
B057,315.573772808958
B058,315.445167718057
B059,323.262550001784
B060,347.118363174782
B061,327.845975645982
B062,337.750095079504
B064,312.148822965472
B065,328.571668973057
B066,337.421908638149
B067,339.707297424379
B068,312.437346360834
B071,351.889119911541
B072,325.078151779478
B073,341.301213928589
B074,336.995113630768
B075,342.976491264458
B076,345.400365794404
B077,326.328580345364
B078,322.918003278064
B079,319.37060937924
B080,346.383553553619
B081,315.044512694144
B082,307.260881523687
B083,317.983496335186
B085,343.025676758014
B086,333.850822978317
B087,358.502950921416
B090,338.663689670933
B091,312.059930806833
B092,354.491017464765
B093,341.736180625826
B094,341.561337434757
B095,312.780546162047
B096,353.277500660348
B097,337.915834378422
B098,348.610237852698
B099,375.944468556544
B100,368.172235162743
B102,313.552706263388
B103,303.012464346317
B104,323.863642796768
B105,312.677736011818
B107,319.740748342815
B109,331.787535014256
B110,335.86424975166
B111,303.711732027221
B112,327.983822590858
B113,345.297826158678
B114,354.473584816067
B115,297.784326418797
B117,326.462682414209
B118,311.950371106928
B119,309.596366494391
B120,340.27392239898
B121,322.280084448873
B122,319.42864575797
B123,314.630470391376
B124,312.857576272359
B125,315.360458991804
B128,301.334626758883
B130,299.361749354742
B131,320.294822657445
B132,321.003834969069
B134,316.749363873904
B136,321.871936795824
B137,326.538221593097
B138,323.841888036769
B139,303.093830452467
B140,338.729615748793
B142,328.15875565797
B143,314.791808767564
B144,306.578143380857
B145,318.445102185094
B146,329.220714695711
B147,323.011375801078
B148,336.351741188964
B149,322.072810011702
B150,334.938368353378
B151,319.807152829917
B152,324.938933101268
B153,332.214689060056
B154,322.257278957358
B155,297.235950991795
B160,343.399347090086
B161,331.857124310514
B162,323.663193810633
B163,315.252939232556
B165,307.212183513566
B169,331.247438304321
B170,339.081957452621
B171,315.589355286994
B173,341.800005102469
B175,305.903488322254
B176,292.938840699519
B177,318.521887499004
B180,331.753224192502
B181,345.223335163107
B182,326.635143895273
B183,349.804853453787
B185,313.701681085078
B186,323.129286574161
B187,323.215403969247
B188,307.223901729503
B189,330.48457285454
B190,297.379033295251
B191,324.720792391479
B194,306.576623040281
B195,333.403065015935
B197,328.440325038608
B198,321.640834203612
B201,348.001653185475
B202,361.994106873202
B204,317.734473393014
B205,311.111468784396
B206,346.28993266645
B207,326.754584092526
B209,313.208186190497
B210,321.769346090326
B211,332.740970513834
B212,309.707536079262
B214,310.269334851445
B215,308.384088457903
B225,314.980717982176
B226,337.181971058356
B231,334.98289649582
B236,307.095305586672
B238,324.945912441347
B239,310.205409700923
B243,329.43996426242
B246,348.320154311746
B247,342.676266927642
B248,325.364796011497
B251,313.391914129129
B252,290.254605843341
B254,322.567878309333
B257,317.159485390622
B259,317.839613106481
B261,321.522725473841
B262,332.605075571494
B265,346.321208990319
B267,339.012525862788
B268,319.521523038244
B273,315.365508961426
B274,320.126619699536
B276,321.15506800076
B277,319.139372411916
B280,322.671493406621
B283,330.566252788023
B287,327.882955874933
B288,322.280084448873
B292,313.363489217601
B297,311.403794916727
B298,323.49343184497
B299,342.475045643926
B300,340.331338218311
B302,301.958731457964
B303,331.701393063941
B304,330.531363225788
B305,316.175380875055
B306,326.930769883033
B307,297.157117931271
B308,323.394460078881
B309,330.058475744209
B310,310.50508774917
B311,315.458311908145
B312,300.978238597032
B313,329.824416586484
B314,298.97305290822
B315,319.496827533887
