"genotype","CHL_blups_HN","CHL_blups_LN"
"B73",479.802074782527,379.604339155302
"BGEM-0001-N",313.346994164886,306.481734448437
"BGEM-0002-N",391.492280242704,309.786682768894
"BGEM-0003-N",419.523971764856,315.169551728128
"BGEM-0004-N",371.506569915978,308.567315186469
"BGEM-0005-N",456.751975182373,336.515049107242
"BGEM-0006-S",373.108659193402,316.555498363514
"BGEM-0007-S",373.295557486133,347.195650968503
"BGEM-0008-S",375.301351072688,272.611193938733
"BGEM-0010-S",396.555556818588,302.033349423108
"BGEM-0011-S",428.240673757868,350.135038276086
"BGEM-0012-S",471.292610531525,375.273833408616
"BGEM-0013-S",418.860950142403,371.042098450917
"BGEM-0014-S",363.401004979799,310.366683346184
"BGEM-0015-S",411.744679464047,314.479726997343
"BGEM-0018-S",400.866751283433,344.976854540685
"BGEM-0019-S",406.809360333416,354.200321067385
"BGEM-0020-S",382.913891485163,360.998036660127
"BGEM-0021-S",402.749937738642,340.628835355551
"BGEM-0022-S",397.713438243831,338.413371746984
"BGEM-0023-S",427.122917732286,363.435538899488
"BGEM-0024-S",429.569450008685,317.989813708014
"BGEM-0025-S",374.920279620365,308.746300666541
"BGEM-0026-S",411.065962592542,317.147678782797
"BGEM-0027-S",437.672521987128,342.705188434768
"BGEM-0028-S",425.73196626582,335.254261025113
"BGEM-0029-S",358.538089984872,342.520065218659
"BGEM-0030-S",438.108754270049,321.78158413098
"BGEM-0031-S",385.235643579582,346.786946339235
"BGEM-0032-S",395.967071621707,332.549289239177
"BGEM-0033-S",390.532768587573,369.679117727355
"BGEM-0034-S",411.886845050326,304.92306210178
"BGEM-0035-S",364.684556386542,329.447982986813
"BGEM-0036-S",355.480025059596,325.809883136372
"BGEM-0037-S",407.519805162422,349.125482443126
"BGEM-0038-N",363.517969300573,300.619729940342
"BGEM-0039-N",360.472964156198,306.922305697264
"BGEM-0040-N",365.861569377288,308.68182177482
"BGEM-0041-S",394.61950141512,324.774301420723
"BGEM-0042-S",399.601704849545,323.162187788828
"BGEM-0043-S",414.62868489432,341.480328377506
"BGEM-0044-S",382.831086060223,351.573050724418
"BGEM-0045-N",367.055429414985,307.250103497032
"BGEM-0046-N",352.616435584584,339.164499779242
"BGEM-0047-S",451.029469303792,358.592379661576
"BGEM-0048-S",380.079621489341,306.021893449543
"BGEM-0049-S",411.650146701374,347.986322361905
"BGEM-0050-S",425.275952164914,304.49653323711
"BGEM-0051-S",379.519330070678,345.644999703584
"BGEM-0052-S",348.140888965676,314.48155275905
"BGEM-0053-S",440.50167227431,334.445938526405
"BGEM-0054-S",418.491461724951,347.018708529099
"BGEM-0055-S",420.37203954122,345.485459830216
"BGEM-0056-S",452.388722738976,368.237047188801
"BGEM-0057-S",393.129990309961,362.236405567936
"BGEM-0058-N",335.167107798355,301.415505734732
"BGEM-0059-S",400.894867257226,336.940619902154
"BGEM-0060-S",382.611983165386,331.160285391236
"BGEM-0061-N",367.276642132735,307.605792500885
"BGEM-0062-N",485.67899072508,403.272808255203
"BGEM-0063-N",417.4937918695,318.478606457156
"BGEM-0064-N",330.932279324047,319.448039796621
"BGEM-0065-N",393.870714097082,326.910282984622
"BGEM-0066-N",426.974491885845,361.673901223393
"BGEM-0067-S",420.646429476229,333.271944670414
"BGEM-0068-S",482.569428910086,350.28934606009
"BGEM-0069-S",436.547311382876,317.955661169995
"BGEM-0070-S",418.997575598086,338.72354339498
"BGEM-0071-S",408.61065050549,345.945676175105
"BGEM-0072-S",429.393526387219,354.070237644761
"BGEM-0073-S",402.089578951015,304.42835796052
"BGEM-0074-S",479.06837532218,326.94743334719
"BGEM-0075-S",365.083328861778,326.222405495934
"BGEM-0076-S",406.78900234189,338.543149337237
"BGEM-0077-S",459.538568482187,367.949354492602
"BGEM-0078-N",353.199243732989,332.960936574183
"BGEM-0078-S",346.351889063985,360.576011110844
"BGEM-0079-S",432.868909692025,355.551385788774
"BGEM-0080-S",426.287332597182,345.734813807382
"BGEM-0081-S",452.461248237475,358.090685170348
"BGEM-0082-S",459.841098641102,360.631290790976
"BGEM-0083-S",404.04994061471,331.248653966024
"BGEM-0084-S",445.296246631223,353.065082848615
"BGEM-0085-N",433.254375827309,331.977880194708
"BGEM-0086-N",416.129344313926,323.177033403369
"BGEM-0087-N",424.221364038858,359.649527875046
"BGEM-0088-N",401.55842752715,314.386260859203
"BGEM-0089-N",424.318443944424,304.852847837849
"BGEM-0090-N",401.625275762336,323.228201532152
"BGEM-0091-N",317.840930299182,312.562640595911
"BGEM-0092-S",396.061171669956,337.224215436564
"BGEM-0094-S",430.402182158101,330.754025529315
"BGEM-0095-S",433.281697356232,355.833917800257
"BGEM-0097-S",418.597416581311,345.537683977365
"BGEM-0098-S",425.924996623611,341.668035801743
"BGEM-0099-S",427.586027725584,377.765591637149
"BGEM-0100-S",390.382873606094,316.588989852604
"BGEM-0101-S",428.907723258726,339.143599747693
"BGEM-0102-N",399.585805029394,327.098356849479
"BGEM-0103-N",359.885745895535,296.032652502849
"BGEM-0105-N",437.120184394249,319.712540025148
"BGEM-0106-N",376.567869119563,322.239302302365
"BGEM-0107-N",393.350037353205,349.463581268721
"BGEM-0108-S",378.836048769472,316.506850113429
"BGEM-0109-N",387.336449464012,339.937521207552
"BGEM-0110-N",413.173418782159,368.628073593433
"BGEM-0111-S",500.090060727283,353.755031715274
"BGEM-0112-S",490.141589925256,354.085337468937
"BGEM-0113-S",483.770299493579,315.223224547828
"BGEM-0114-S",446.335323941224,372.217950659724
"BGEM-0115-S",483.105086089932,352.482660727073
"BGEM-0116-S",480.211459637768,367.716082717582
"BGEM-0117-S",476.481945629717,402.948353023054
"BGEM-0118-S",459.418473922765,390.016912227698
"BGEM-0120-N",414.932557340786,356.703719123026
"BGEM-0121-N",321.802041640972,294.762669868581
"BGEM-0122-N",349.327426445234,312.693616858037
"BGEM-0123-N",374.261972051038,300.539760838633
"BGEM-0124-N",418.981548210631,332.045436336769
"BGEM-0125-N",378.190823266231,313.076708158987
"BGEM-0126-N",368.087519421574,313.640869397912
