"","genotype","CHL_blups_HN","CHL_blups_LN"
"1","B73",475.089176028793,372.225662388976
"2","B73 X Mo17",498.358875492658,354.342385209971
"3","BGEM-0001-N",310.579681388185,304.940411252303
"4","BGEM-0002-N",400.871283487171,309.540594401282
"5","BGEM-0002-N X B73",490.583089501216,295.62792875796
"6","BGEM-0003-N",433.858612692048,312.329930486462
"7","BGEM-0003-N X B73",461.135957351523,301.556809542576
"8","BGEM-0004-N",373.497612558051,303.314404737708
"9","BGEM-0004-N X B73",488.096675134603,314.587676698635
"10","BGEM-0005-N",464.386464090133,324.826580763876
"11","BGEM-0005-N X B73",470.978864554662,312.323426974315
"12","BGEM-0006-S",375.35586875022,314.745417190867
"13","BGEM-0006-S X Mo17",502.403552938845,309.7749026098
"14","BGEM-0007-S",373.262806303403,337.020096183607
"15","BGEM-0008-S",374.227986796274,282.718242692994
"16","BGEM-0010-S",407.20682681737,301.863645736176
"17","BGEM-0010-S X Mo17",497.454956015563,304.832946989749
"18","BGEM-0011-S",437.732510887574,337.99007770001
"19","BGEM-0011-S X Mo17",440.081958212136,313.211602485112
"20","BGEM-0012-S",479.217423737339,355.330259528117
"21","BGEM-0012-S X Mo17",485.103260218562,331.339914441277
"22","BGEM-0013-S",426.214535163545,354.75080758462
"23","BGEM-0014-S",364.622515363218,308.007324956681
"24","BGEM-0014-S X Mo17",437.641047780443,317.408487860779
"25","BGEM-0015-S",426.587153564181,309.694385049829
"26","BGEM-0015-S X Mo17",439.550974733885,301.43590958511
"27","BGEM-0018-S",410.601980827379,332.70447761956
"28","BGEM-0019-S",419.289387313803,340.428105937969
"29","BGEM-0019-S X Mo17",467.234220000825,313.047399280786
"30","BGEM-0020-S",379.932453522721,342.025079222429
"31","BGEM-0021-S",409.124757759082,330.592117849174
"32","BGEM-0021-S X Mo17",436.984529253618,328.38531924886
"33","BGEM-0022-S",400.332085411036,327.700551574473
"34","BGEM-0022-S X Mo17",446.929058488393,298.827151558425
"35","BGEM-0023-S",435.323241663249,350.047423217573
"36","BGEM-0023-S X Mo17",481.50410672913,339.235954320877
"37","BGEM-0024-S",440.458053679458,315.810664497712
"38","BGEM-0024-S X Mo17",488.249415809049,308.024951428826
"39","BGEM-0025-S",378.297053957455,302.279506728273
"40","BGEM-0026-S",417.40251999461,313.004206243992
"41","BGEM-0026-S X Mo17",479.949383939682,312.801227985213
"42","BGEM-0027-S",446.684612121233,332.127902683806
"43","BGEM-0027-S X Mo17",471.537286810949,312.407066543659
"44","BGEM-0028-S",435.929059350636,326.199652088009
"45","BGEM-0028-S X Mo17",481.31791149703,307.774956428958
"46","BGEM-0029-S",359.356628231347,330.649570798918
"47","BGEM-0029-S X Mo17",486.332312410399,318.080526647793
"48","BGEM-0030-S",450.046984943309,318.694845079651
"49","BGEM-0030-S X Mo17",485.297360991393,322.446780031946
"50","BGEM-0031-S",391.175039187164,334.092791918975
"51","BGEM-0032-S",398.62657533038,324.505836142533
"52","BGEM-0032-S X Mo17",459.824116625192,318.150784235803
"53","BGEM-0033-S",393.325314643589,352.624618990633
"54","BGEM-0033-S X Mo17",468.21983060693,309.760164887019
"55","BGEM-0034-S",419.595305707264,306.489526329921
"56","BGEM-0034-S X Mo17",459.014503270439,312.704971111802
"57","BGEM-0035-S",372.15592280365,321.389247324401
"58","BGEM-0035-S X Mo17",463.424136583349,320.849588414563
"59","BGEM-0036-S",355.928060904195,318.210642104168
"60","BGEM-0036-S X Mo17",449.637208334361,308.021164311969
"61","BGEM-0037-S",411.45782323709,337.051064009324
"62","BGEM-0038-N",368.835849719767,303.996359422855
"63","BGEM-0038-N X B73",516.82500007054,340.05694529404
"64","BGEM-0039-N",362.033943829596,308.210049102758
"65","BGEM-0039-N X B73",484.667697214139,312.528714804716
"66","BGEM-0040-N",367.215492287156,309.650094290764
"67","BGEM-0040-N X B73",461.928432123316,296.743685232751
"68","BGEM-0041-S",402.740274583348,320.087377279011
"69","BGEM-0042-S",402.252144389656,317.291573886175
"70","BGEM-0043-S",421.827471773836,329.210146421381
"71","BGEM-0043-S X Mo17",480.609989025093,334.306291517821
"72","BGEM-0044-S",381.766390177879,335.103194162445
"73","BGEM-0044-S X Mo17",445.652484253748,333.287764783094
"74","BGEM-0045-N",366.07231905828,305.465001728189
"75","BGEM-0045-N X B73",397.528989984119,339.463301991038
"76","BGEM-0046-N",343.629274676907,330.340914455227
"77","BGEM-0046-N X B73",488.170904232514,298.185542739073
"78","BGEM-0047-S",457.097629695432,342.999652238473
"79","BGEM-0047-S X Mo17",460.437727368487,326.043418242188
"80","BGEM-0048-S",382.839486522982,305.429942310874
