UID,CHL_blups_LN,CHL_blups_HN
B001,303.92880769947,311.681944164539
B002,309.69822974625,393.548996743148
B003,313.477898054143,423.458482804574
B004,301.827604274303,368.729393312398
B005,329.626667527283,451.137969682868
B006,316.599305558469,370.414267141772
B007,345.383711631837,366.108147943508
B008,275.21225812089,369.391620859288
B009,299.952864071389,399.293409810033
B010,346.637168162498,426.970931580371
B011,369.04498087616,464.585144447781
B012,368.296185347073,416.527626751596
B013,307.892020344985,360.682376404966
B014,310.072120125869,416.865478439765
B016,349.787704915131,410.248621506923
B018,351.851390211032,374.563839167198
B019,337.077170439059,401.032390508096
B021,362.218247003524,424.786456328203
B022,317.975869102159,429.442170874628
B023,300.49025954499,373.081028594739
B024,314.349229453195,408.537806077379
B025,339.061785092126,435.087767757246
B026,331.401015995982,425.335748923676
B027,321.702945262786,438.136418420372
B028,341.600908984898,384.757448875236
B029,329.212185979441,391.513728385697
B030,365.548622704404,386.707095462042
B031,305.930648330398,410.525996551999
B032,326.030205641163,367.51288830956
B033,321.077235007982,352.799147579778
B034,345.423729738089,403.147772112998
B035,302.708858751071,364.502590658344
B036,308.153990187219,358.335328430182
B037,310.014885487622,363.033418730414
B038,323.502442005687,395.243603869201
B039,319.889571077809,394.801018077131
B040,335.291320830526,412.5498930439
B041,342.906599113271,376.226662564761
B042,304.606708614902,361.996907907046
B043,336.752553392917,341.647884834228
B044,353.110780097239,444.529211229634
B045,304.561403158198,377.199634943856
B046,346.227172263379,409.512811182958
B047,303.478358815279,421.153585457994
B048,342.64411745967,350.061363530307
B049,315.236551619849,349.55854295194
B050,336.357937963289,419.356186424692
B051,365.483722852628,455.47579338617
B052,360.138435090472,392.383293755276
B053,338.255525623561,401.083974072718
B054,328.789022649142,380.714180273724
B055,308.924864830377,366.686099772127
B056,400.85056449239,484.392728210884
B057,317.515165725223,409.034138191962
B058,317.346333619931,317.045434272664
B059,327.608953082284,395.806105571437
B060,358.926742551158,427.216584028682
B061,333.626050815666,422.98780409294
B062,346.628128130922,487.277797982374
B064,313.018909095365,435.34955255573
B065,334.578737302246,420.822050351724
B066,346.197286649965,413.25047571727
B067,349.197533354726,422.240050332155
B068,313.397681132489,403.183124130479
B071,365.189767584326,466.238712208186
B072,329.992465806029,349.779094395651
B073,351.290018785753,423.516184222566
B074,345.636992348086,425.940390769772
B075,353.489314300278,451.902031492438
B076,356.67136438079,458.061464278345
B077,331.634022029172,407.451371328887
B078,327.15663390635,429.31894163925
B079,322.499633347162,407.05148185317
B080,357.962088240345,425.99202064148
B081,316.820355754596,401.177164602063
B082,306.602044581047,424.253489929987
