UID,CHL_blups_LN,CHL_blups_HN
B001,304.940411252303,310.579681388185
B002,309.540594401282,400.871283487171
B003,312.329930486462,433.858612692048
B004,303.314404737708,373.497612558051
B005,324.826580763876,464.386464090133
B006,314.745417190867,375.35586875022
B007,337.020096183607,373.262806303403
B008,282.718242692994,374.227986796274
B009,301.863645736176,407.20682681737
B010,337.99007770001,437.732510887574
B011,355.330259528117,479.217423737339
B012,354.75080758462,426.214535163545
B013,308.007324956681,364.622515363218
B014,309.694385049829,426.587153564181
B016,340.428105937969,419.289387313803
B018,342.025079222429,379.932453522721
B019,330.592117849174,409.124757759082
B021,350.047423217573,435.323241663249
B022,315.810664497712,440.458053679458
B023,302.279506728273,378.297053957455
B024,313.004206243992,417.40251999461
B025,332.127902683806,446.684612121233
B026,326.199652088009,435.929059350636
B027,318.694845079651,450.046984943309
B028,334.092791918975,391.175039187164
B029,324.505836142533,398.62657533038
B030,352.624618990633,393.325314643589
B031,306.489526329921,419.595305707264
B032,321.389247324401,372.15592280365
B033,318.210642104168,355.928060904195
B034,337.051064009324,411.45782323709
B035,303.996359422855,368.835849719767
B036,308.210049102758,362.033943829596
B037,309.650094290764,367.215492287156
B038,320.087377279011,402.740274583348
B039,317.291573886175,402.252144389656
B040,329.210146421381,421.827471773836
B041,335.103194162445,381.766390177879
B042,305.465001728189,366.07231905828
B043,330.340914455227,343.629274676907
B044,342.999652238473,457.097629695432
B045,305.429942310874,382.839486522982
B046,337.672804277104,418.477858244427
B047,304.591833474723,431.316529307568
B048,334.900073953519,354.831251943718
B049,313.690856382786,352.353981046661
B050,330.035543137225,429.334168477218
B051,352.574396541669,469.170672626504
B052,348.437970425307,399.585623541793
B053,331.503982537552,409.181649543323
B054,324.178373164145,386.715697019001
B055,308.806586866164,371.244053384994
B056,379.942862734954,501.063311861418
B057,315.454151328534,417.949927289577
B058,315.323501387748,316.495102787285
B059,323.265181808942,403.360660663934
B060,347.500307779695,438.003442262515
B061,327.921484952296,433.339498669876
B062,337.983082113548,504.245270459294
B064,311.974744011816,446.973335949877
B065,328.658716966576,430.950877498271
B066,337.649677433924,422.600148082423
B067,339.971404416139,432.514797121326
B068,312.26785499409,411.496813162771
B071,352.346920622139,481.041152301682
B072,325.109652063468,352.597228391847
B073,341.590664551447,433.922251888889
B074,337.216096289883,436.595922017124
B075,343.292579173946,465.229151871306
B076,345.754993854366,472.022422628509
B077,326.379962724937,416.20428540661
B078,322.915156714781,440.322143508794
B079,319.311358454691,415.763245204383
B080,346.753814520201,436.652864873693
B081,314.916475858794,409.284429867397
B082,307.009083201167,434.735430224531
B083,317.902190001093,403.510983686346
B085,343.342546727918,449.77229005609
B086,334.021810708495,423.063840062756
B087,359.065913033389,432.068520013966
B090,338.911203064569,403.530420980913
B091,311.88443844785,385.931062999671
B092,354.990188931967,426.235033975688
B093,342.032547317051,518.495730568973
B094,341.854924079899,507.916721153392
B095,312.616511749373,496.648893788125
B096,353.757376937281,450.548377152207
B097,338.151456704615,500.2306033359
B098,349.015903600708,492.264734096798
B099,376.784754723804,496.410142136284
B100,368.888941070045,479.120264676032
B102,313.400949370086,349.028690709243
B103,302.693115234649,384.871861878577
B104,323.87583211463,429.92612885092
B105,312.51206689462,377.357680527639
B107,319.68738271108,422.973126338551
B109,331.9257160015,451.147777971474
B110,336.067251420617,434.985265873316
B111,303.403501429037,404.40181294628
B112,328.061523694616,448.380622578063
B113,345.650823815357,396.161413447876
B114,354.972479100232,485.792899101328
B115,297.381848737587,325.425065965391
B117,326.516197046854,390.001494248425
B118,311.773136724063,411.785752383599
B119,309.381702908462,341.269220373805
B120,340.547038855344,303.650635247792
B121,322.267094832654,364.192476371142
B288,322.267094832654,364.192476371142
B122,319.370317624903,334.248753119682
B123,314.49585019024,441.110726070551
B124,312.694766655774,474.714502412592
B125,315.237445773685,401.11760210194
B128,300.988599652009,413.358127927458
B130,298.984353053183,411.344705455666
B131,320.250266931996,401.941946928674
B132,320.970552698924,410.805083065698
B134,316.648434555957,435.057911473047
B136,321.852457540075,391.220555613476
B137,326.592937315685,408.834893716311
B138,323.853731449052,406.163663580038
B139,302.775775080197,370.896399760936
B140,338.978177381902,356.293621588998
B142,328.239238236861,379.36509099785
B143,314.659753882915,382.971270662162
B144,306.315489368228,367.102476770295
B145,318.37113548789,395.500178157827
B146,329.318082662275,352.293779147853
B147,323.010013881922,442.496165426281
B148,336.562494081475,437.337483757959
B149,322.056524685288,361.151095830826
B150,335.12664829975,403.039812373748
B151,319.754843044469,382.505132617198
B152,324.968219776946,435.653350114562
B153,332.359661892752,424.010220955929
B154,322.243926728692,470.438836769873
B155,296.824754017894,343.644488592602
B160,343.722158502357,470.727773978416
B161,331.996411783228,431.063792849437
B162,323.672195944509,398.820803813608
B163,315.12821642607,411.408923010403
B165,306.959610881726,400.37681920855
B169,331.377031632339,417.139193320724
B170,339.336121398109,459.178440130111
B171,315.469981571477,445.194302326332
B173,342.097386617236,450.373503331802
B175,305.630107142374,376.109389001655
B176,292.459318704987,360.889975912712
B177,318.44914170557,437.525492356846
B180,331.89085962996,367.341598354344
B181,345.575148396194,430.050209850368
B182,326.691400704277,466.736494159296
B183,350.229513858681,413.41974772947
B185,313.552292924965,382.977972886803
B186,323.129799462831,370.709180309513
B187,323.217286143878,360.910990060404
B188,306.971515419933,413.701591572015
B189,330.602036450238,428.637290232115
B190,296.970111362173,394.979006841749
B191,324.746610580783,376.51719245268
B194,306.313944853895,354.744155355086
B195,333.566933293751,389.21584615658
B197,328.525284634013,397.770305419651
B198,321.617680364642,393.814532991373
B201,348.397642300327,475.399530343754
B202,362.612579150429,431.759538787892
B204,317.649207538102,348.612488749896
B205,310.920895665823,354.822518730813
B206,346.658705039858,436.318243135438
B207,326.812740027543,388.624590104807
B209,313.050951350508,435.548118887472
B210,321.748235619274,397.918975613556
B211,332.894311340075,395.999480333037
B212,309.494640114749,365.475375790925
B214,310.065371613832,390.417961641743
B215,308.150149378393,449.335042054312
B225,314.85166679655,434.503766689695
B226,337.457011440077,453.581179241229
B231,335.171884449677,384.936952523582
B236,306.840874569493,392.395581227559
B238,324.975310090103,385.582414830898
B239,310.000430039031,418.633428949552
B243,329.540818346434,369.92610160111
B246,348.721207666177,389.137512991997
B247,342.987581202615,481.556804932887
B248,325.40085400328,440.879846934297
B251,313.237600604709,341.149718130796
B252,289.732403910558,346.082944331549
B254,322.559464680258,415.839967188814
B257,317.065077097082,361.879971306345
B259,317.756018996672,448.364684500969
B261,321.497693679489,395.692247939224
B262,332.756255637571,467.769999600393
B265,346.690478664314,389.012432415535
B267,339.265585830374,467.448510526357
B268,319.464671674833,352.891697292487
B273,315.24257603896,479.829410226808
B274,320.079389509206,407.212002433688
B276,321.124190369852,365.325315739871
B277,319.07644476755,434.05489071904
B280,322.664727280909,393.757411867502
B283,330.685015113043,435.075749145968
B287,327.95905317521,503.887328527395
B292,313.208723730692,379.18694606544
B297,311.217869849441,376.716391708366
B298,323.49973472539,449.778906224628
B299,342.783160455207,409.607417017338
B300,340.605367599123,453.934104337721
B302,301.622627756248,332.127009582326
B303,331.838204374791,392.658615299572
B304,330.649570798918,359.356628231347
B305,316.065325098263,448.761354655495
B306,326.991727211767,391.354451233998
B307,296.744667493968,326.841915750277
B308,323.399189285949,427.511865256176
B309,330.169164299967,410.663780317018
B310,310.304873035683,366.391405550311
B311,315.336854573416,389.118695046977
B312,300.626544838186,328.781394622258
B313,329.931383548964,354.744993047635
B314,298.589476245692,328.249553599656
B315,319.439583506399,370.971507415141
