"PLOT.ID","rows","ranges","Block","Rep","Group","Trt","year","genotype","note","Calibration","ASD","leaf_length","leaf_width","ear_height","flag_leaf","plant_height"
"1001","1","1","1","1","Inbred","HN","2022","BGEM-0312-S","BGEM_Tall_late","0","2",62.1,6,62.5,125,160
"1002","2","1","1","1","Inbred","HN","2022","BGEM-0245-S","BGEM_Tall_late","0","2",63.6,7.6,66,156.5,198.5
"1003","3","1","1","1","Inbred","HN","2022","BGEM-0292-S","BGEM_Tall_late","0","2",80.05,6.8,60.5,153.5,189.5
"1004","4","1","1","1","Inbred","HN","2022","BGEM-0075-S","BGEM_Tall_late","0","1",65.65,7.4,100,174,205
"1005","5","1","1","1","Inbred","HN","2022","BGEM-0204-N","BGEM_Tall_late","0","1",71.6,6.55,114,210.5,245
"1006","6","1","1","1","Inbred","HN","2022","BGEM-0015-S","BGEM_Tall_late","0","1",75.75,8.65,64.5,168,219
"1007","7","1","1","1","Inbred","HN","2022","BGEM-0166-S","BGEM_Tall_late","0","1",83.3,7.75,99,200,239
"1008","8","1","1","1","Inbred","HN","2022","B73","BGEM_Tall_late","0","2",77.45,8,80,145,177.5
"1009","9","1","1","1","Inbred","HN","2022","BGEM-0237-N","BGEM_Tall_late","0","1",NA,NA,NA,NA,NA
"1010","10","1","1","1","Inbred","HN","2022","BGEM-0152-N","BGEM_Tall_late","0","1",63.85,7.8,67,149,191.5
"1011","11","1","1","1","Inbred","HN","2022","BGEM-0103-N","BGEM_Tall_late","0","1",73.2,7.2,75,166.5,205.5
"1012","12","1","1","1","Inbred","HN","2022","BGEM-0308-S","BGEM_Tall_late","0","2",74.85,8.15,49,148,177.5
"1013","13","1","1","1","Inbred","HN","2022","BGEM-0231-N","BGEM_Tall_late","0","2",81.3,6.45,68.5,147.5,182.5
"1014","14","1","1","1","Inbred","HN","2022","BGEM-0210-N","BGEM_Tall_late","0","2",72.55,7.45,95,158,202
"1015","15","1","1","1","Inbred","HN","2022","BGEM-0065-N","BGEM_Tall_late","0","2",65.75,6.6,112,189,230
"1016","16","1","1","1","Inbred","HN","2022","Mo17","BGEM_Tall_late","0","2",62.95,9.55,73,137,192
"1017","17","1","1","1","Inbred","HN","2022","BGEM-0178-S","BGEM_Tall_late","0","2",79.15,9.25,90,213.5,256
"1018","18","1","1","1","Inbred","HN","2022","BGEM-0106-N","BGEM_Tall_late","0","2",76.85,6.95,102.5,204.5,245.5
"1019","19","1","1","1","Inbred","HN","2022","BGEM-0069-S","BGEM_Tall_late","0","1",75.65,8.9,83.5,175.5,218
"1020","20","1","1","1","Inbred","HN","2022","BGEM-0043-S","BGEM_Tall_late","0","2",88.75,9.5,72.5,188,229
"1021","21","1","1","1","Inbred","HN","2022","BGEM-0239-N","BGEM_Tall_late","0","1",64.7,8.45,85,184,218.5
"1022","22","1","1","1","Inbred","HN","2022","BGEM-0325-N","BGEM_Tall_late","0","2",74.95,7.95,77.5,185,226
"1023","23","1","1","1","Inbred","HN","2022","BGEM-0290-N","BGEM_Tall_late","0","1",69.65,7.5,93,175,215
"1024","24","1","1","1","Inbred","HN","2022","B73","BGEM_Tall_late","0","2",77.9,8.7,85,165,205
"1025","25","1","1","1","Inbred","HN","2022","BGEM-0165-S","BGEM_Tall_late","0","2",69.35,6.8,89,185.5,224
"1026","26","1","1","1","Inbred","HN","2022","BGEM-0318-S","BGEM_Short_early","0","2",68,7.3,45,159,201
"1027","27","1","1","1","Inbred","HN","2022","BGEM-0321-S","BGEM_Short_early","0","2",73.55,9.15,61,140,177
"1028","28","1","1","1","Inbred","HN","2022","BGEM-0008-S","BGEM_Short_early","0","2",77.85,8.55,80.5,175,218
"1029","29","1","1","1","Inbred","HN","2022","BGEM-0113-S","BGEM_Short_early","0","1",73.55,6.6,63,160,206.5
"1030","30","1","1","1","Inbred","HN","2022","BGEM-0140-N","BGEM_Short_early","0","1",75.3,7.5,55,151.5,188
"1031","31","1","1","1","Inbred","HN","2022","BGEM-0221-S","BGEM_Short_early","0","2",75.7,9.65,66,160,200
"1032","32","1","1","1","Inbred","HN","2022","BGEM-0047-S","BGEM_Short_early","0","2",70,8.5,53.5,146.5,184.5
"1033","33","1","1","1","Inbred","HN","2022","Mo17","BGEM_Short_early","0","2",65.35,8.95,76,152,198
"1034","34","1","1","1","Inbred","HN","2022","BGEM-0136-S","BGEM_Short_early","0","2",57.8,9.05,75.5,139,177
"1035","35","1","1","1","Inbred","HN","2022","BGEM-0244-S","BGEM_Short_early","0","2",65.6,8.95,61.5,150.5,197.5
"1036","36","1","1","1","Inbred","HN","2022","BGEM-0020-S","BGEM_Short_early","0","1",83.25,9.65,72,163.5,209
"1037","37","1","1","1","Inbred","HN","2022","BGEM-0118-S","BGEM_Short_early","0","1",67.9,7.05,54,151.5,195.5
"1038","38","1","1","1","Inbred","HN","2022","BGEM-0032-S","BGEM_Short_early","0","2",66,8.5,62,138,183.5
"1039","39","1","1","1","Inbred","HN","2022","BGEM-0039-N","BGEM_Short_early","0","1",69.2,8,79.5,172,215
"1040","40","1","1","1","Inbred","HN","2022","BGEM-0080-S","BGEM_Short_early","0","1",62.75,8.4,74,179,215
"1041","41","1","1","1","Inbred","HN","2022","B73","BGEM_Short_early","0","1",78.5,8.95,83.5,173.5,208.5
"1042","42","1","1","1","Inbred","HN","2022","BGEM-0179-S","BGEM_Short_early","0","1",74.25,9.65,96,196,240.5
"1043","43","1","1","1","Inbred","HN","2022","BGEM-0214-S","BGEM_Short_early","0","1",71.55,8.05,74.5,165,200
"1044","44","1","1","1","Inbred","HN","2022","BGEM-0109-N","BGEM_Short_early","0","2",51.35,6.2,59,135,163.5
"1045","45","1","1","1","Inbred","HN","2022","BGEM-0082-S","BGEM_Short_early","0","2",67.75,8.75,37.5,113.5,145.5
"1046","46","1","1","1","Inbred","HN","2022","BGEM-0114-S","BGEM_Short_early","0","2",70.6,7.7,67.5,155,194.5
"1047","47","1","1","1","Inbred","HN","2022","BGEM-0222-S","BGEM_Short_early","0","2",58.5,7.85,73,149.5,185
"1048","48","1","1","1","Inbred","HN","2022","BGEM-0079-S","BGEM_Short_early","0","2",75.25,8.6,59.5,170,211.5
"1049","49","1","1","1","Inbred","HN","2022","Mo17","BGEM_Short_early","0","1",55.85,8.6,72,135,179.5
"1050","50","1","1","1","Inbred","HN","2022","BGEM-0099-S","BGEM_Short_early","0","1",60,7.6,70,130,163
"1051","1","2","1","1","Inbred","HN","2022","BGEM-0160-S","BGEM_Tall_late","0","2",55.05,8.1,92,163,199
"1052","2","2","1","1","Inbred","HN","2022","BGEM-0172-S","BGEM_Tall_late","0","2",74,8.1,101.5,225,261.5
"1053","3","2","1","1","Inbred","HN","2022","BGEM-0192-N","BGEM_Tall_late","0","2",69.75,6.15,102,177.5,216.5
"1054","4","2","1","1","Inbred","HN","2022","BGEM-0211-N","BGEM_Tall_late","0","2",79.05,6.85,88.5,175.5,212.5
"1055","5","2","1","1","Inbred","HN","2022","BGEM-0014-S","BGEM_Tall_late","0","2",66.25,7.3,80,143,179.5
"1056","6","2","1","1","Inbred","HN","2022","BGEM-0235-N","BGEM_Tall_late","0","2",69.5,6.95,97,188.5,225
"1057","7","2","1","1","Inbred","HN","2022","B73","BGEM_Tall_late","0","2",76.5,8.45,94.5,165.5,204.5
"1058","8","2","1","1","Inbred","HN","2022","BGEM-0250-S","BGEM_Tall_late","0","2",73,8.05,112.5,207.5,250
"1059","9","2","1","1","Inbred","HN","2022","BGEM-0183-N","BGEM_Tall_late","0","2",70.25,6.5,81,165.5,199.5
"1060","10","2","1","1","Inbred","HN","2022","BGEM-0213-S","BGEM_Tall_late","0","2",60.5,6.1,107,166,186.5
"1061","11","2","1","1","Inbred","HN","2022","BGEM-0056-S","BGEM_Tall_late","0","2",71.75,8.75,73,149.5,192
"1062","12","2","1","1","Inbred","HN","2022","BGEM-0294-N","BGEM_Tall_late","0","2",72.25,7.5,91.5,175,210
"1063","13","2","1","1","Inbred","HN","2022","BGEM-0196-N","BGEM_Tall_late","0","2",63.25,5.5,70,192.5,231
"1064","14","2","1","1","Inbred","HN","2022","BGEM-0051-S","BGEM_Tall_late","0","2",77.75,8.85,92.5,181,222
"1065","15","2","1","1","Inbred","HN","2022","Mo17","BGEM_Tall_late","0","2",61.8,7.85,86.5,153.5,195
"1066","16","2","1","1","Inbred","HN","2022","BGEM-0188-S","BGEM_Tall_late","0","2",78.35,8.5,95.5,188.5,231
"1067","17","2","1","1","Inbred","HN","2022","BGEM-0011-S","BGEM_Tall_late","0","2",81.55,8.15,75.5,175,221
"1068","18","2","1","1","Inbred","HN","2022","BGEM-0038-N","BGEM_Tall_late","0","2",70.2,8.05,77.5,157.5,196.5
