"genotype","PLOT.ID","rows","ranges","Block","Rep","Group","Trt","year","note","Calibration","ASD","leaf_length","leaf_width","ear_height","flag_leaf","plant_height"
"B73","1293","43","6","1","1","Inbred","HN","2022","BGEM_Short_late","0","1",77.867252843413,8.60954537880613,90.8332650963471,171.761828817233,212.263673576318
"B73","1122","22","3","1","1","Inbred","HN","2022","BGEM_Tall_late","0","2",77.867252843413,8.60954537880613,90.8332650963471,171.761828817233,212.263673576318
"B73","1057","7","2","1","1","Inbred","HN","2022","BGEM_Tall_late","0","2",77.867252843413,8.60954537880613,90.8332650963471,171.761828817233,212.263673576318
"B73","1334","34","7","1","1","Inbred","HN","2022","BGEM_Short_late","0","1",77.867252843413,8.60954537880613,90.8332650963471,171.761828817233,212.263673576318
"B73","1228","28","5","1","1","Inbred","HN","2022","BGEM_Short_late","0","1",77.867252843413,8.60954537880613,90.8332650963471,171.761828817233,212.263673576318
"B73","1180","30","4","1","1","Inbred","HN","2022","BGEM_Short_early","0","2",77.867252843413,8.60954537880613,90.8332650963471,171.761828817233,212.263673576318
"B73","1008","8","1","1","1","Inbred","HN","2022","BGEM_Tall_late","0","2",77.867252843413,8.60954537880613,90.8332650963471,171.761828817233,212.263673576318
"B73","1244","44","5","1","1","Inbred","HN","2022","BGEM_Short_late","0","2",77.867252843413,8.60954537880613,90.8332650963471,171.761828817233,212.263673576318
"B73","1090","40","2","1","1","Inbred","HN","2022","BGEM_Short_early","0","1",77.867252843413,8.60954537880613,90.8332650963471,171.761828817233,212.263673576318
"B73","1024","24","1","1","1","Inbred","HN","2022","BGEM_Tall_late","0","2",77.867252843413,8.60954537880613,90.8332650963471,171.761828817233,212.263673576318
"B73","1212","12","5","1","1","Inbred","HN","2022","BGEM_Tall_early","0","1",77.867252843413,8.60954537880613,90.8332650963471,171.761828817233,212.263673576318
"B73","1106","6","3","1","1","Inbred","HN","2022","BGEM_Tall_late","0","2",77.867252843413,8.60954537880613,90.8332650963471,171.761828817233,212.263673576318
"B73","1350","50","7","1","1","Inbred","HN","2022","BGEM_Short_late","0","1",77.867252843413,8.60954537880613,90.8332650963471,171.761828817233,212.263673576318
"B73","1041","41","1","1","1","Inbred","HN","2022","BGEM_Short_early","0","1",77.867252843413,8.60954537880613,90.8332650963471,171.761828817233,212.263673576318
"B73","1073","23","2","1","1","Inbred","HN","2022","BGEM_Tall_late","0","2",77.867252843413,8.60954537880613,90.8332650963471,171.761828817233,212.263673576318
"B73","1310","10","7","1","1","Inbred","HN","2022","BGEM_Tall_early","0","1",77.867252843413,8.60954537880613,90.8332650963471,171.761828817233,212.263673576318
"B73","1155","5","4","1","1","Inbred","HN","2022","BGEM_Tall_late","0","1",77.867252843413,8.60954537880613,90.8332650963471,171.761828817233,212.263673576318
"B73","1325","25","7","1","1","Inbred","HN","2022","BGEM_Tall_early","0","1",77.867252843413,8.60954537880613,90.8332650963471,171.761828817233,212.263673576318
"B73","1261","11","6","1","1","Inbred","HN","2022","BGEM_Tall_early","0","1",77.867252843413,8.60954537880613,90.8332650963471,171.761828817233,212.263673576318
"B73","1277","27","6","1","1","Inbred","HN","2022","BGEM_Short_late","0","2",77.867252843413,8.60954537880613,90.8332650963471,171.761828817233,212.263673576318
"B73","1195","45","4","1","1","Inbred","HN","2022","BGEM_Short_late","0","2",77.867252843413,8.60954537880613,90.8332650963471,171.761828817233,212.263673576318
"B73","1139","39","3","1","1","Inbred","HN","2022","BGEM_Short_early","0","1",77.867252843413,8.60954537880613,90.8332650963471,171.761828817233,212.263673576318
"B73","1163","13","4","1","1","Inbred","HN","2022","BGEM_Tall_early","0","1",77.867252843413,8.60954537880613,90.8332650963471,171.761828817233,212.263673576318
"BGEM-0001-N","1313","13","7","1","1","Inbred","HN","2022","BGEM_Tall_early","0","2",63.4696441818185,7.32028862741172,77.8119784779416,193.428356867494,195.129290503848
"BGEM-0002-N","1314","14","7","1","1","Inbred","HN","2022","BGEM_Tall_early","0","1",67.3671178351997,6.75269191029882,78.5931853095422,169.321150434072,207.058703459778
"BGEM-0003-N","1111","11","3","1","1","Inbred","HN","2022","BGEM_Tall_late","0","1",78.1631198550657,6.63106404234606,103.591803920761,188.154905460183,222.964587401019
"BGEM-0004-N","1298","48","6","1","1","Inbred","HN","2022","BGEM_Short_late","0","2",59.7670442111063,8.09059845777922,91.8737014467519,181.374753650783,214.288650705797
"BGEM-0005-N","1321","21","7","1","1","Inbred","HN","2022","BGEM_Tall_early","0","1",73.953848309414,9.30687713730686,80.5462023885436,181.374753650783,222.241592676417
"BGEM-0006-S","1322","22","7","1","1","Inbred","HN","2022","BGEM_Tall_early","0","1",73.8758988363464,8.49602468428844,87.5770638729488,169.697825534594,229.471539922435
"BGEM-0007-S","1170","20","4","1","1","Inbred","HN","2022","BGEM_Tall_early",NA,NA,72.3948588480615,8.13114108043014,83.2804262991456,182.50477895235,226.941058386329
"BGEM-0008-S","1028","28","1","1","1","Inbred","HN","2022","BGEM_Short_early","0","2",76.6041303937132,8.45548206163751,80.5462023885436,173.841251640339,216.096137517301
"BGEM-0010-S","1078","28","2","1","1","Inbred","HN","2022","BGEM_Short_early","0","2",73.6810251536773,9.83393123176883,79.3743921411428,179.868053248694,225.133571574824
"BGEM-0011-S","1067","17","2","1","1","Inbred","HN","2022","BGEM_Tall_late","0","2",79.4882608972153,8.13114108043014,76.6401682305408,173.841251640339,218.265121691107
"BGEM-0012-S","1096","46","2","1","1","Inbred","HN","2022","BGEM_Short_early","0","1",66.3537746853206,7.44191649536448,64.5314623407319,147.850669704305,189.345332707033
"BGEM-0013-S","1094","44","2","1","1","Inbred","HN","2022","BGEM_Short_early","0","1",74.577444093955,7.96897058982646,79.3743921411428,174.217926740861,214.650148068098
"BGEM-0014-S","1055","5","2","1","1","Inbred","HN","2022","BGEM_Tall_late","0","2",67.5619915178688,7.44191649536448,80.1555989727433,149.734045206917,188.260840620131
"BGEM-0015-S","1006","6","1","1","1","Inbred","HN","2022","BGEM_Tall_late","0","1",74.9671914592931,8.53656730693936,68.0468930829345,168.567800233028,216.819132241903
"BGEM-0018-S","1306","6","7","1","1","Inbred","HN","2022","BGEM_Tall_early","0","1",74.9282167227593,8.41493943898659,76.2495648147405,181.374753650783,214.650148068098
"BGEM-0019-S","1153","3","4","1","1","Inbred","HN","2022","BGEM_Tall_late","0","1",68.8481578234846,8.25276894838291,82.8898228833453,168.94447533355,206.335708735176
"BGEM-0020-S","1036","36","1","1","1","Inbred","HN","2022","BGEM_Short_early","0","1",80.813401939365,9.34741975995778,73.9059443199388,165.177724328328,209.589184995885
"BGEM-0021-S","1158","8","4","1","1","Inbred","HN","2022","BGEM_Tall_late","0","2",73.6030756806097,7.60408698596817,86.4052536255479,179.11470304765,224.772074212523
"BGEM-0022-S","1283","33","6","1","1","Inbred","HN","2022","BGEM_Short_late","0","2",71.9271620096558,8.25276894838291,85.2334433781471,164.424374127283,204.889719285973
"BGEM-0023-S","1097","47","2","1","1","Inbred","HN","2022","BGEM_Short_early","0","1",73.4471767344744,9.22579189200502,75.0777545673396,166.684424730417,210.312179720487
"BGEM-0024-S","1093","43","2","1","1","Inbred","HN","2022","BGEM_Short_early","0","1",79.4492861606816,9.3879623826087,69.6093067461356,161.034298222583,205.974211372876
"BGEM-0025-S","1252","2","6","1","1","Inbred","HN","2022","BGEM_Tall_early","0","1",80.813401939365,9.26633451465594,86.7958570413482,186.648205058094,229.833037284736
"BGEM-0026-S","1198","48","4","1","1","Inbred","HN","2022","BGEM_Short_late","0","2",75.824635663037,9.55013287321239,70.3905135777362,155.007496614228,195.85228522845
"BGEM-0027-S","1075","25","2","1","1","Inbred","HN","2022","BGEM_Tall_late","0","2",74.4605198843536,9.30687713730686,90.3112877835508,188.154905460183,225.856566299426
"BGEM-0028-S","1284","34","6","1","1","Inbred","HN","2022","BGEM_Short_late","0","2",73.9928230459478,8.69873779754304,86.4052536255479,168.191125132506,207.78169818438
"BGEM-0029-S","1281","31","6","1","1","Inbred","HN","2022","BGEM_Short_late","0","2",70.0953493925666,9.22579189200502,59.8442213511285,145.967294201694,185.730359084024
"BGEM-0030-S","1129","29","3","1","1","Inbred","HN","2022","BGEM_Short_early","0","1",74.9671914592931,7.56354436331725,86.0146502097476,168.191125132506,206.697206097477
"BGEM-0031-S","1301","1","7","1","1","Inbred","HN","2022","BGEM_Tall_early","0","1",68.5363599312141,7.44191649536448,79.3743921411428,157.267547217361,193.683301054644
"BGEM-0032-S","1038","38","1","1","1","Inbred","HN","2022","BGEM_Short_early","0","2",67.3671178351997,8.41493943898659,66.093876003933,145.967294201694,191.152819518538
"BGEM-0033-S","1125","25","3","1","1","Inbred","HN","2022","BGEM_Tall_late","0","1",72.1220356923248,8.21222632573199,106.326027831363,178.361352846606,224.049079487921
"BGEM-0034-S","1341","41","7","1","1","Inbred","HN","2022","BGEM_Short_late","0","1",72.4338335845953,9.42850500525962,75.4683579831399,168.567800233028,205.974211372876
"BGEM-0035-S","1233","33","5","1","1","Inbred","HN","2022","BGEM_Short_late","1","1.5",75.1620651419622,8.09059845777922,76.2495648147405,173.841251640339,214.650148068098
"BGEM-0036-S","1235","35","5","1","1","Inbred","HN","2022","BGEM_Short_late","0","2",71.45946517125,8.90145091079765,80.1555989727433,170.827850836161,201.274745662964
"BGEM-0037-S","1086","36","2","1","1","Inbred","HN","2022","BGEM_Short_early","0","2",64.2491389124947,7.4824591180154,64.1408589249316,136.550416688639,179.223406562608
"BGEM-0038-N","1068","18","2","1","1","Inbred","HN","2022","BGEM_Tall_late","0","2",70.64099570404,8.0500558351283,78.2025818937419,160.657623122061,200.551750938362
"BGEM-0039-N","1039","39","1","1","1","Inbred","HN","2022","BGEM_Short_early","0","1",69.8615009733637,8.00951321247738,79.764995556943,171.581201037205,213.927153343496
"BGEM-0040-N","1134","34","3","1","1","Inbred","HN","2022","BGEM_Short_early","0","1",70.9138188597766,7.56354436331725,89.5300809519502,170.074500635117,208.143195546681
"BGEM-0041-S","1264","14","6","1","1","Inbred","HN","2022","BGEM_Tall_early","0","1",76.3313072379766,8.94199353344857,77.4213750621413,177.231327545039,217.903624328806
"BGEM-0042-S","1349","49","7","1","1","Inbred","HN","2022","BGEM_Short_late","0","1",77.6564482801262,7.2797460047608,68.828099914535,156.890872116839,197.659772039954
"BGEM-0043-S","1020","20","1","1","1","Inbred","HN","2022","BGEM_Tall_late","0","2",85.1006229580843,9.22579189200502,74.2965477357391,183.634804253917,224.049079487921
"BGEM-0044-S","1320","20","7","1","1","Inbred","HN","2022","BGEM_Tall_early","0","1",77.69542301666,9.83393123176883,90.7018911993511,194.181707068539,236.701487168454
"BGEM-0045-N","1203","3","5","1","1","Inbred","HN","2022","BGEM_Tall_early","0","1",69.3158546618903,7.80680009922277,87.5770638729488,192.67500666645,225.495068937125
"BGEM-0046-N","1221","21","5","1","1","Inbred","HN","2022","BGEM_Tall_early","0","2",75.2400146150298,8.13114108043014,76.2495648147405,180.998078550261,213.927153343496
"BGEM-0047-S","1032","32","1","1","1","Inbred","HN","2022","BGEM_Short_early","0","2",70.4850967579047,8.41493943898659,59.4536179353282,152.370770910572,191.87581424314
"BGEM-0048-S","1229","29","5","1","1","Inbred","HN","2022","BGEM_Short_late","0","1",74.8112925131579,9.63121811851423,76.6401682305408,168.94447533355,207.058703459778
"BGEM-0049-S","1168","18","4","1","1","Inbred","HN","2022","BGEM_Tall_early","0","1",78.6697914300053,9.59067549586331,83.2804262991456,180.621403449739,223.32608476332
"BGEM-0050-S","1133","33","3","1","1","Inbred","HN","2022","BGEM_Short_early","0","1",84.4770271735433,9.34741975995778,80.1555989727433,179.491378148172,225.856566299426
"BGEM-0051-S","1064","14","2","1","1","Inbred","HN","2022","BGEM_Tall_late","0","2",76.5261809206456,8.69873779754304,89.9206843677505,178.361352846606,218.988116415709
"BGEM-0052-S","1109","9","3","1","1","Inbred","HN","2022","BGEM_Tall_late","0","2",66.3537746853206,5.77966896667671,69.2187033303353,138.810467291772,166.932496244376
"BGEM-0053-S","1258","8","6","1","1","Inbred","HN","2022","BGEM_Tall_early","0","1",70.1732988656342,7.92842796717554,99.2951663469574,177.984677746083,209.589184995885
"BGEM-0054-S","1213","13","5","1","1","Inbred","HN","2022","BGEM_Tall_early","0","1",76.1364335553075,9.55013287321239,84.4522365465465,184.764829555483,224.772074212523
"BGEM-0055-S","1142","42","3","1","1","Inbred","HN","2022","BGEM_Short_early","0","1",76.019509345706,8.13114108043014,70.7811169935365,162.540998624672,205.612714010575
"BGEM-0056-S","1061","11","2","1","1","Inbred","HN","2022","BGEM_Tall_late","0","2",71.8492125365881,8.6176525522412,74.6871511515393,154.630821513705,197.298274677654
"BGEM-0057-S","1161","11","4","1","1","Inbred","HN","2022","BGEM_Tall_late","0","1",74.6164188304888,9.14470664670317,75.8589613989402,155.007496614228,199.467258851459
"BGEM-0058-N","1169","19","4","1","1","Inbred","HN","2022","BGEM_Tall_early","0","1",77.1108019686528,8.21222632573199,95.7797356047548,185.89485485705,225.856566299426
"BGEM-0059-S","1331","31","7","1","1","Inbred","HN","2022","BGEM_Short_late","0","1",70.6020209675061,7.52300174066633,82.1086160517448,173.464576539817,213.565655981195
"BGEM-0060-S","1107","7","3","1","1","Inbred","HN","2022","BGEM_Tall_late","0","2",73.4471767344744,8.77982304284488,90.3112877835508,181.374753650783,223.32608476332
"BGEM-0061-N","1118","18","3","1","1","Inbred","HN","2022","BGEM_Tall_late","0","1",60.5855136783164,7.07703289150619,87.5770638729488,168.94447533355,201.274745662964
"BGEM-0062-N","1256","6","6","1","1","Inbred","HN","2022","BGEM_Tall_early","0","1",75.0451409323607,7.44191649536448,79.764995556943,165.55439942885,210.312179720487
