"","male","bands","mean.heterosis","sd.heterosis","se.heterosis","max","min","Trt","Htype"
"1","B73",350,0,0,0,0,0,"HN","mid"
"2","B73",351,-1.17531615010038,0.426675539217424,0.0486241904104445,0.0687146290248459,-2.1358626756465,"HN","mid"
"3","B73",352,-0.130821119890518,0.0634255088766963,0.00722800755383419,0.0245729935180125,-0.299413093566098,"HN","mid"
"4","B73",353,0,0,0,0,0,"HN","mid"
"5","B73",354,-2.0710745246854e-08,8.65424672212300e-09,9.86242945277069e-10,2.64524058262523e-09,-4.4929075359757e-08,"HN","mid"
"6","B73",355,0,0,0,0,0,"HN","mid"
"7","B73",356,-4.60345105876282e-10,1.3488153669518e-10,1.53711776755446e-11,-1.68071684869063e-10,-8.88857245325349e-10,"HN","mid"
"8","B73",357,-2.1825456168333,1.18052229502657,0.134533001264682,0.428321814182487,-4.88523476579856,"HN","mid"
"9","B73",358,-1.07688659955247,0.481346381540506,0.0548545111171169,-0.0739896485591513,-2.17549406784076,"HN","mid"
"10","B73",359,0,0,0,0,0,"HN","mid"
"11","B73",360,-6.71553098121972e-05,7.04151598233217e-05,8.02455220496328e-06,0.000100291206596926,-0.00021324361746838,"HN","mid"
"12","B73",361,-0.610757191403395,0.407788455464319,0.0464718074582991,0.758125111834833,-1.56955289129864,"HN","mid"
"13","B73",362,-0.23243795518253,0.0670312449579984,0.00763891931622069,-0.0596502428733116,-0.415906887598663,"HN","mid"
"14","B73",363,-0.958571052333198,0.329035191809565,0.0374970401341256,-0.164093215849962,-1.97029318702973,"HN","mid"
"15","B73",364,-1.61828040487876,0.784005741075798,0.0893457462006636,0.353297935565685,-4.05746490895221,"HN","mid"
"16","B73",365,-2.8266625846136,1.6102838706873,0.183508878167182,1.08676847842262,-7.32401466646257,"HN","mid"
"17","B73",366,-2.52275247391113,1.64053054780352,0.186955806927335,1.32557794391076,-6.55047464091923,"HN","mid"
"18","B73",367,-2.10894221374374,1.48040000683246,0.16870723816948,1.03589919255491,-6.07379726046097,"HN","mid"
"19","B73",368,-0.807418330721134,0.373209609745601,0.0425311822668852,0.193945603805213,-1.83868651699879,"HN","mid"
"20","B73",369,-0.367010436081725,0.142384370465305,0.0162262049370688,0.0110395544658618,-0.675889159589582,"HN","mid"
"21","B73",370,-1.2309474483676,0.811398832759031,0.0924674787198965,0.837989836816584,-3.38481845715455,"HN","mid"
"22","B73",371,-1.21143264173304,0.764776402358701,0.0871543596755255,0.58311257032326,-3.14427442641172,"HN","mid"
"23","B73",372,-1.47858412095863,0.702447654586132,0.0800513396493563,0.4097636253983,-2.89584903255503,"HN","mid"
"24","B73",373,-2.10770015134077,1.7736707354911,0.202128539466155,2.77845775849156,-5.8017077889684,"HN","mid"
"25","B73",374,-1.61929368960239,1.14269505896157,0.13022218763684,1.36675848946002,-4.24661144811091,"HN","mid"
"26","B73",375,-1.44388885655083,0.91262877890986,0.104003701738223,1.23809719752241,-3.52919594067459,"HN","mid"
"27","B73",376,-1.77342368781116,1.46475659556137,0.16692450600323,1.9286733992909,-5.14609462181715,"HN","mid"
"28","B73",377,-0.604547527894604,0.305542572684428,0.0348198077160783,0.0164009345873289,-1.31660936182912,"HN","mid"
"29","B73",378,-0.846015413178393,0.453193383469873,0.0516461792279205,0.157540061792561,-1.80805545192783,"HN","mid"
"30","B73",379,-1.04165524032599,0.52455668828909,0.0597787825831833,0.224142624988257,-2.19482474272075,"HN","mid"
"31","B73",380,-1.16053593490234,0.533360926187939,0.0607821186094239,0.131998340959262,-2.62183487805177,"HN","mid"
"32","B73",381,-1.97655602432994,1.46029215926593,0.166415736269435,1.49697872760988,-5.83360093776965,"HN","mid"
"33","B73",382,-1.18052411009537,0.756322663583509,0.0861909667314655,0.572135565629331,-3.09192945005737,"HN","mid"
"34","B73",383,-0.563903741878982,0.242093508453813,0.0275891157805328,0.0383114001808618,-1.15873156945736,"HN","mid"
"35","B73",384,-1.57336454729989,1.1376806669021,0.129650744627149,1.25179693238461,-4.14015938893724,"HN","mid"
"36","B73",385,-1.82331426288205,1.70665684686243,0.194491598087231,2.69571074837951,-6.07653517971435,"HN","mid"
"37","B73",386,-1.41726785406409,1.34651578348414,0.153449714897854,2.19529252961792,-4.87382705399745,"HN","mid"
"38","B73",387,-1.09283662554526,0.800521178463647,0.0912278549658659,1.01022709967274,-2.97474383220869,"HN","mid"
"39","B73",388,-1.15021267114583,0.706212333343198,0.0804803646106969,0.756978547497474,-2.73022467666745,"HN","mid"
"40","B73",389,-1.44775955362781,0.924039755668917,0.105304103227653,1.01338697702555,-3.5114757406614,"HN","mid"
"41","B73",390,-1.72281238114835,1.29881129341156,0.14801328370947,1.56855822845557,-4.67470016472536,"HN","mid"
"42","B73",391,-1.41710742970616,1.28857656804001,0.146846928506221,1.64191427370151,-4.36640391977429,"HN","mid"
"43","B73",392,-1.73344628522675,1.25024810648608,0.142478994932725,1.81682637365845,-5.0961357060567,"HN","mid"
"44","B73",393,-2.07956457045373,1.47011399745334,0.167535038611166,2.17935248804588,-5.98380485556223,"HN","mid"
"45","B73",394,-1.8791792470989,1.55064572641843,0.176712480867318,2.19312958264016,-5.621612909075,"HN","mid"
"46","B73",395,-1.37815521995536,1.22924563854972,0.140085541579622,1.68167865485199,-4.51027596410537,"HN","mid"
"47","B73",396,-1.35213170172126,1.23564281106138,0.140814567046762,2.18682522260872,-4.42971528995636,"HN","mid"
"48","B73",397,-2.08674652617597,1.76550221217058,0.201197649839726,2.57041250636797,-6.21741973979602,"HN","mid"
"49","B73",398,-2.6896307010725,2.22576657887542,0.253649642393239,2.44842397448661,-7.788839349503,"HN","mid"
"50","B73",399,-2.03299341963752,2.00956303291186,0.229010961662613,3.49771896435789,-6.59780284560549,"HN","mid"
