"UID","CHL"
"B001",291.162515382077
"B002",382.76199044853
"B003",413.810226600626
"B004",357.321219474798
"B005",463.308557709883
"B006",366.035385810178
"B007",354.166118856064
"B008",370.434420515296
"B009",396.991565300809
"B010",425.984857098321
"B011",475.298868612805
"B012",414.370007421697
"B013",352.152394458925
"B014",408.808647319227
"B016",399.104594731544
"B018",375.728544340311
"B019",399.299374066065
"B021",424.893432869396
"B022",425.792112972558
"B023",360.398077681535
"B024",410.747879679872
"B025",441.759467812993
"B026",426.715834817514
"B027",437.202710107511
"B028",377.790341465512
"B029",390.089013685723
"B030",374.881980945575
"B031",404.938602530699
"B032",353.533995279711
"B033",343.219471980057
"B034",409.888852027763
"B035",353.860042348838
"B036",343.940854563214
"B037",351.172758662216
"B038",385.305123179102
"B039",389.95617043868
"B040",415.457074847525
"B041",375.091773015886
"B042",354.656940865559
"B043",339.974138079543
"B044",457.120489303511
"B045",376.110974110837
"B046",413.605114819584
"B047",423.989205446973
"B048",334.364101599959
"B049",333.51432501547
"B050",419.35630129603
"B051",464.59826568459
"B052",388.517275016013
"B053",399.286584511391
"B054",374.687059709738
"B055",355.768182773142
"B056",500.183605739101
"B057",415.160605300609
"B058",311.686278037856
"B059",391.375548555818
"B060",423.572631432138
"B061",423.123873696641
"B062",499.142965644686
"B064",446.910767944579
"B065",418.95454070011
"B066",410.8146890275
"B067",428.170956764331
"B068",405.053749344076
"B071",468.043512705073
"B072",342.006813993678
"B073",438.805821867496
"B074",422.958270534666
"B075",454.258285629399
"B076",471.612496779953
"B077",400.359565112355
"B078",427.827669179078
"B079",415.50129904718
"B080",421.896488493778
"B081",402.270098085189
"B082",424.239660726271
"B083",397.187494441291
"B085",436.263789300965
"B086",414.780058172786
"B087",419.80148593033
"B090",391.371446595147
"B091",367.973835184002
"B092",408.111939219584
"B093",515.182952196165
"B094",504.260147095464
"B095",494.718340253042
"B096",450.097541353013
"B097",489.435753954626
"B098",493.634104382076
"B099",486.32180193806
"B100",467.332580515993
"B102",336.373384179683
"B103",362.815300130962
"B104",416.011657131922
"B105",366.95077083146
"B107",417.198435242712
"B109",439.250335844859
"B110",429.917130620752
"B111",389.337550267913
"B112",440.145806317384
"B113",384.696609917561
"B114",481.91580377008
"B115",305.766455636856
"B117",378.448108190422
"B118",394.689849949109
"B119",323.212025261304
"B120",286.886311149523
"B121",352.305949481768
"B288",352.305949481768
"B122",327.984150850508
"B123",433.115047330737
"B124",471.950547957612
"B125",389.973717136493
"B128",413.832960399748
"B130",398.666189173464
"B131",385.900604011765
"B132",402.908979258751
"B134",429.601082198792
"B136",384.901438686421
"B137",393.861901737694
"B138",395.364187997208
"B139",356.008648862518
"B140",341.116512932811
"B142",366.727231783296
"B143",380.036769039869
"B144",344.260337758128
"B145",383.240446830548
"B146",332.63445248033
"B147",443.02338888521
"B148",425.522744860791
"B149",342.885181959087
"B150",383.628296218493
"B151",372.926517936803
"B152",427.999287083477
"B153",412.548264492668
"B154",464.738436364848
"B155",326.456758512855
"B160",465.36081637505
"B161",429.841710870408
"B162",396.223073201139
"B163",408.799760899797
"B165",385.167688770057
"B169",411.908515083233
"B170",451.599016719522
"B171",439.008471218932
"B173",443.45860980275
"B175",372.236888035649
"B176",349.343434304185
"B177",428.45980330684
"B180",361.680388494012
"B181",422.942751068824
"B182",465.733604904975
"B183",412.258023997572
"B185",383.696251898154
"B186",351.975242368023
"B187",344.346212422591
"B188",398.85786671334
"B189",430.453425373166
"B190",384.551345881067
"B191",359.85893309338
"B194",340.874097862077
"B195",380.000382101472
"B197",389.280673594129
"B198",373.6782279617
"B201",467.073281497018
"B202",428.967674089089
"B204",331.921167503491
"B205",338.092811117722
"B206",425.148847937313
"B207",385.31899888786
"B209",420.301644971387
"B210",382.840872232187
"B211",383.728730219034
"B212",362.132444419326
"B214",370.718853481229
"B215",453.812804955424
"B225",425.215673325149
"B226",451.996392707266
"B231",381.346907522834
"B236",376.540885075342
"B238",363.631252851186
"B239",410.203493423106
"B243",361.637705640932
"B246",383.165062625608
"B247",469.84824110017
"B248",426.774947970147
"B251",331.164024607257
"B252",323.031170892796
"B254",407.821711556384
"B257",345.378972642277
"B259",436.750741247825
"B261",387.120918128218
"B262",469.398194868233
"B265",373.17294160124
"B267",465.324510013735
"B268",335.396662657343
"B273",483.40743649122
"B274",397.788589243493
"B276",347.629736718364
"B277",421.406320486625
"B280",380.723639739578
"B283",430.187617124667
"B287",513.771869553002
"B292",370.099019101157
"B297",363.642233600497
"B298",444.73412814818
"B299",401.365238106383
"B300",450.696775581311
"B302",319.002351310073
"B303",380.204200517283
"B304",350.87089613923
"B305",440.843801791763
"B306",377.151516830526
"B307",313.313956532302
"B308",413.495481236918
"B309",399.450783953154
"B310",359.011997458087
"B311",379.215678849631
"B312",300.330919250814
"B313",336.627488743191
"B314",309.041145378985
"B315",354.627107990231
