"UID","CHL"
"B001",290.635128027747
"B002",304.24224165538
"B003",309.650414361934
"B004",299.571607779201
"B005",348.123594468954
"B006",315.479340942899
"B007",371.610986615052
"B008",237.426397409499
"B009",288.417887932167
"B010",371.160360852657
"B011",412.263430917081
"B012",407.038329705559
"B013",303.299954873644
"B014",307.781046682647
"B016",378.2141812919
"B018",392.169207369855
"B019",355.579715401446
"B021",394.192240295297
"B022",316.443246264316
"B023",297.912204640318
"B024",319.364615517386
"B025",360.680070755685
"B026",344.917299190656
"B027",320.230989815915
"B028",368.067170212384
"B029",335.984245740712
"B030",400.759843203502
"B031",293.412831319175
"B032",343.142393017315
"B033",328.420928782811
"B034",367.801667150079
"B035",290.771584612129
"B036",295.911943497813
"B037",301.14151904056
"B038",330.000564806745
"B039",321.475243993528
"B040",357.750232188608
"B041",375.073454400678
"B042",294.808110222147
"B043",348.772756597858
"B044",389.12889192028
"B045",297.393841527256
"B046",370.881224778951
"B047",291.970488669722
"B048",365.453789290285
"B049",306.981770737026
"B050",366.998357742034
"B051",402.790640824905
"B052",391.68619712402
"B053",355.172468793549
"B054",340.138458133671
"B055",299.193941245749
"B056",470.115102504288
"B057",316.273580513858
"B058",318.15019584983
"B059",335.036031762427
"B060",391.777775714959
"B061",347.68579912568
"B062",375.80173502085
"B064",321.253728287447
"B065",357.320054245039
"B066",369.774356526524
"B067",378.025800757023
"B068",298.753313735806
"B071",403.522890225186
"B072",337.057301393985
"B073",383.829942735125
"B074",361.923140705134
"B075",385.951469461789
"B076",390.123628016036
"B077",342.714689555291
"B078",337.152543689819
"B079",323.32530536725
"B080",389.608515292612
"B081",316.618399560414
"B082",292.607640550896
"B083",325.677897855247
"B085",381.674699174668
"B086",362.712987763445
"B087",419.160194660712
"B090",374.782026228006
"B091",312.251044518226
"B092",405.185045884067
"B093",375.982705074558
"B094",376.410742428397
"B095",312.978681874215
"B096",408.059971579711
"B097",372.952312287058
"B098",401.659564132296
"B099",464.835451813917
"B100",441.512275107013
"B102",306.076556395652
"B103",280.301919526961
"B104",336.476096113388
"B105",306.80948359983
"B107",333.437571637152
"B109",353.839773871942
"B110",369.465255874818
"B111",293.679822958908
"B112",343.199884400274
"B113",391.058911298036
"B114",403.841779999224
"B115",269.78665182948
"B117",344.218398877635
"B118",305.747575247477
"B119",293.667357923762
"B120",378.194575438179
"B121",334.524719588159
"B288",334.524719588159
"B122",340.568485532351
"B123",317.380749564578
"B124",302.642147705718
"B125",314.568880028274
"B128",284.501282744647
"B130",275.823132613905
"B131",328.775089595389
"B132",333.442040875033
"B134",316.033327983707
"B136",335.448771143151
"B137",343.425915695275
"B138",337.561495485377
"B139",291.743942866185
"B140",377.840395260917
"B142",346.736735217947
"B143",318.874532118769
"B144",303.235599515292
"B145",321.247551839085
"B146",349.382599160678
"B147",344.349226115908
"B148",371.316937980755
"B149",330.33683408456
"B150",365.41646443099
"B151",329.704826475678
"B152",339.99931984581
"B153",363.328583373572
"B154",333.66498322812
"B155",264.59264577826
"B160",382.419363824309
"B161",351.318193962926
"B162",333.65007669546
"B163",318.235474105296
"B165",290.746362893482
"B169",357.551949024435
"B170",380.779802463096
"B171",320.91796701076
"B173",386.71584691258
"B175",294.313076992854
"B176",260.468933874761
"B177",325.365870187049
"B180",353.901799641287
"B181",396.796514514278
"B182",349.46731668093
"B183",398.475799706334
"B185",329.291475650778
"B186",327.208643259613
"B187",334.807678326228
"B188",298.094692105039
"B189",352.821800919079
"B190",300.063770448505
"B191",338.714182496937
"B194",295.90424527455
"B195",365.756671873886
"B197",346.103810171282
"B198",339.025728896154
"B201",394.242723468475
"B202",436.385481358134
"B204",319.916135466943
"B205",313.50139220637
"B206",394.613912688528
"B207",349.010353838829
"B209",316.152091283666
"B210",337.536963824309
"B211",361.779116756112
"B212",307.926548402227
"B214",301.848137008083
"B215",299.707068674077
"B225",321.410261845828
"B226",390.146026143869
"B231",378.123702017252
"B236",298.62353334095
"B238",341.643512143457
"B239",310.827806253469
"B243",351.583085268684
"B246",390.693661033557
"B247",380.076342936186
"B248",344.920724380477
"B251",317.268482468187
"B252",253.780106259871
"B254",332.148191012684
"B257",321.035312986366
"B259",325.267219973343
"B261",333.824495352445
"B262",363.042428126264
"B265",397.157062685946
"B267",376.904484123435
"B268",322.435278426485
"B273",315.766540417505
"B274",336.370569214047
"B276",329.601775409986
"B277",331.473725139081
"B280",339.068096324444
"B283",355.232757905402
"B287",349.550049047695
"B292",324.008049516932
"B297",305.279364092511
"B298",346.773145333025
"B299",382.632350036334
"B300",379.421528848977
"B302",284.868462304942
"B303",348.899915286346
"B304",359.301580368953
"B305",325.755017724309
"B306",347.791848607503
"B307",271.514685141094
"B308",345.228690112892
"B309",353.12591734904
"B310",300.001923456759
"B311",312.870229987571
"B312",274.649221893205
"B313",354.588510794117
"B314",287.311513042749
"B315",325.302649640256
