"UID","CHL"
"B001",273.027741717909
"B002",328.053525441445
"B003",356.290583473279
"B004",318.184910571948
"B005",412.987485324941
"B006",332.379104050741
"B007",379.621514896937
"B008",287.195910705361
"B009",335.67851336457
"B010",404.223126151077
"B011",456.959198151035
"B012",417.287046230435
"B013",316.391066799704
"B014",354.403871098738
"B016",391.150362091441
"B018",383.550651520722
"B019",378.294853156341
"B021",414.952023000138
"B022",368.718164759519
"B023",317.234095046152
"B024",364.011896271423
"B025",407.470941724038
"B026",386.752310707049
"B027",378.041628737111
"B028",371.850362778043
"B029",360.623837334838
"B030",388.301274099406
"B031",340.887271174312
"B032",324.220124123334
"B033",327.231850182172
"B034",390.468230332263
"B035",309.753064841211
"B036",305.911300461406
"B037",314.466008110542
"B038",352.19808371807
"B039",350.731578551598
"B040",390.448527354211
"B041",375.403121490776
"B042",311.80796356997
"B043",336.81569739425
"B044",433.436031809833
"B045",327.465402003624
"B046",394.637145097188
"B047",352.599285581342
"B048",364.760126870445
"B049",306.305933203031
"B050",397.603628049441
"B051",446.40413185243
"B052",392.009808252089
"B053",377.127002193191
"B054",352.813700642633
"B055",314.26997948669
"B056",510.444611945529
"B057",362.092155157782
"B058",301.587116037769
"B059",361.74155983995
"B060",414.480971011416
"B061",388.067513416683
"B062",451.039254599632
"B064",386.444822547818
"B065",391.419984953108
"B066",394.06669656884
"B067",407.955460801283
"B068",346.054399203406
"B071",448.966828544049
"B072",330.875769755258
"B073",418.04001499773
"B074",393.969324262567
"B075",428.82082789316
"B076",443.846595954093
"B077",368.322608851656
"B078",384.491415143491
"B079",367.537233341569
"B080",410.301640479289
"B081",356.216325420696
"B082",354.053969261682
"B083",356.835605160417
"B085",416.075033993732
"B086",389.436911206312
"B087",428.055193151615
"B090",385.211154695687
"B091",331.58784382285
"B092",414.131472221755
"B093",460.079866508937
"B094",453.641822313253
"B095",409.785980879877
"B096",440.741108022982
"B097",441.5159953655
"B098",464.432563625662
"B099",495.971698072884
"B100",470.015040836604
"B102",308.414703315677
"B103",307.003690264392
"B104",375.007524117433
"B105",326.711923013557
"B107",375.691922449907
"B109",399.915151586418
"B110",405.601920719041
"B111",333.300906671037
"B112",393.937410897826
"B113",390.191379121566
"B114",457.672447537669
"B115",266.681709942874
"B117",357.62377709061
"B118",342.166928314506
"B119",292.728374417543
"B120",324.118076756466
"B121",336.55036213632
"B288",336.55036213632
"B122",323.517295370648
"B123",374.695731626806
"B124",389.478040582026
"B125",346.505614614755
"B128",341.786904110352
"B130",327.1591713923
"B131",351.811611930329
"B132",364.198222099038
"B134",371.71350055087
"B136",357.113016788123
"B137",367.503438848908
"B138",364.827475755922
"B139",311.667629278701
"B140",355.348113438279
"B142",352.888632148049
"B143",343.961259182819
"B144",311.510183895822
"B145",347.382299639143
"B146",331.777078015854
"B147",398.228095940249
"B148",401.305158931137
"B149",326.381739191386
"B150",371.985232199671
"B151",345.333151346855
"B152",386.343057297896
"B153",391.175985911444
"B154",403.174616172316
"B155",276.882902683063
"B160",432.554747416576
"B161",392.596534523521
"B162",362.044711993769
"B163",360.303785282879
"B165",328.943354482782
"B169",385.419480369166
"B170",425.837275923016
"B171",379.570805920553
"B173",425.395182314388
"B175",323.198929731067
"B176",287.482915965143
"B177",375.828274980951
"B180",353.277882118417
"B181",416.263149692064
"B182",416.209625925332
"B183",412.559093797548
"B185",352.596481743613
"B186",329.128885895653
"B187",330.930842697962
"B188",340.939306052926
"B189",393.894184301871
"B190",336.101403823842
"B191",343.753798313964
"B194",305.845624858862
"B195",370.878558101891
"B197",363.605297700289
"B198",352.422401831159
"B201",443.588872286313
"B202",446.065473374868
"B204",315.993763889924
"B205",314.024276498565
"B206",418.09792003416
"B207",364.778381900245
"B209",365.171412208384
"B210",358.046540153969
"B211",372.546038624228
"B212",325.351552500855
"B214",325.069733338277
"B215",376.550859833111
"B225",372.321754287486
"B226",425.098623367394
"B231",396.67778626201
"B236",326.663132658047
"B238",346.954764987693
"B239",357.530833231707
"B243",352.739455104498
"B246",388.117604811709
"B247",434.780416481597
"B248",387.70085364726
"B251",312.084725221863
"B252",266.328127109322
"B254",368.238592745221
"B257",323.115696829319
"B259",380.85385646347
"B261",356.567967486451
"B262",426.785368263421
"B265",386.86308081025
"B267",430.969714272205
"B268",316.940655295478
"B273",404.55749530285
"B274",363.763797135126
"B276",328.841375613874
"B277",377.985110183449
"B280",355.86024089592
"B283",396.120310328357
"B287",442.999048290326
"B292",341.924268113055
"B297",323.743635703139
"B298",399.854334957418
"B299",396.1576764131
"B300",423.540378297007
"B302",283.838052944226
"B303",362.483124531831
"B304",349.959279612736
"B305",386.39453247343
"B306",357.200164888833
"B307",273.976937333801
"B308",379.743450611584
"B309",375.062089548051
"B310",317.665744080104
"B311",339.774203453889
"B312",267.02516892197
"B313",337.420197953203
"B314",281.046377165833
"B315",333.227157618025
