UID,leaf_length,leaf_width,ear_height,flag_leaf,plant_height
B001,61.0,7.15,77.0,201.0,189.0
B002,66.0,6.45,78.0,169.0,205.5
B003,79.85,6.3,110.0,194.0,227.5
B004,56.25,8.1,95.0,185.0,215.5
B005,74.45,9.6,80.5,185.0,226.5
B006,74.35,8.6,89.5,169.5,236.5
B007,72.45,8.15,84.0,186.5,233.0
B008,77.85,8.55,80.5,175.0,218.0
B009,74.1,10.25,79.0,183.0,230.5
B010,81.55,8.15,75.5,175.0,221.0
B011,64.7,7.3,60.0,140.5,181.0
B012,75.25,7.95,79.0,175.5,216.0
B013,66.25,7.3,80.0,143.0,179.5
B014,75.75,8.65,64.5,168.0,219.0
B016,67.9,8.3,83.5,168.5,204.5
B018,83.25,9.65,72.0,163.5,209.0
B019,74.0,7.5,88.0,182.0,230.0
B021,73.8,9.5,73.5,165.5,210.0
B022,81.5,9.7,66.5,158.0,204.0
B023,83.25,9.55,88.5,192.0,237.0
B024,76.85,9.9,67.5,150.0,190.0
B025,75.1,9.6,93.0,194.0,231.5
B026,74.5,8.85,88.0,167.5,206.5
B027,75.75,7.45,87.5,167.5,205.0
B028,67.5,7.3,79.0,153.0,187.0
B029,66.0,8.5,62.0,138.0,183.5
B030,72.1,8.25,113.5,181.0,229.0
B031,72.5,9.75,74.0,168.0,204.0
B032,76.0,8.1,75.0,175.0,216.0
B033,71.25,9.1,80.0,171.0,197.5
B034,62.0,7.35,59.5,125.5,167.0
B035,70.2,8.05,77.5,157.5,196.5
B036,69.2,8.0,79.5,172.0,215.0
B037,70.55,7.45,92.0,170.0,207.0
B038,77.5,9.15,76.5,179.5,220.5
B039,79.2,7.1,65.5,152.5,192.5
B040,88.75,9.5,72.5,188.0,229.0
B041,79.25,10.25,93.5,202.0,246.5
B042,68.5,7.75,89.5,200.0,231.0
B043,76.1,8.15,75.0,184.5,215.0
B044,70.0,8.5,53.5,146.5,184.5
B045,75.55,10.0,75.5,168.5,205.5
B046,80.5,9.95,84.0,184.0,228.0
B047,87.95,9.65,80.0,182.5,231.5
B048,77.75,8.85,92.5,181.0,222.0
B049,64.7,5.25,66.0,128.5,150.0
B050,77.1,8.15,68.0,160.0,203.5
B051,71.75,8.75,73.0,149.5,192.0
B052,75.3,9.4,74.5,150.0,195.0
B053,70.15,7.4,82.5,174.5,214.5
B054,73.8,8.95,93.0,185.0,228.0
B055,57.3,6.85,89.5,168.5,197.5
B056,75.85,7.3,79.5,164.0,210.0
B057,83.05,6.35,103.0,222.5,262.5
B058,69.25,5.3,116.5,198.5,234.5
B059,65.75,6.6,112.0,189.0,230.0
B060,76.15,7.15,67.5,140.0,181.5
B061,73.9,8.8,72.5,166.5,205.0
B062,77.45,8.85,70.0,161.0,197.5
B064,75.65,8.9,83.5,175.5,218.0
B065,66.15,7.65,48.0,140.0,173.5
B066,66.0,8.55,86.5,156.0,195.5
B067,74.7,9.65,58.5,171.0,217.0
B068,64.85,9.4,90.0,156.5,199.0
B071,70.0,6.9,56.0,160.5,198.0
B072,69.15,6.7,75.0,187.0,220.5
B073,75.25,8.6,59.5,170.0,211.5
B074,62.75,8.4,74.0,179.0,215.0
B075,77.25,7.45,90.0,171.0,240.0
B076,67.75,8.75,37.5,113.5,145.5
B077,81.25,8.9,90.0,184.0,220.0
B078,70.75,6.6,90.5,161.0,192.5
B079,77.05,7.25,92.5,181.0,218.5
B080,63.0,7.35,102.0,190.5,228.0
B081,83.8,9.3,82.5,165.0,195.5
B082,78.8,7.65,55.0,150.0,182.0
B083,80.35,8.0,90.0,160.0,236.0
B085,75.4,8.3,74.0,162.0,197.5
B086,70.5,9.15,64.5,159.5,191.0
B087,60.0,7.6,70.0,130.0,163.0
B090,72.0,8.5,70.0,170.0,206.0
B091,79.75,8.5,79.0,171.0,210.5
B092,73.5,7.35,75.0,177.5,223.5
B093,71.95,6.95,60.0,161.0,206.0
B094,72.15,7.7,75.0,150.0,197.0
B095,73.55,6.6,63.0,160.0,206.5
B096,70.6,7.7,67.5,155.0,194.5
B097,72.2,7.65,68.0,165.0,212.5
B098,70.45,7.2,71.0,156.0,199.0
B099,69.0,7.45,62.0,163.5,209.0
B100,67.9,7.05,54.0,151.5,195.5
B102,68.55,7.7,76.0,162.5,193.5
B103,63.15,7.3,93.5,181.0,224.0
B104,66.35,6.85,103.5,196.5,236.0
B105,63.5,8.4,93.0,180.0,223.5
B107,72.25,9.4,67.5,145.5,183.5
B109,69.65,7.05,65.0,164.5,195.0
B110,67.55,8.9,83.5,175.0,222.5
B111,77.5,10.4,100.0,198.0,235.5
B112,57.8,9.05,75.5,139.0,177.0
B113,70.25,9.2,62.0,169.5,215.0
B114,71.55,8.15,90.0,191.0,232.5
B115,75.3,7.5,55.0,151.5,188.0
B117,79.5,8.45,85.5,188.5,227.5
B118,62.0,7.55,94.0,166.0,205.5
B119,70.3,6.5,73.5,107.5,171.0
B120,68.75,6.5,92.5,182.0,220.0
B121,83.15,9.45,78.5,191.5,230.0
B122,71.0,7.9,60.0,159.5,191.5
B123,74.0,11.5,80.0,172.5,210.5
B124,70.85,8.55,66.5,139.5,160.0
B125,70.0,7.7,77.0,164.5,200.5
B128,75.25,8.8,80.0,179.5,224.0
B130,76.15,10.0,80.0,170.0,210.5
B131,70.25,7.3,91.5,183.0,221.0
B132,71.85,8.05,75.5,165.5,207.0
B134,83.55,9.45,106.5,184.0,229.0
B136,77.0,8.4,72.5,160.0,204.5
B137,79.1,8.05,77.5,179.5,216.5
B138,69.35,6.8,89.0,185.5,224.0
B139,83.3,7.75,99.0,200.0,239.0
B140,70.1,8.45,67.5,170.0,210.0
B142,76.3,9.85,70.0,166.5,204.0
B143,74.0,8.1,101.5,225.0,261.5
B144,70.75,8.2,97.0,166.0,213.0
B145,67.0,8.4,65.0,149.0,180.0
B146,72.25,6.35,82.5,169.0,200.0
B147,79.15,9.25,90.0,213.5,256.0
B148,74.25,9.65,96.0,196.0,240.5
B149,66.7,7.4,87.0,193.5,229.0
B150,58.25,6.4,62.5,165.0,183.5
B151,69.9,8.6,60.0,165.5,211.5
B152,74.95,7.65,67.5,148.5,180.0
B153,78.35,8.5,95.5,188.5,231.0
B154,73.15,7.8,60.0,161.5,200.5
B155,55.0,7.0,82.5,148.5,197.5
B160,69.75,7.95,80.0,160.0,198.5
B161,78.0,7.85,84.0,187.0,260.0
B162,80.25,8.85,80.0,174.0,218.5
B163,62.25,9.15,105.0,188.0,227.5
