UID,genotype,PLOT.ID,rows,ranges,Block,Rep,Group,Trt,year,note,Calibration,ASD,leaf_length,leaf_width,ear_height,flag_leaf,plant_height
B001,BGEM-0001-N,1313.0,13.0,7.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,2.0,63.4696441818185,7.32028862741172,77.8119784779416,193.42835686749402,195.129290503848
B002,BGEM-0002-N,1314.0,14.0,7.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,1.0,67.36711783519969,6.752691910298821,78.5931853095422,169.321150434072,207.05870345977797
B003,BGEM-0003-N,1111.0,11.0,3.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,1.0,78.1631198550657,6.631064042346059,103.591803920761,188.154905460183,222.96458740101897
B004,BGEM-0004-N,1298.0,48.0,6.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,2.0,59.7670442111063,8.090598457779219,91.8737014467519,181.374753650783,214.288650705797
B005,BGEM-0005-N,1321.0,21.0,7.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,1.0,73.953848309414,9.30687713730686,80.54620238854359,181.374753650783,222.241592676417
B006,BGEM-0006-S,1322.0,22.0,7.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,1.0,73.87589883634641,8.496024684288441,87.5770638729488,169.697825534594,229.471539922435
B007,BGEM-0007-S,1170.0,20.0,4.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,,,72.3948588480615,8.131141080430139,83.28042629914559,182.50477895235,226.941058386329
B008,BGEM-0008-S,1028.0,28.0,1.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,2.0,76.6041303937132,8.45548206163751,80.54620238854359,173.841251640339,216.09613751730097
B009,BGEM-0010-S,1078.0,28.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,2.0,73.6810251536773,9.83393123176883,79.37439214114279,179.868053248694,225.133571574824
B010,BGEM-0011-S,1067.0,17.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,2.0,79.4882608972153,8.131141080430139,76.6401682305408,173.841251640339,218.265121691107
B011,BGEM-0012-S,1096.0,46.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,66.3537746853206,7.44191649536448,64.53146234073189,147.850669704305,189.345332707033
B012,BGEM-0013-S,1094.0,44.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,74.577444093955,7.96897058982646,79.37439214114279,174.217926740861,214.650148068098
B013,BGEM-0014-S,1055.0,5.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,2.0,67.56199151786879,7.44191649536448,80.1555989727433,149.734045206917,188.260840620131
B014,BGEM-0015-S,1006.0,6.0,1.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,1.0,74.9671914592931,8.536567306939359,68.0468930829345,168.56780023302798,216.819132241903
B016,BGEM-0019-S,1153.0,3.0,4.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,1.0,68.8481578234846,8.25276894838291,82.8898228833453,168.94447533355,206.335708735176
B018,BGEM-0020-S,1036.0,36.0,1.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,80.813401939365,9.347419759957779,73.9059443199388,165.177724328328,209.589184995885
B019,BGEM-0021-S,1158.0,8.0,4.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,2.0,73.6030756806097,7.60408698596817,86.4052536255479,179.11470304764998,224.772074212523
B021,BGEM-0023-S,1097.0,47.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,73.44717673447441,9.225791892005018,75.0777545673396,166.684424730417,210.312179720487
B022,BGEM-0024-S,1093.0,43.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,79.4492861606816,9.3879623826087,69.6093067461356,161.034298222583,205.97421137287603
B023,BGEM-0025-S,1252.0,2.0,6.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,1.0,80.813401939365,9.26633451465594,86.79585704134821,186.648205058094,229.83303728473598
B024,BGEM-0026-S,1198.0,48.0,4.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,2.0,75.824635663037,9.550132873212391,70.3905135777362,155.007496614228,195.85228522845
B025,BGEM-0027-S,1075.0,25.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,2.0,74.46051988435359,9.30687713730686,90.3112877835508,188.154905460183,225.856566299426
B026,BGEM-0028-S,1284.0,34.0,6.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,2.0,73.9928230459478,8.69873779754304,86.4052536255479,168.19112513250602,207.78169818438
B027,BGEM-0030-S,1129.0,29.0,3.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,1.0,74.9671914592931,7.56354436331725,86.0146502097476,168.19112513250602,206.697206097477
B028,BGEM-0031-S,1301.0,1.0,7.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_early,0.0,1.0,68.53635993121411,7.44191649536448,79.37439214114279,157.267547217361,193.683301054644
B029,BGEM-0032-S,1038.0,38.0,1.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,2.0,67.36711783519969,8.41493943898659,66.093876003933,145.967294201694,191.15281951853802
B030,BGEM-0033-S,1125.0,25.0,3.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Tall_late,0.0,1.0,72.1220356923248,8.21222632573199,106.32602783136299,178.361352846606,224.04907948792098
B031,BGEM-0034-S,1341.0,41.0,7.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,1.0,72.4338335845953,9.428505005259618,75.46835798313991,168.56780023302798,205.97421137287603
B032,BGEM-0035-S,1233.0,33.0,5.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,1.0,1.5,75.1620651419622,8.090598457779219,76.2495648147405,173.841251640339,214.650148068098
B033,BGEM-0036-S,1235.0,35.0,5.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_late,0.0,2.0,71.45946517125,8.901450910797651,80.1555989727433,170.827850836161,201.274745662964
B034,BGEM-0037-S,1086.0,36.0,2.0,1.0,1.0,Inbred,HN,2022.0,BGEM_Short_early,0.0,2.0,64.2491389124947,7.4824591180154005,64.1408589249316,136.550416688639,179.223406562608
