"bands","Trt","H2"
"X350","HN",0
"X351","HN",0.02270413093746
"X352","HN",0
"X353","HN",2.42544178868584e-10
"X354","HN",0
"X355","HN",0
"X356","HN",0
"X357","HN",0.0755716740668887
"X358","HN",0.023340038023821
"X359","HN",0
"X360","HN",0
"X361","HN",0.0269898779610896
"X362","HN",3.97328970216482e-07
"X363","HN",0.0167885648698501
"X364","HN",0.0491686332627519
"X365","HN",0.127539428114222
"X366","HN",0.110908050883191
"X367","HN",0.0745460345269535
"X368","HN",4.62763874198068e-05
"X369","HN",0
"X370","HN",0.0540816165742708
"X371","HN",0.0589319930183696
"X372","HN",0.0466436727503004
"X373","HN",0.133029698350721
"X374","HN",0.0814871418442519
"X375","HN",0.0588984646477931
"X376","HN",0.115441814089009
"X377","HN",0.0265510085608903
"X378","HN",0.0398082736814159
"X379","HN",0.0443602756824448
"X380","HN",0.0462935431598964
"X381","HN",0.126390728376358
"X382","HN",0.0649050076575163
"X383","HN",0.0176706914754503
"X384","HN",0.0982900713341931
"X385","HN",0.139309107260007
"X386","HN",0.109687962971374
"X387","HN",0.0604388872178434
"X388","HN",0.061435833626232
"X389","HN",0.0772536887130317
"X390","HN",0.106125075589996
"X391","HN",0.120338126754777
"X392","HN",0.111107522798089
"X393","HN",0.123713205376464
"X394","HN",0.140165035518503
"X395","HN",0.113741441767233
"X396","HN",0.110246887053958
"X397","HN",0.154104769944391
"X398","HN",0.192857554568547
"X399","HN",0.170228343478999
"X400","HN",0.186734570825568
"X401","HN",0.177996042412644
"X402","HN",0.16974896318062
"X403","HN",0.220507574808505
"X404","HN",0.208704839467103
"X405","HN",0.193917222006858
"X406","HN",0.217062047893747
"X407","HN",0.229638781904864
"X408","HN",0.231023995794032
"X409","HN",0.229405923498745
"X410","HN",0.229163675004479
"X411","HN",0.238425554848211
"X412","HN",0.241497788363726
"X413","HN",0.254492474572134
"X414","HN",0.27157875828862
"X415","HN",0.263449321370386
"X416","HN",0.262918402421571
"X417","HN",0.26950491197906
"X418","HN",0.260937017355476
"X419","HN",0.266793212501311
"X420","HN",0.2728635756685
"X421","HN",0.269334953712091
"X422","HN",0.257376415873666
"X423","HN",0.263689716362602
"X424","HN",0.275484268368036
"X425","HN",0.268621609699929
"X426","HN",0.275022249286017
"X427","HN",0.279230563973282
"X428","HN",0.275988614009579
"X429","HN",0.277484398432976
"X430","HN",0.273172740328478
"X431","HN",0.27314262174943
"X432","HN",0.278596489239166
"X433","HN",0.280191022359021
"X434","HN",0.282953136619729
"X435","HN",0.283994523016631
"X436","HN",0.281448201317365
"X437","HN",0.282275842796694
"X438","HN",0.286148424685257
"X439","HN",0.285544336802788
"X440","HN",0.280165937950801
"X441","HN",0.289502739437928
"X442","HN",0.295873849904503
"X443","HN",0.296881313142381
"X444","HN",0.298332525478124
"X445","HN",0.29488494910655
"X446","HN",0.298441299395788
"X447","HN",0.30468186095436
"X448","HN",0.302423173593234
"X449","HN",0.303479938631424
"X450","HN",0.304063497270059
"X451","HN",0.302445657551781
"X452","HN",0.301936535663198
"X453","HN",0.304700168172984
"X454","HN",0.30740120642094
"X455","HN",0.310858767335906
"X456","HN",0.311923147190763
"X457","HN",0.31283457364089
"X458","HN",0.318161556691925
"X459","HN",0.317522423821953
"X460","HN",0.31651558420072
"X461","HN",0.318785984854038
"X462","HN",0.320581577293683
"X463","HN",0.321115788945666
"X464","HN",0.319135781598368
"X465","HN",0.316495604273828
"X466","HN",0.318102142515397
"X467","HN",0.320484751300227
"X468","HN",0.320903431035267
"X469","HN",0.320803986095726
"X470","HN",0.321823994572744
"X471","HN",0.324147601291101
"X472","HN",0.325835483163921
"X473","HN",0.323436729993354
"X474","HN",0.321863052186371
"X475","HN",0.323714819693107
"X476","HN",0.325888376058863
"X477","HN",0.321548155970717
"X478","HN",0.321118047126198
"X479","HN",0.320919142559628
"X480","HN",0.32022609780209
"X481","HN",0.322411230688802
"X482","HN",0.322728070747938
"X483","HN",0.322312481358664
"X484","HN",0.322799950173873
"X485","HN",0.324111691100597
"X486","HN",0.326550698986142
"X487","HN",0.328336574079686
"X488","HN",0.329917459644332
"X489","HN",0.332638492742156
"X490","HN",0.33459549045731
"X491","HN",0.336164566820894
"X492","HN",0.339344709494931
"X493","HN",0.340609164516745
"X494","HN",0.341845432915479
"X495","HN",0.344403003996324
