"bands","ASD","H2"
"X350","1",0.0930907221861283
"X351","1",0.0458810593855613
"X352","1",0.0158625426337436
"X353","1",0.010839589596275
"X354","1",0.0550168715996875
"X355","1",0.065583160055927
"X356","1",0.0377337872722187
"X357","1",0.0413722960783568
"X358","1",0.0374349256861304
"X359","1",0.0482712482363166
"X360","1",0.0695644635916533
"X361","1",0.0650321149858414
"X362","1",0.068791963199766
"X363","1",0.0809943716189424
"X364","1",0.0909605315749352
"X365","1",0.0335525561059937
"X366","1",0.0310795956924405
"X367","1",0.0448547067445882
"X368","1",0.0417328099822055
"X369","1",0.0634431373374293
"X370","1",0.0676103412920832
"X371","1",0.0563807181848932
"X372","1",0.0623005064272749
"X373","1",0.0579213252183516
"X374","1",0.0568735259164059
"X375","1",0.0568712457789184
"X376","1",0.0427096504715699
"X377","1",0.0499062558833578
"X378","1",0.0507918865017272
"X379","1",0.0369379384634897
"X380","1",0.0453474469426248
"X381","1",0.0647926187095713
"X382","1",0.0807305879653791
"X383","1",0.0782169876560548
"X384","1",0.0574240934345153
"X385","1",0.0579289022448671
"X386","1",0.0703588480716851
"X387","1",0.0798851881325037
"X388","1",0.0892596959961079
"X389","1",0.0796096525499796
"X390","1",0.065797021103061
"X391","1",0.0913122162340715
"X392","1",0.11079375307078
"X393","1",0.119675309746101
"X394","1",0.120056532358431
"X395","1",0.123817524793559
"X396","1",0.128903146853211
"X397","1",0.136368189729997
"X398","1",0.143469919853497
"X399","1",0.151293973460968
"X400","1",0.158243171968298
"X401","1",0.164165680667555
"X402","1",0.173160135312671
"X403","1",0.182635781579401
"X404","1",0.186226992377278
"X405","1",0.183657028929757
"X406","1",0.188580300823442
"X407","1",0.201261709738418
"X408","1",0.211819370064681
"X409","1",0.214469267630011
"X410","1",0.219651716441136
"X411","1",0.223252851299889
"X412","1",0.227435368192119
"X413","1",0.239866075465403
"X414","1",0.240726211018802
"X415","1",0.243021226919546
"X416","1",0.253285306608128
"X417","1",0.258402531596494
"X418","1",0.259910513829595
"X419","1",0.260489666669463
"X420","1",0.263764682942595
"X421","1",0.268900539409082
"X422","1",0.270780028583793
"X423","1",0.270530394656106
"X424","1",0.273085697729603
"X425","1",0.275182475369045
"X426","1",0.276829735203947
"X427","1",0.278682266510139
"X428","1",0.281896768793918
"X429","1",0.284715321422408
"X430","1",0.28813619357525
"X431","1",0.292223161340124
"X432","1",0.289321716242923
"X433","1",0.289726098434787
"X434","1",0.294337980088169
"X435","1",0.296628468151461
"X436","1",0.295763228920262
"X437","1",0.29600285565461
"X438","1",0.298858115993655
"X439","1",0.299324008338375
"X440","1",0.301164602701527
"X441","1",0.303556116952583
"X442","1",0.30535626048355
"X443","1",0.308348206106194
"X444","1",0.311656952160819
"X445","1",0.314030463349921
"X446","1",0.314102708727103
"X447","1",0.313771526283509
"X448","1",0.315100773889446
"X449","1",0.318142619393602
"X450","1",0.319218691905009
"X451","1",0.319518698560824
"X452","1",0.32008374506769
"X453","1",0.321772958682471
"X454","1",0.324036665784812
"X455","1",0.326930287778082
"X456","1",0.329274072424355
"X457","1",0.329138780620925
"X458","1",0.329275867739259
"X459","1",0.32906271006353
"X460","1",0.328408554932463
"X461","1",0.32951849090918
"X462","1",0.330551352935951
"X463","1",0.331525507294478
"X464","1",0.333093202141161
"X465","1",0.334562943310071
"X466","1",0.335571582885279
"X467","1",0.33614300994531
"X468","1",0.336669139346358
"X469","1",0.336203325887497
"X470","1",0.336450393955569
"X471","1",0.337952411164853
"X472","1",0.337652218970916
"X473","1",0.337972978390144
"X474","1",0.338373489492163
"X475","1",0.33737028925267
"X476","1",0.337291058468322
"X477","1",0.337124066526798
"X478","1",0.336731124352522
"X479","1",0.337219530584989
"X480","1",0.337393378635589
"X481","1",0.336944615864163
"X482","1",0.336321494821694
"X483","1",0.336572347084842
"X484","1",0.337121560230803
"X485","1",0.338026054442324
"X486","1",0.339530102121794
"X487","1",0.340715207880247
"X488","1",0.341856381313253
"X489","1",0.34320403605886
"X490","1",0.344803590851055
"X491","1",0.346028120723416
"X492","1",0.347296641862952
