UID,X350,X360,X370,X380,X390,X400,X410,X420,X430,X440,X450,X460,X470,X480,X490,X500,X510,X520,X530,X540,X550,X560,X570,X580,X590,X600,X610,X620,X630,X640,X650,X660,X670,X680,X690,X700,X710,X720,X730,X740
B001,,0.016,0.021,0.038,0.011,0.044,0.061,0.072,0.091,0.094,0.111,0.133,0.147,0.146,0.158,0.186,0.21,0.205,0.191,0.184,0.18,0.183,0.196,0.209,0.215,0.219,0.222,0.223,0.223,0.227,0.228,0.205,0.164,0.153,0.198,0.187,0.138,0.118,0.106,0.08
B002,0.038,0.013,0.029,0.032,0.017,0.023,0.037,0.047,0.05,0.053,0.062,0.078,0.084,0.087,0.097,0.132,0.186,0.238,0.269,0.279,0.283,0.287,0.285,0.275,0.267,0.261,0.248,0.229,0.223,0.214,0.183,0.146,0.1,0.09,0.154,0.268,0.276,0.214,0.138,0.071
B003,0.017,0.012,0.027,0.025,0.026,0.044,0.057,0.071,0.075,0.076,0.091,0.105,0.107,0.109,0.12,0.151,0.199,0.246,0.269,0.274,0.274,0.275,0.274,0.264,0.254,0.249,0.239,0.223,0.216,0.206,0.179,0.155,0.119,0.114,0.166,0.255,0.249,0.186,0.111,0.052
B004,0.015,0.01,0.01,0.019,0.018,0.015,0.019,0.016,0.016,0.013,0.007,0.014,0.012,0.012,0.013,0.019,0.032,0.052,0.064,0.067,0.066,0.066,0.061,0.054,0.048,0.045,0.04,0.032,0.029,0.024,0.014,0.01,0.008,0.013,0.018,0.04,0.039,0.015,-0.007,-0.017
B005,0.007,0.017,0.045,0.018,0.015,0.021,0.029,0.039,0.047,0.051,0.067,0.08,0.085,0.082,0.098,0.138,0.189,0.245,0.28,0.296,0.302,0.305,0.299,0.284,0.273,0.267,0.251,0.229,0.221,0.214,0.184,0.143,0.095,0.081,0.14,0.25,0.277,0.218,0.132,0.061
B006,0.019,0.024,0.039,0.017,0.029,0.039,0.052,0.066,0.079,0.077,0.099,0.113,0.117,0.115,0.132,0.171,0.221,0.258,0.261,0.256,0.252,0.253,0.26,0.261,0.258,0.255,0.249,0.238,0.233,0.224,0.199,0.172,0.131,0.126,0.19,0.259,0.228,0.166,0.105,0.057
B007,0.004,0.005,0.019,-0.004,0.004,-0.022,-0.018,-0.02,-0.019,-0.023,-0.033,-0.04,-0.041,-0.043,-0.049,-0.065,-0.08,-0.092,-0.094,-0.091,-0.091,-0.09,-0.091,-0.09,-0.088,-0.087,-0.084,-0.08,-0.078,-0.077,-0.071,-0.058,-0.04,-0.031,-0.049,-0.078,-0.075,-0.054,-0.027,-0.004
B008,0.012,0.039,0.038,0.034,0.037,0.062,0.08,0.118,0.141,0.147,0.177,0.202,0.208,0.208,0.233,0.29,0.373,,,0.482,,,,,,,,,,,,0.324,0.24,0.212,0.307,,0.424,0.266,0.129,0.045
B009,-0.006,-0.019,-0.008,-0.005,0.001,0.011,0.03,0.035,0.048,0.049,0.064,0.075,0.08,0.08,0.093,0.128,0.189,0.266,0.307,0.32,0.325,0.328,0.323,0.307,0.293,0.284,0.267,0.242,0.232,0.217,0.177,0.138,0.091,0.078,0.139,0.284,0.304,0.23,0.14,0.068
B010,-0.009,0.015,0.017,0.021,0.019,0.029,0.027,0.05,0.059,0.061,0.067,0.076,0.075,0.078,0.088,0.111,0.134,0.158,0.167,0.169,0.17,0.171,0.17,0.166,0.162,0.159,0.153,0.146,0.143,0.138,0.125,0.109,0.086,0.08,0.111,0.156,0.158,0.124,0.077,0.038
B011,-0.014,-0.017,-0.032,-0.029,-0.037,-0.054,-0.057,-0.059,-0.059,-0.058,-0.054,-0.049,-0.046,-0.043,-0.037,-0.013,0.032,0.084,0.116,0.127,0.131,0.131,0.125,0.112,0.101,0.095,0.083,0.065,0.058,0.048,0.022,-0.002,-0.029,-0.019,0.032,0.126,0.15,0.123,0.077,0.037
